"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","elb_var","shldr_ir","elb_var_max","shldr_ir_max","elb_var_min","shldr_ir_min"
"1","p00",28,185.8,73,"L",74.4,28.9,1,28.9,7.562991,13.218165,43.310683,57.786359,7.562991,13.218165
"2","p00",28,185.8,73,"L",74.4,28.9,2,31.9,7.891617,14.670935,43.310683,57.786359,7.562991,13.218165
"3","p00",28,185.8,73,"L",74.4,28.9,3,34,8.812571,15.20048,43.310683,57.786359,7.562991,13.218165
"4","p00",28,185.8,73,"L",74.4,28.9,4,33.9,9.288633,14.651192,43.310683,57.786359,7.562991,13.218165
"5","p00",28,185.8,73,"L",74.4,28.9,5,35.1,9.767148,15.560482,43.310683,57.786359,7.562991,13.218165
"6","p00",28,185.8,73,"L",74.4,28.9,6,39.7,11.304595,17.143977,43.310683,57.786359,7.562991,13.218165
"7","p00",28,185.8,73,"L",74.4,28.9,7,40.1,12.355696,17.894767,43.310683,57.786359,7.562991,13.218165
"8","p00",28,185.8,73,"L",74.4,28.9,8,39.9,11.25387,17.476708,43.310683,57.786359,7.562991,13.218165
"9","p00",28,185.8,73,"L",74.4,28.9,9,43.5,14.56961,20.726227,43.310683,57.786359,7.562991,13.218165
"10","p00",28,185.8,73,"L",74.4,28.9,10,46.9,18.121152,24.296802,43.310683,57.786359,7.562991,13.218165
"11","p00",28,185.8,73,"L",74.4,28.9,11,48.2,17.791339,24.45823,43.310683,57.786359,7.562991,13.218165
"12","p00",28,185.8,73,"L",74.4,28.9,12,49.1,18.869636,25.850496,43.310683,57.786359,7.562991,13.218165
"13","p00",28,185.8,73,"L",74.4,28.9,13,50.5,20.449226,28.865888,43.310683,57.786359,7.562991,13.218165
"14","p00",28,185.8,73,"L",74.4,28.9,14,51.2,21.116079,28.656763,43.310683,57.786359,7.562991,13.218165
"15","p00",28,185.8,73,"L",74.4,28.9,15,51.8,21.668585,29.243118,43.310683,57.786359,7.562991,13.218165
"16","p00",28,185.8,73,"L",74.4,28.9,16,55.1,24.67446,32.531336,43.310683,57.786359,7.562991,13.218165
"17","p00",28,185.8,73,"L",74.4,28.9,17,56.3,24.857425,33.246018,43.310683,57.786359,7.562991,13.218165
"18","p00",28,185.8,73,"L",74.4,28.9,18,57.1,25.62826,35.184582,43.310683,57.786359,7.562991,13.218165
"19","p00",28,185.8,73,"L",74.4,28.9,19,59.8,27.812304,38.542631,43.310683,57.786359,7.562991,13.218165
"20","p00",28,185.8,73,"L",74.4,28.9,20,61.6,29.83782,39.731758,43.310683,57.786359,7.562991,13.218165
"21","p00",28,185.8,73,"L",74.4,28.9,21,62.5,29.926256,39.804649,43.310683,57.786359,7.562991,13.218165
"22","p00",28,185.8,73,"L",74.4,28.9,22,63.2,30.485899,41.353948,43.310683,57.786359,7.562991,13.218165
"23","p00",28,185.8,73,"L",74.4,28.9,23,63,30.478462,41.242344,43.310683,57.786359,7.562991,13.218165
"24","p00",28,185.8,73,"L",74.4,28.9,24,67.7,35.538441,46.211923,43.310683,57.786359,7.562991,13.218165
"25","p00",28,185.8,73,"L",74.4,28.9,25,68.2,36.225269,57.786359,43.310683,57.786359,7.562991,13.218165
"26","p00",28,185.8,73,"L",74.4,28.9,26,69.4,36.344193,47.454945,43.310683,57.786359,7.562991,13.218165
"27","p00",28,185.8,73,"L",74.4,28.9,27,69.7,37.963174,49.224907,43.310683,57.786359,7.562991,13.218165
"28","p00",28,185.8,73,"L",74.4,28.9,28,71.5,40.165629,50.670202,43.310683,57.786359,7.562991,13.218165
"29","p00",28,185.8,73,"L",74.4,28.9,29,72.3,43.310683,50.38282,43.310683,57.786359,7.562991,13.218165
"30","p00",28,185.8,73,"L",74.4,28.9,30,72.9,40.813782,49.778234,43.310683,57.786359,7.562991,13.218165
"31","p00",28,185.8,73,"L",74.4,28.9,31,73.3,40.567977,52.104982,43.310683,57.786359,7.562991,13.218165
"32","p00",28,185.8,73,"L",74.4,28.9,32,73.8,42.259887,52.631685,43.310683,57.786359,7.562991,13.218165
"33","p00",28,185.8,73,"L",74.4,28.9,33,72.4,40.111462,51.843441,43.310683,57.786359,7.562991,13.218165
"34","p00",28,185.8,73,"L",74.4,28.9,34,74.1,41.699658,53.551368,43.310683,57.786359,7.562991,13.218165
"35","p00",28,185.8,73,"L",74.4,28.9,35,73.9,41.806847,52.837,43.310683,57.786359,7.562991,13.218165
"36","p00",28,185.8,73,"L",74.4,28.9,36,74.4,42.389795,52.415544,43.310683,57.786359,7.562991,13.218165
"37","p00",28,185.8,73,"L",74.4,28.9,37,73.4,42.83313,52.980148,43.310683,57.786359,7.562991,13.218165
"38","p02",25,205.4,74,"R",76.8,36.3,1,36.8,12.273731,19.166476,50.323607,62.955006,12.273731,19.166476
"39","p02",25,205.4,74,"R",76.8,36.3,2,37.5,13.791483,20.507835,50.323607,62.955006,12.273731,19.166476
"40","p02",25,205.4,74,"R",76.8,36.3,3,36.3,12.66364,19.852532,50.323607,62.955006,12.273731,19.166476
"41","p02",25,205.4,74,"R",76.8,36.3,4,37.4,14.342631,21.220742,50.323607,62.955006,12.273731,19.166476
"42","p02",25,205.4,74,"R",76.8,36.3,5,37.7,13.706132,21.441351,50.323607,62.955006,12.273731,19.166476
