kww	// User ID
12-2-2021	// Evaluation date
alex-pilot_05_38.6	11-2-2021	13:21:35:280	// Source file name and timestamp
238.095	// Sampling rate
4.332	// Data capture period

1.890237	// height
89.628650	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
0	-0.669461	-0.948678	55.097387	0.271775	-0.000000	-0.271775	2.137263	-0.841280	-0.975423	0.841280	1.457286	
1	-0.328008	-0.640590	43.733012	0.719283	-0.000000	-0.719283	1.707480	-0.218526	-0.942991	0.218526	1.536891	
2	0.261800	-0.109417	33.020552	1.365920	-0.000000	-1.365920	1.079082	0.603052	-0.942365	-0.603052	1.740817	
3	0.839467	0.404915	22.762786	1.915803	0.000000	-1.915803	0.533886	1.114612	-0.965522	-1.114612	1.926374	
4	1.253624	0.767517	16.240891	1.989477	0.000000	-1.989477	0.223180	1.174844	-0.988869	-1.174844	2.038299	
5	1.517139	0.991248	22.246564	1.608126	0.000000	-1.608126	0.152653	1.000940	-1.007890	-1.000940	2.130243	
6	1.642877	1.085820	38.208647	1.126208	0.000000	-1.126208	0.236706	0.787019	-1.023343	-0.787019	2.230774	
7	1.629275	1.058481	58.501798	0.773567	0.000000	-0.773567	0.365072	0.627781	-1.019222	-0.627781	2.291405	
8	1.526698	0.970032	80.604251	0.619207	0.000000	-0.619207	0.462982	0.548527	-0.978756	-0.548527	2.248371	
9	1.369832	0.845654	102.059423	0.673974	0.000000	-0.673974	0.476710	0.586284	-0.915758	-0.586284	2.094547	
10	1.111153	0.621632	120.403686	0.845840	0.000000	-0.845840	0.392506	0.748228	-0.852256	-0.748228	1.833582	
11	0.769875	0.319636	134.215910	1.012119	0.000000	-1.012119	0.319570	0.833551	-0.774628	-0.833551	1.453559	
12	0.579074	0.156740	143.429857	1.139239	0.000000	-1.139239	0.403202	0.715781	-0.710860	-0.715781	1.090540	
13	0.759994	0.297579	148.515890	1.244952	0.000000	-1.244952	0.588423	0.657894	-0.773068	-0.657894	0.931627	
14	1.136900	0.565868	149.869642	1.281678	0.000000	-1.281678	0.718214	0.759523	-0.956634	-0.759523	0.855827	
15	1.297291	0.643653	148.102771	1.231384	0.000000	-1.231384	0.843086	0.729341	-1.076597	-0.729341	0.617871	
16	1.205809	0.553063	144.298900	1.132639	0.000000	-1.132639	1.041898	0.497508	-1.040098	-0.497508	0.289665	
17	1.142737	0.532696	139.737840	0.937922	0.000000	-0.937922	1.166917	0.255214	-0.941161	-0.255214	0.071855	
18	1.079989	0.509427	135.569094	0.652404	-0.000000	-0.652404	1.109380	0.085588	-0.851796	-0.085588	-0.070234	
19	0.834366	0.297442	132.517651	0.412334	-0.000000	-0.412334	0.978622	-0.025156	-0.752922	0.025156	-0.239778	
20	0.569907	0.054668	130.790473	0.276884	-0.000000	-0.276884	0.888184	-0.080485	-0.658729	0.080485	-0.381030	
21	0.497545	-0.028178	130.266608	0.203142	-0.000000	-0.203142	0.842515	-0.087021	-0.622631	0.087021	-0.449757	
22	0.541282	-0.027688	130.501514	0.177430	-0.000000	-0.177430	0.805525	-0.050462	-0.638689	0.050462	-0.498290	
23	0.651964	0.028995	130.597261	0.221636	-0.000000	-0.221636	0.791648	0.011277	-0.678442	-0.011277	-0.529198	
24	0.892049	0.215566	129.506499	0.325112	-0.000000	-0.325112	0.850953	0.071494	-0.749841	-0.071494	-0.525864	
25	1.129999	0.391108	126.497081	0.389938	0.000000	-0.389938	0.926795	0.095568	-0.822391	-0.095568	-0.548450	
26	1.114864	0.308583	121.237225	0.280997	-0.000000	-0.280997	0.884414	0.032796	-0.807547	-0.032796	-0.627375	
27	0.829263	-0.015829	113.814557	-0.057584	-0.000000	0.057584	0.701097	-0.132737	-0.670292	0.132737	-0.683455	
28	0.561252	-0.272144	104.802356	-0.542425	-0.000000	0.542425	0.507995	-0.339737	-0.496383	0.339737	-0.643040	
29	0.546979	-0.242586	95.028903	-1.017739	-0.000000	1.017739	0.418177	-0.508443	-0.374634	0.508443	-0.544741	
30	0.640300	-0.100391	85.339086	-1.405151	1.469847	1.405151	0.386260	-0.612856	-0.278371	0.612856	-0.454077	
31	0.682293	-0.015246	76.666410	-1.729810	1.505364	1.729810	0.369449	-0.664439	-0.181871	0.664439	-0.375399	
32	0.868560	0.202855	70.044586	-2.053098	1.510697	2.053098	0.431345	-0.732755	-0.106170	0.732755	-0.314640	
33	1.211584	0.563793	66.401954	-2.474738	1.322498	2.474738	0.530641	-0.959611	-0.015327	0.959611	-0.283299	
34	1.285450	0.651542	66.374211	-3.046626	0.909472	3.046626	0.519974	-1.350466	0.096422	1.350466	-0.233516	
35	0.945228	0.332725	70.187159	-3.609438	0.576670	3.609438	0.391530	-1.654884	0.150095	1.654884	-0.127750	
36	0.565653	-0.017098	77.578875	-3.894613	0.558328	3.894613	0.251517	-1.671891	0.142268	1.671891	-0.018217	
37	0.434184	-0.112757	87.686377	-3.809730	0.691691	3.809730	0.148382	-1.528126	0.155607	1.528126	0.024244	
38	0.468604	-0.040635	99.130912	-3.482755	0.813044	3.482755	0.033163	-1.423821	0.218138	1.423821	0.006457	
39	0.475614	0.001911	110.573555	-3.082071	0.994157	3.082071	-0.160569	-1.284429	0.278005	1.284429	-0.023985	
40	0.431531	-0.002724	121.253681	-2.672682	1.251927	2.672682	-0.421784	-1.005020	0.310890	1.005020	-0.052216	
41	0.439123	0.052651	130.886231	-2.223509	1.509378	2.223509	-0.698625	-0.700546	0.353035	0.700546	-0.095639	
42	0.434345	0.099113	139.324581	-1.762671	1.795986	1.762671	-0.979721	-0.459378	0.382779	0.459378	-0.139052	
43	0.290774	0.004219	146.531695	-1.442760	2.177946	1.442760	-1.305000	-0.216856	0.358544	0.216856	-0.160661	
44	0.165213	-0.100928	152.468288	-1.474336	2.581425	1.474336	-1.727506	0.020134	0.376459	-0.020134	-0.215342	
45	0.279935	-0.025695	156.863831	-1.987984	2.789459	1.987984	-2.144366	0.028976	0.544520	-0.028976	-0.378974	
46	0.611016	0.237143	159.544385	-2.785345	2.492695	2.785345	-2.206088	-0.400102	0.797971	0.400102	-0.626202	
47	1.015807	0.612487	160.955648	-3.362844	1.550342	3.362844	-1.597358	-1.125817	0.967294	1.125817	-0.834399	
48	1.339267	0.945848	161.928255	-3.359399	0.293919	3.359399	-0.462611	-1.798760	0.993016	1.798760	-0.953543	
49	1.494027	1.098094	162.981122	-2.870529	-0.793200	2.870529	0.733675	-2.374040	0.996367	2.374040	-1.082501	
50	1.529965	1.118696	164.202319	-2.295456	-1.573315	2.295456	1.750996	-3.057376	1.040605	3.057376	-1.262838	
51	1.412105	1.023805	165.749359	-2.088341	-2.044211	2.088341	2.495826	-3.743362	1.026186	3.743362	-1.358827	
52	1.016693	0.691940	167.991939	-2.695825	-2.108135	2.695825	2.766220	-4.112379	0.954162	4.112379	-1.297815	
53	0.528994	0.255122	171.033397	-4.136347	-1.848340	4.136347	2.550623	-4.124166	0.943161	4.124166	-1.211345	
54	0.304552	0.056623	174.529232	-5.687472	-1.531508	5.687472	2.146670	-3.775482	0.929108	3.775482	-1.150002	
55	0.274440	0.059371	178.134411	-6.702268	-1.272374	6.702268	1.756578	-3.045259	0.807441	3.045259	-1.006120	
56	0.165242	-0.021885	181.731633	-6.937526	-0.911178	6.937526	1.203764	-2.205637	0.714786	2.205637	-0.862208	
57	0.092055	-0.116385	185.154008	-6.205074	-0.306876	6.205074	0.245405	-1.211499	0.778355	1.211499	-0.923104	
58	0.230889	-0.032201	188.165071	-4.684420	0.358634	4.684420	-0.868257	0.005378	0.902074	-0.005378	-1.135057	
59	0.396101	0.096502	190.777246	-2.726761	0.847564	2.726761	-1.686908	0.548986	1.015221	-0.548986	-1.344795	
60	0.419943	0.091064	193.179636	-1.030798	1.128323	1.030798	-2.149905	0.023374	1.208501	-0.023374	-1.636560	
61	0.411368	0.031977	195.395499	-0.653959	1.117452	0.653959	-2.216294	-0.807081	1.491812	0.807081	-2.078633	
62	0.474294	0.073076	197.359812	-1.297180	0.735856	1.297180	-1.687524	-1.819669	1.638018	1.819669	-2.394827	
63	0.510239	0.166588	199.239138	-1.837743	0.224359	1.837743	-0.822394	-3.180996	1.512220	3.180996	-2.336029	
64	0.420289	0.158012	201.311196	-2.168637	-0.060278	2.168637	-0.265637	-4.073712	1.334319	4.073712	-2.147640	
65	0.406905	0.171566	203.519538	-2.331598	-0.076972	2.331598	-0.285646	-3.897929	1.301718	3.897929	-2.191123	
66	0.679660	0.421969	205.462189	-1.912562	-0.047064	1.912562	-0.552644	-3.319497	1.309830	3.319497	-2.464226	
67	0.959858	0.672803	206.894469	-1.127168	-0.011550	1.127168	-0.791211	-3.045818	1.318438	3.045818	-2.809482	
68	0.961335	0.661341	207.975819	-0.578257	0.171707	0.578257	-1.167712	-2.496463	1.349528	2.496463	-3.033275	
69	0.909769	0.629982	209.010816	-0.401958	0.319056	0.401958	-1.505122	-1.192661	1.157127	1.192661	-2.835536	
70	0.918763	0.687192	210.206569	-0.555577	0.117241	0.555577	-1.166875	-0.616487	0.749373	0.616487	-2.295566	
71	0.736246	0.534269	211.624298	-1.353650	-0.231375	1.353650	-0.261608	-1.793074	0.635589	1.793074	-1.993914	
72	0.431335	0.205412	213.165016	-3.229277	-0.407040	3.229277	0.456970	-2.753752	0.891144	2.753752	-2.158707	
73	0.357127	0.080633	214.589167	-5.628524	-0.521066	5.628524	0.740054	-2.031102	1.046174	2.031102	-2.444620	
74	0.496688	0.191063	215.592839	-6.987440	-0.680335	6.987440	0.848890	-1.589104	0.999231	1.589104	-2.651987	
75	0.541071	0.223624	215.984679	-6.803070	-0.724158	6.803070	0.930859	-3.012915	1.071609	3.012915	-2.978654	
76	0.456574	0.099471	215.825967	-6.475196	-0.626601	6.475196	1.008392	-4.492849	1.355925	4.492849	-3.598628	
77	0.527025	0.112648	215.312177	-6.519080	-0.693906	6.519080	1.248590	-4.531544	1.508942	4.531544	-4.169339	
78	0.810551	0.385360	214.644934	-5.839430	-1.014151	5.839430	1.596706	-4.071967	1.298352	4.071967	-4.164492	
79	1.014494	0.621194	214.174133	-3.740828	-1.115345	3.740828	1.462764	-3.897311	1.037085	3.897311	-3.839002	
80	1.068499	0.682261	214.425111	-1.168715	-0.775493	1.168715	0.552256	-3.260286	1.029436	3.260286	-3.862683	
81	1.191924	0.769434	215.717115	0.267926	-0.476100	-0.267926	-0.420120	-2.056827	1.168257	2.056827	-4.298153	
82	1.339231	0.875020	217.886644	0.169223	-0.592034	-0.169223	-0.491262	-2.067165	1.358973	2.067165	-4.864156	
83	1.317976	0.841068	220.641620	-0.386096	-0.933102	0.386096	0.346571	-3.882715	1.573263	3.882715	-5.271072	
