kww	// User ID
16-2-2021	// Evaluation date
alex-pilot_23_74.9	11-2-2021	13:26:53:728	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.890237	// height
89.628650	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
0	1.536167	-0.183874	0.502171	5.489350	-0.440665	-5.489350	0.062688	2.150687	-0.149076	-2.150687	0.904272	1.150883	
1	1.017649	-0.784256	0.501205	4.650545	-0.216141	-4.650545	-0.109493	3.053531	0.019094	-3.053531	1.004153	1.156941	
2	0.920234	-0.717234	0.499740	3.749567	-0.075737	-3.749567	-0.097002	2.737270	-0.057448	-2.737270	0.921749	1.159104	
3	0.624696	-0.851486	0.499274	3.021393	0.230240	-3.021393	-0.179723	2.863677	-0.037504	-2.863677	0.845130	1.156880	
4	0.168632	-1.273395	0.495009	2.970406	0.497852	-2.970406	-0.333978	4.143544	0.079164	-4.143544	0.856400	1.150554	
5	0.098987	-1.320804	0.484676	4.796858	0.358406	-4.796858	-0.296722	5.293591	0.070887	-5.293591	0.824577	1.136830	
6	0.437816	-0.944464	0.472407	8.221740	-0.078930	-8.221740	-0.080083	5.305431	-0.033815	-5.305431	0.721485	1.115444	
7	0.711194	-0.751587	0.462292	11.495959	-0.418199	-11.495959	0.108924	5.156967	-0.065638	-5.156967	0.668818	1.091063	
8	0.722824	-0.902178	0.453759	13.599675	-0.533967	-13.599675	0.178875	5.517507	0.028382	-5.517507	0.657498	1.066180	
9	0.670300	-1.028745	0.445065	14.458804	-0.559836	-14.458804	0.170718	5.441371	0.167421	-5.441371	0.598566	1.039600	
10	0.714079	-1.003336	0.436975	13.540931	-0.541969	-13.540931	0.119719	4.338448	0.303231	-4.338448	0.521192	1.011180	
11	0.779645	-1.082819	0.430409	10.406599	-0.448472	-10.406599	0.014471	3.221810	0.492007	-3.221810	0.488738	0.983176	
12	0.751848	-1.330010	0.422886	6.755392	-0.403592	-6.755392	-0.139699	2.863080	0.728117	-2.863080	0.467335	0.958486	
13	0.677335	-1.423766	0.411508	4.942619	-0.538310	-4.942619	-0.244936	2.632394	0.845830	-2.632394	0.406489	0.938104	
14	0.566287	-1.314205	0.397597	5.096384	-0.745055	-5.096384	-0.244021	2.104717	0.799826	-2.104717	0.340430	0.920742	
15	0.261608	-1.426403	0.383759	5.839959	-0.863151	-5.839959	-0.188111	1.971766	0.747550	-1.971766	0.314624	0.905576	
16	-0.155137	-1.793957	0.369470	6.358765	-0.913771	-6.358765	-0.094722	2.508131	0.730795	-2.508131	0.328373	0.891551	
17	-0.312939	-1.878853	0.353995	6.326806	-0.941758	-6.326806	0.041687	2.869019	0.625133	-2.869019	0.338342	0.875769	
18	-0.122698	-1.513838	0.340091	5.282368	-0.825020	-5.282368	0.146656	2.437344	0.430269	-2.437344	0.328574	0.856866	
19	0.137575	-1.102523	0.331607	3.202066	-0.476208	-3.202066	0.157088	1.686759	0.254218	-1.686759	0.319622	0.836989	
20	0.273596	-0.911110	0.329835	0.958196	-0.008845	-0.958196	0.088911	1.323607	0.135180	-1.323607	0.328410	0.818906	
21	0.323894	-0.835354	0.333558	-0.119196	0.378667	0.119196	0.002413	1.396771	0.044521	-1.396771	0.339645	0.803708	
22	0.363570	-0.745192	0.341146	0.735348	0.557722	-0.735348	-0.046681	1.445461	-0.024926	-1.445461	0.337642	0.790860	
23	0.342688	-0.723633	0.351319	2.937581	0.528636	-2.937581	-0.029315	1.395768	-0.064169	-1.395768	0.342221	0.779885	
24	0.229697	-0.888830	0.362256	5.591817	0.295349	-5.591817	0.075360	1.722703	-0.092191	-1.722703	0.391542	0.771456	
25	0.202405	-1.101359	0.371050	8.540069	-0.169543	-8.540069	0.247011	2.493209	-0.134838	-2.493209	0.497262	0.765314	
26	0.333596	-1.194019	0.374889	11.501766	-0.722362	-11.501766	0.417432	3.229448	-0.175805	-3.229448	0.628108	0.758983	
27	0.399777	-1.277280	0.372872	13.714578	-1.145432	-13.714578	0.561377	3.804158	-0.185984	-3.804158	0.749564	0.749270	
28	0.377226	-1.403521	0.365698	14.485550	-1.442995	-14.485550	0.675226	4.417633	-0.171229	-4.417633	0.854080	0.732730	
29	0.520699	-1.371666	0.353155	13.493412	-1.694431	-13.493412	0.705789	5.050067	-0.159228	-5.050067	0.908902	0.707432	
30	0.816196	-1.081965	0.334632	11.304475	-1.795057	-11.304475	0.622203	5.374054	-0.160877	-5.374054	0.842218	0.676868	
31	0.994006	-0.691980	0.312991	8.963402	-1.603125	-8.963402	0.467272	4.917481	-0.156470	-4.917481	0.660971	0.647458	
32	0.958043	-0.467196	0.294261	6.789383	-1.169551	-6.789383	0.305478	3.767260	-0.140170	-3.767260	0.493913	0.621764	
33	0.854665	-0.512530	0.282246	4.692468	-0.691346	-4.692468	0.175887	2.719300	-0.137541	-2.719300	0.430801	0.598881	
34	0.868974	-0.589311	0.276764	3.116173	-0.346543	-3.116173	0.088276	2.222545	-0.179889	-2.222545	0.402298	0.578578	
35	0.983906	-0.504032	0.277434	2.596611	-0.198333	-2.596611	0.036378	1.897045	-0.247838	-1.897045	0.330380	0.561569	
36	1.001844	-0.468626	0.284554	2.766601	-0.195829	-2.766601	0.013710	1.513613	-0.294884	-1.513613	0.256870	0.547895	
37	0.937952	-0.605810	0.296410	2.898808	-0.274728	-2.898808	0.025535	1.519432	-0.332029	-1.519432	0.208199	0.537219	
38	1.097637	-0.562559	0.308815	3.148415	-0.385144	-3.148415	0.072409	2.044129	-0.405612	-2.044129	0.143392	0.528917	
39	1.518437	-0.170568	0.317731	4.000850	-0.419764	-4.000850	0.131688	2.679884	-0.511763	-2.679884	0.063542	0.521399	
40	1.816230	0.144737	0.321088	5.354138	-0.336689	-5.354138	0.168597	3.346742	-0.569255	-3.346742	-0.000346	0.513265	
41	1.840813	0.165240	0.317612	7.073887	-0.258132	-7.073887	0.183737	4.199668	-0.531696	-4.199668	-0.043561	0.503815	
42	1.813378	0.218493	0.306877	8.984324	-0.317774	-8.984324	0.193431	4.764421	-0.459199	-4.764421	-0.074590	0.491382	
43	1.795546	0.400452	0.292285	10.128435	-0.499501	-10.128435	0.156563	4.294259	-0.386327	-4.294259	-0.092380	0.475162	
44	1.712367	0.431765	0.279541	9.571131	-0.663904	-9.571131	0.050531	3.133582	-0.289481	-3.133582	-0.091085	0.458990	
45	1.695004	0.334193	0.270549	7.699150	-0.763545	-7.699150	-0.081663	2.225808	-0.191413	-2.225808	-0.081801	0.447508	
46	1.933085	0.469391	0.263903	5.528261	-0.828035	-5.528261	-0.220852	1.688193	-0.167414	-1.688193	-0.092754	0.440010	
47	2.241589	0.792141	0.260415	3.525183	-0.768340	-3.525183	-0.382165	1.098348	-0.184673	-1.098348	-0.112130	0.432364	
48	2.088733	0.693271	0.261030	1.942820	-0.516856	-1.942820	-0.468945	0.760966	-0.107911	-0.760966	-0.108742	0.423735	
49	1.380326	0.030908	0.262220	1.477394	-0.281022	-1.477394	-0.291833	1.234468	0.054078	-1.234468	-0.110521	0.416945	
50	0.731628	-0.497137	0.260873	2.479565	-0.264238	-2.479565	0.133654	1.948104	0.154036	-1.948104	-0.150864	0.410998	
51	0.468823	-0.617461	0.259371	4.034352	-0.331055	-4.034352	0.568530	2.182849	0.177088	-2.182849	-0.198573	0.400547	
52	0.298183	-0.831014	0.260556	5.215470	-0.317752	-5.215470	0.867238	2.392850	0.227066	-2.392850	-0.298277	0.385293	
53	0.298141	-1.076635	0.263397	6.236045	-0.339302	-6.236045	1.008867	2.828183	0.303791	-2.828183	-0.480451	0.369188	
54	0.834843	-0.773465	0.266131	7.485221	-0.538513	-7.485221	1.032937	2.891557	0.291626	-2.891557	-0.575570	0.350929	
55	1.456565	-0.255809	0.269072	8.666386	-0.775474	-8.666386	1.123213	2.546266	0.213030	-2.546266	-0.564988	0.327324	
56	1.381663	-0.371922	0.272838	9.148241	0.000000	-9.148241	1.404176	2.387955	0.245282	-2.387955	-0.722982	0.302768	
57	0.788664	-0.973665	0.276188	8.861362	0.000000	-8.861362	1.691959	2.422953	0.399620	-2.422953	-1.071839	0.285091	
58	0.412101	-1.254853	0.278141	8.325119	0.000000	-8.325119	1.773420	2.288913	0.471848	-2.288913	-1.266075	0.276237	
59	0.382590	-1.064945	0.280036	7.791623	0.000000	-7.791623	1.654292	1.899874	0.401697	-1.899874	-1.153474	0.271977	
60	0.304035	-0.919359	0.283172	7.191742	0.000000	-7.191742	1.462474	1.490787	0.360437	-1.490787	-1.009376	0.267818	
61	0.033251	-1.110140	0.285850	6.688749	0.000000	-6.688749	1.313109	1.249077	0.477864	-1.249077	-1.078116	0.263053	
62	-0.173636	-1.368625	0.284965	6.470150	-0.000000	-6.470150	1.197766	1.163164	0.645851	-1.163164	-1.242722	0.259002	
63	-0.126625	-1.344011	0.279950	6.264922	-0.000000	-6.264922	0.982246	1.206525	0.682755	-1.206525	-1.253978	0.255536	
64	-0.004893	-1.159324	0.272594	5.636455	-0.000000	-5.636455	0.609503	1.355657	0.626026	-1.355657	-1.134804	0.251459	
65	-0.135339	-1.258501	0.264391	4.678777	-0.000000	-4.678777	0.221781	1.501806	0.707954	-1.501806	-1.158550	0.246737	
66	-0.474654	-1.655913	0.256147	3.998405	-0.000000	-3.998405	0.060730	1.692513	0.945135	-1.692513	-1.368471	0.242283	
67	-0.457167	-1.703615	0.248975	4.118121	0.000000	-4.118121	0.218330	2.115463	0.976955	-2.115463	-1.436874	0.238164	
68	0.284793	-1.007982	0.244273	4.857019	0.000000	-4.857019	0.517575	2.645469	0.583481	-2.645469	-1.192752	0.233769	
69	1.215350	-0.194894	0.242812	5.404507	0.000000	-5.404507	0.763637	3.062360	0.113931	-3.062360	-0.975801	0.229795	
70	1.537845	-0.063875	0.244701	5.313922	0.000000	-5.313922	0.903284	3.135729	0.058993	-3.135729	-1.096274	0.228364	
71	1.307452	-0.403895	0.249739	4.849260	0.000000	-4.849260	0.918761	2.768784	0.321395	-2.768784	-1.328451	0.230137	
72	1.111426	-0.533333	0.258740	4.418682	0.000000	-4.418682	0.747755	2.286957	0.440177	-2.286957	-1.339505	0.232396	
73	0.994681	-0.529138	0.272651	4.428592	0.000000	-4.428592	0.296359	1.717846	0.428623	-1.717846	-1.232154	0.231752	
74	0.643446	-0.867472	0.288617	5.032833	0.000000	-5.032833	-0.329194	0.930162	0.619242	-0.930162	-1.279280	0.228314	
75	0.235251	-1.326601	0.301184	5.874711	0.000000	-5.874711	-0.731917	0.604443	0.848394	-0.604443	-1.419579	0.224879	
76	0.133077	-1.419535	0.308716	6.774651	0.000000	-6.774651	-0.708369	1.003968	0.805766	-1.003968	-1.456504	0.222762	
77	0.173277	-1.391044	0.313740	7.903455	0.000000	-7.903455	-0.460445	1.542054	0.702610	-1.542054	-1.502297	0.221583	
78	0.108557	-1.614214	0.317549	9.324608	-0.000000	-9.324608	-0.204157	2.275561	0.761645	-2.275561	-1.756195	0.222891	
79	0.212479	-1.689380	0.318928	10.450737	-0.000000	-10.450737	-0.003513	3.048186	0.798089	-3.048186	-2.048818	0.228898	
80	0.723317	-1.209071	0.317187	10.057907	-0.000000	-10.057907	0.133168	2.961476	0.686881	-2.961476	-2.119709	0.238892	
81	1.278446	-0.606619	0.313787	7.783248	-0.000000	-7.783248	0.193904	2.064781	0.602465	-2.064781	-2.107973	0.250742	
82	1.495160	-0.374791	0.310239	4.960196	-0.000000	-4.960196	0.112706	1.265794	0.673621	-1.265794	-2.222788	0.263681	
83	1.523736	-0.280619	0.305883	3.063414	0.000000	-3.063414	-0.101357	0.985005	0.750054	-0.985005	-2.297413	0.277046	
84	1.553263	-0.062907	0.300993	2.401526	0.000000	-2.401526	-0.280686	0.995308	0.702684	-0.995308	-2.160986	0.288404	
85	1.387623	-0.069271	0.297772	2.445623	0.000000	-2.445623	-0.319255	1.034103	0.696924	-1.034103	-2.029794	0.294889	
86	0.979047	-0.462589	0.294974	2.636179	0.000000	-2.636179	-0.258556	1.069778	0.839870	-1.069778	-2.063988	0.295079	
87	0.689263	-0.723585	0.289548	2.755247	0.000000	-2.755247	-0.137961	1.059213	0.919375	-1.059213	-2.045450	0.288303	
88	0.604233	-0.686915	0.282788	2.790433	0.000000	-2.790433	0.010933	0.889355	0.864405	-0.889355	-1.885017	0.274007	
89	0.541163	-0.796342	0.276007	2.867698	0.000000	-2.867698	0.082384	0.696734	0.923520	-0.696734	-1.966613	0.254356	
90	0.708654	-0.970012	0.265539	3.199414	0.000000	-3.199414	-0.021679	0.877371	1.148228	-0.877371	-2.540769	0.235515	
91	1.119944	-0.853491	0.249580	3.746859	0.000000	-3.746859	-0.165894	1.349414	1.273847	-1.349414	-3.148943	0.221971	
92	1.057325	-0.900265	0.235060	4.099013	0.000000	-4.099013	-0.059191	1.333357	1.218149	-1.333357	-3.224778	0.212444	
93	0.272879	-1.577602	0.231558	4.133078	0.000000	-4.133078	0.287801	0.764143	1.155787	-0.764143	-2.990348	0.205949	
94	-0.376671	-2.231531	0.240558	4.284419	-0.000000	-4.284419	0.480670	0.651174	1.119307	-0.651174	-2.949668	0.205554	
95	-0.240546	-2.047485	0.253964	4.707414	0.000000	-4.707414	0.265639	1.218384	1.011644	-1.218384	-2.937968	0.212947	
96	0.244783	-1.374975	0.263300	5.154970	0.000000	-5.154970	-0.123430	1.672840	0.876079	-1.672840	-2.688246	0.226289	
97	0.408545	-1.084443	0.268673	5.509369	0.000000	-5.509369	-0.291854	1.654068	0.833530	-1.654068	-2.456185	0.243182	
98	0.257072	-1.273897	0.274275	5.614561	0.000000	-5.614561	-0.109009	1.311082	0.914997	-1.311082	-2.449684	0.261585	
99	0.173440	-1.444121	0.281039	5.050649	-0.000000	-5.050649	0.321866	0.678847	1.072339	-0.678847	-2.581649	0.278185	
100	0.246785	-1.382953	0.288566	3.318798	-0.000000	-3.318798	0.879329	-0.365819	1.236545	0.365819	-2.678758	0.288120	
101	0.318157	-1.221550	0.297907	0.623772	-0.000000	-0.623772	1.419447	-1.630736	1.328918	1.630736	-2.627736	0.288914	
102	0.379302	-1.030727	0.309409	-1.926195	0.000000	1.926195	1.668548	-2.600346	1.346752	2.600346	-2.498971	0.282746	
103	0.515682	-0.783131	0.320031	-3.397664	0.000000	3.397664	1.406397	-2.904100	1.334860	2.904100	-2.391031	0.274388	
104	0.652011	-0.490571	0.326234	-3.667118	0.000000	3.667118	0.798253	-2.456515	1.228612	2.456515	-2.164085	0.268689	
