kww	// User ID
12-2-2021	// Evaluation date
kyle-pilot2_04_40.1	10-2-2021	16:08:09:566	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.701184	// height
54.982867	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
0	0.536412	0.085658	40.694295	-1.194536	0.067342	1.194536	-0.077445	-0.524201	0.033555	0.524201	0.050562	
1	0.793047	0.175154	42.860672	-1.486846	0.057935	1.486846	-0.072564	-0.619397	0.042468	0.619397	0.028162	
2	0.792052	0.182366	45.003213	-1.543843	0.029745	1.543843	-0.056585	-0.635943	0.043147	0.635943	0.024023	
3	0.610931	0.130176	46.511661	-1.396150	0.004664	1.396150	-0.044409	-0.601926	0.039206	0.601926	0.034204	
4	0.391766	0.069033	46.976979	-1.191957	-0.015366	1.191957	-0.034084	-0.528581	0.031616	0.528581	0.043203	
5	0.188875	0.011811	46.014042	-1.008373	-0.031447	1.008373	-0.023468	-0.416951	0.021414	0.416951	0.050580	
6	0.028013	-0.041608	43.591051	-0.829269	-0.044641	0.829269	-0.014038	-0.273176	0.009050	0.273176	0.063711	
7	-0.047773	-0.073068	40.273959	-0.620586	-0.058050	0.620586	-0.007302	-0.143558	-0.002159	0.143558	0.072628	
8	-0.023415	-0.069976	36.719351	-0.449529	-0.066784	0.449529	-0.009345	-0.089507	-0.004705	0.089507	0.064479	
9	0.040871	-0.057218	33.192366	-0.387214	-0.064096	0.387214	-0.018761	-0.079525	-0.000605	0.079525	0.051116	
10	0.062274	-0.065958	29.750243	-0.332594	-0.050214	0.332594	-0.021934	-0.034487	-0.000240	0.034487	0.048239	
11	0.035554	-0.084896	26.532979	-0.190436	-0.024214	0.190436	-0.016905	0.041252	-0.004230	-0.041252	0.047250	
12	-0.001521	-0.088789	23.621572	-0.037248	0.013860	0.037248	-0.013087	0.091709	-0.005977	-0.091709	0.036377	
13	-0.051907	-0.082656	20.836118	0.045597	0.048324	-0.045597	-0.009667	0.116888	-0.006129	-0.116888	0.023915	
14	-0.104991	-0.074619	17.958180	0.080980	0.062681	-0.080980	-0.003694	0.129227	-0.006321	-0.129227	0.015787	
15	-0.101964	-0.051938	15.067811	0.070440	0.063620	-0.070440	-0.003084	0.088827	-0.001268	-0.088827	0.006170	
16	-0.036683	-0.014555	12.462432	-0.035349	0.062913	0.035349	-0.010323	-0.016877	0.009352	0.016877	-0.005529	
17	0.013331	0.008772	10.303831	-0.241919	0.058681	0.241919	-0.014883	-0.128670	0.016576	0.128670	-0.012147	
18	-0.009006	-0.004234	8.521342	-0.473632	0.052972	0.473632	-0.012612	-0.201309	0.016382	0.201309	-0.010766	
19	-0.074983	-0.042788	7.005581	-0.648716	0.055391	0.648716	-0.015240	-0.244015	0.015017	0.244015	-0.007657	
20	-0.117016	-0.079082	5.759149	-0.730461	0.066723	0.730461	-0.032457	-0.265571	0.018613	0.265571	-0.011220	
21	-0.102264	-0.095119	0.000000	-0.691375	0.080210	0.691375	-0.055786	-0.247121	0.025452	0.247121	-0.022967	
22	-0.036702	-0.086964	0.000000	-0.516918	0.091631	0.516918	-0.069106	-0.174945	0.030274	0.174945	-0.037981	
23	0.072303	-0.056435	0.000000	-0.228374	0.101396	0.228374	-0.069700	-0.064778	0.032264	0.064778	-0.051997	
24	0.213181	-0.010674	0.000000	0.105189	0.110675	-0.105189	-0.065405	0.060813	0.033014	-0.060813	-0.062819	
25	0.353708	0.036812	0.000000	0.418764	0.113873	-0.418764	-0.059845	0.186123	0.032692	-0.186123	-0.068308	
26	0.461034	0.073645	0.000000	0.695453	0.100687	-0.695453	-0.052483	0.295573	0.031876	-0.295573	-0.068625	
27	0.529447	0.096918	0.000000	0.916840	0.067389	-0.916840	-0.044977	0.390641	0.031423	-0.390641	-0.068115	
28	0.570984	0.110481	0.000000	1.044031	0.013683	-1.044031	-0.043192	0.462406	0.032160	-0.462406	-0.071398	
29	0.580281	0.113985	0.000000	0.956022	-0.060704	-0.956022	-0.059078	0.446932	0.036683	-0.446932	-0.077827	
30	0.529660	0.099358	0.000000	0.547253	-0.138105	-0.547253	-0.095785	0.316621	0.044450	-0.316621	-0.080885	
31	0.410722	0.062942	0.000000	0.048206	-0.190802	-0.048206	-0.124427	0.163062	0.047707	-0.163062	-0.076274	
32	0.262225	0.017003	0.000000	-0.170699	-0.211996	0.170699	-0.119936	0.072537	0.043904	-0.072537	-0.068801	
33	0.137021	-0.020802	0.000000	-0.118827	-0.208823	0.118827	-0.098835	0.034623	0.039812	-0.034623	-0.065212	
34	0.050534	-0.046986	0.000000	-0.023680	-0.183998	0.023680	-0.080056	0.019878	0.038670	-0.019878	-0.065415	
35	-0.017965	-0.069693	2.167970	0.064045	-0.150387	-0.064045	-0.059300	0.023088	0.037639	-0.023088	-0.067362	
36	-0.076093	-0.089636	0.000000	0.160328	-0.133175	-0.160328	-0.036653	0.027261	0.036384	-0.027261	-0.073998	
37	-0.106473	-0.100334	0.000000	0.198138	-0.137271	-0.198138	-0.020834	0.014526	0.036494	-0.014526	-0.086855	
38	-0.101388	-0.102648	0.000000	0.195771	-0.142755	-0.195771	-0.011016	0.007106	0.036889	-0.007106	-0.101089	
39	-0.057826	-0.098349	0.000000	0.264823	-0.126623	-0.264823	-0.011158	0.046039	0.037683	-0.046039	-0.116954	
40	0.045899	-0.077582	7.415309	0.399540	-0.070242	-0.399540	-0.041795	0.135223	0.044035	-0.135223	-0.143169	
41	0.219501	-0.032281	9.302297	0.461172	0.037593	-0.461172	-0.117540	0.209095	0.062384	-0.209095	-0.180651	
42	0.433727	0.028670	11.183475	0.276005	0.196411	-0.276005	-0.235389	0.186610	0.096209	-0.186610	-0.222197	
43	0.656937	0.094219	12.830988	-0.183828	0.386373	0.183828	-0.382603	0.067124	0.146973	-0.067124	-0.268356	
44	0.889090	0.168560	14.090384	-0.759996	0.594817	0.759996	-0.555447	-0.109490	0.216735	0.109490	-0.321555	
45	1.116568	0.251459	14.894996	-1.369379	0.834596	1.369379	-0.753249	-0.321402	0.299865	0.321402	-0.371755	
46	1.247378	0.309913	15.140673	-2.007561	1.050490	2.007561	-0.935783	-0.542107	0.376096	0.542107	-0.398652	
47	1.195639	0.310765	14.732187	-2.567968	1.083876	2.567968	-1.049764	-0.738253	0.430650	0.738253	-0.384888	
48	1.041961	0.278069	13.833073	-3.075628	0.888107	3.075628	-1.123350	-0.902373	0.474609	0.902373	-0.341591	
49	0.938723	0.257261	12.862518	-3.727647	0.658077	3.727647	-1.233078	-1.025178	0.517563	1.025178	-0.299690	
50	0.874586	0.238201	12.215281	-4.347230	0.539364	4.347230	-1.347745	-1.095462	0.540403	1.095462	-0.258164	
51	0.736968	0.183877	12.192707	-4.640927	0.436905	4.640927	-1.368369	-1.191955	0.537343	1.191955	-0.194227	
52	0.528603	0.102183	13.158746	-4.767142	0.256556	4.767142	-1.306333	-1.317981	0.534927	1.317981	-0.115997	
53	0.339959	0.027802	15.517449	-4.797667	0.072741	4.797667	-1.235816	-1.331012	0.547353	1.331012	-0.052173	
54	0.211907	-0.026683	19.472011	-4.527917	-0.026534	4.527917	-1.161280	-1.179652	0.575882	1.179652	-0.011723	
55	0.155046	-0.057335	24.917376	-3.952010	-0.087202	3.952010	-1.108429	-0.920095	0.642804	0.920095	0.010294	
56	0.195913	-0.050536	31.581042	-3.314186	-0.159837	3.314186	-1.191955	-0.662988	0.763294	0.662988	0.017204	
57	0.300119	-0.015168	39.103161	-2.779340	-0.199938	2.779340	-1.427532	-0.528191	0.903467	0.528191	0.019645	
58	0.362891	0.011192	46.894963	-2.257152	-0.203048	2.257152	-1.656494	-0.485165	1.016510	0.485165	0.034833	
59	0.350858	0.015412	54.100288	-1.550935	-0.220349	1.550935	-1.745661	-0.393855	1.085154	0.393855	0.069043	
