kww	// User ID
16-2-2021	// Evaluation date
caitlin-pilot_24_48.4	10-2-2021	16:14:26:725	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.701184	// height
54.982867	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
0	2.022034	-0.144333	0.718125	-2.161076	0.196119	2.161076	-0.719179	-1.167675	0.976256	1.167675	3.013744	0.449637	
1	2.353170	0.008145	0.739795	-1.824423	0.301719	1.824423	-0.200892	-0.903411	0.781553	0.903411	3.574275	0.471958	
2	2.283445	0.662355	0.765038	-1.435764	0.443056	1.435764	1.005937	-0.614829	-0.382613	0.614829	4.622685	0.497668	
3	1.415422	1.129148	0.785782	-1.191661	0.683697	1.191661	1.946295	-0.891097	-1.414047	0.891097	4.336749	0.517004	
4	0.538933	1.253258	0.784263	-1.129332	0.802073	1.129332	2.407237	-1.216048	-1.875102	1.216048	3.308949	0.525204	
5	0.399683	1.308890	0.751554	-0.845929	0.621798	0.845929	2.584557	-0.846030	-1.987847	0.846030	3.060415	0.519819	
6	0.609555	1.556803	0.696231	-0.485282	0.446056	0.485282	2.989116	-0.420500	-2.357138	0.420500	3.829883	0.497439	
7	0.731524	1.987217	0.637057	-0.601949	0.570853	0.601949	3.978265	-0.885922	-3.225361	0.885922	5.074768	0.459014	
8	1.220855	2.605651	0.585797	-0.911758	0.685457	0.911758	5.496485	-1.519702	-4.588626	1.519702	7.439067	0.413705	
9	2.310806	3.350586	0.551015	-0.601584	0.291227	0.601584	7.245660	-1.197994	-6.441560	1.197994	11.274161	0.369375	
10	3.234514	3.766990	0.545871	-0.133087	-0.499746	0.133087	8.565717	-0.056366	-8.074279	0.056366	14.259787	0.325197	
11	3.442137	3.454243	0.570791	-0.534303	-1.113385	0.534303	8.566311	1.055858	-8.242043	-1.055858	14.204604	0.282417	
12	3.348444	2.668457	0.605829	-1.068030	-1.293711	1.068030	7.367147	1.808294	-6.969904	-1.808294	12.295995	0.252292	
13	3.260913	1.879431	0.638652	-0.292327	-1.177152	0.292327	5.869097	2.434760	-5.382529	-2.434760	10.225651	0.244765	
14	2.790686	1.056092	0.673423	1.721958	-0.827307	-1.721958	3.781286	2.952280	-3.367541	-2.952280	7.177973	0.257143	
15	1.907744	0.132434	0.705452	4.142649	-0.265192	-4.142649	0.758106	2.770950	-0.633909	-2.770950	3.083948	0.283051	
16	1.447256	-0.280643	0.723931	5.909969	0.325641	-5.909969	-0.950506	2.598174	0.488962	-2.598174	1.127513	0.325156	
17	1.803515	0.261148	0.737093	7.141065	0.784864	-7.141065	0.591005	3.344615	-1.783656	-3.344615	2.986643	0.385564	
18	2.286559	1.134592	0.758208	7.824625	1.015665	-7.824625	3.406126	3.868190	-5.045876	-3.868190	5.826166	0.453395	
19	2.543970	1.720481	0.778536	6.685862	0.853267	-6.685862	5.465726	3.238086	-7.051016	-3.238086	7.536603	0.519390	
20	3.140635	2.395944	0.782343	4.446273	0.360960	-4.446273	8.162230	2.992481	-9.353505	-2.992481	9.629061	0.575152	
21	3.996273	3.360225	0.771149	4.017327	-0.038412	-4.017327	11.749113	4.341611	-12.569864	-4.341611	12.370247	0.600584	
22	3.987458	3.711060	0.755387	4.580701	-0.092034	-4.580701	12.740696	5.771988	-13.443232	-5.771988	12.697480	0.578948	
23	2.779747	2.808060	0.728703	2.757107	-0.022238	-2.757107	9.433015	4.848720	-10.000311	-4.848720	9.185886	0.519896	
24	1.320123	1.314327	0.669747	-1.431583	-0.099864	1.431583	4.683759	1.391660	-4.706806	-1.391660	4.306107	0.448216	
25	0.158312	-0.004379	0.574091	-5.180691	-0.210872	5.180691	0.554301	-2.960953	-0.026538	2.960953	0.384005	0.374244	
26	-1.042938	-1.322346	0.458936	-5.457027	-0.184147	5.457027	-4.305841	-6.925928	4.821240	6.925928	-3.200345	0.300319	
27	-2.244049	-2.835304	0.343407	-2.758917	-0.239976	2.758917	-9.833932	-10.340329	10.160520	10.340329	-7.301386	0.247736	
28	-2.769155	-3.914398	0.237685	-1.456563	-0.652649	1.456563	-12.454044	-11.880981	13.258099	11.880981	-10.180122	0.237996	
29	-2.472031	-4.087681	0.162356	-1.543931	-1.330194	1.543931	-10.501338	-10.664377	12.709578	10.664377	-10.350925	0.258158	
30	-2.023260	-3.854053	0.188886	-0.789516	-1.930955	0.789516	-7.113414	-8.649650	10.896222	8.649650	-9.183868	0.282521	
31	-1.706561	-3.555621	0.300204	0.085660	-2.130745	-0.085660	-4.783344	-7.178524	9.086208	7.178524	-7.723972	0.296488	
32	-0.982434	-2.632707	0.419341	0.811544	-1.727817	-0.811544	-2.405753	-4.762450	5.451566	4.762450	-4.774747	0.305916	
33	0.278629	-0.932790	0.516388	1.760063	-0.736758	-1.760063	0.138650	-0.476566	0.161348	0.476566	-0.295006	0.322286	
34	1.266831	0.589594	0.579137	4.763684	0.500673	-4.763684	0.818064	3.941672	-3.401098	-3.941672	3.153437	0.342241	
35	1.347265	1.100202	0.603863	8.259836	1.470579	-8.259836	-0.732655	6.062634	-3.540808	-6.062634	3.715724	0.363309	
36	0.867974	0.782808	0.597235	8.691363	1.860344	-8.691363	-2.488031	5.786861	-2.027305	-5.786861	2.472356	0.387134	
37	0.673252	0.390612	0.572577	7.020308	1.733056	-7.020308	-2.600317	5.054706	-1.341562	-5.054706	1.888636	0.405115	
38	1.002217	0.302799	0.545166	5.696131	1.433869	-5.696131	-1.591022	5.020449	-1.889448	-5.020449	2.769511	0.402394	
39	1.176820	0.140174	0.523729	4.903593	1.283133	-4.903593	-1.490351	5.249767	-2.308019	-5.249767	3.462142	0.369426	
40	0.774215	-0.427557	0.501281	3.828207	1.204300	-3.828207	-2.544026	5.050900	-2.114193	-5.050900	2.839690	0.315814	
41	0.370813	-0.950974	0.468535	2.820999	0.811435	-2.820999	-2.625580	4.326749	-2.243509	-4.326749	2.089252	0.279615	
42	0.406619	-0.954919	0.435341	2.682102	0.147956	-2.682102	-0.997740	3.646285	-2.873982	-3.646285	2.165320	0.282750	
43	0.261231	-0.897857	0.417231	2.715618	-0.266565	-2.715618	0.324435	3.358679	-2.930702	-3.358679	1.978139	0.287692	
44	-0.701069	-1.558311	0.407788	1.914312	-0.409479	-1.914312	1.113324	2.199852	-2.318720	-2.199852	0.505813	0.259910	
45	-1.915142	-2.681883	0.388517	0.813762	-0.732554	-0.813762	4.541503	-1.624309	-2.495999	1.624309	-1.119701	0.203827	
46	-2.363963	-3.216642	0.360620	0.557148	-1.211974	-0.557148	11.109527	-6.492425	-3.881654	6.492425	-1.247040	0.167654	
47	-2.131535	-2.978291	0.347531	1.990791	-1.433261	-1.990791	16.678132	-8.664084	-5.022753	8.664084	-0.382320	0.215712	
48	-2.039743	-2.763972	0.360208	4.251426	-1.329597	-4.251426	18.997046	-8.698160	-5.361212	8.698160	-0.023907	0.305350	
49	-1.987390	-2.679002	0.389681	5.771893	-1.180444	-5.771893	19.949165	-8.863281	-6.038034	8.863281	0.306009	0.380366	
50	-1.187851	-1.972211	0.446527	7.588603	-0.000000	-7.588603	19.625088	-7.376011	-7.107815	7.376011	1.968602	0.426500	
51	0.213970	-0.610810	0.535341	10.085530	-0.909987	-10.085530	14.845322	-1.798851	-7.209234	1.798851	4.169648	0.447225	
52	1.282065	0.509531	0.623770	10.620744	-0.603519	-10.620744	6.546841	4.699379	-6.425859	-4.699379	5.210395	0.450614	
53	1.646002	0.913095	0.686186	8.353961	0.000000	-8.353961	0.775072	7.050228	-6.005247	-7.050228	5.047608	0.448376	
54	1.620580	0.940697	0.729573	6.121482	0.000000	-6.121482	-0.713365	6.028149	-5.739406	-6.028149	4.390983	0.450660	
55	1.389706	0.866133	0.760537	5.537821	-0.107489	-5.537821	-2.509180	5.577006	-4.635334	-5.577006	3.327879	0.462504	
56	0.877989	0.563806	0.759292	3.492725	0.210550	-3.492725	-7.235615	5.937415	-2.941103	-5.937415	1.992247	0.483877	
57	0.216760	0.071980	0.714176	-1.559329	0.583422	1.559329	-11.572516	5.188761	-1.448133	-5.188761	0.820521	0.506839	
58	-0.279195	-0.300397	0.653026	-5.603211	0.759036	5.603211	-11.658643	2.791142	-0.274410	-2.791142	0.025170	0.519402	
59	-0.499108	-0.451876	0.611157	-6.185852	0.700046	6.185852	-8.822821	0.658054	0.355471	-0.658054	-0.290107	0.517605	
60	-0.496875	-0.487610	0.591329	-5.967325	0.683245	5.967325	-7.254712	0.484344	-0.110561	-0.484344	0.034964	0.505997	
