kww	// User ID
16-2-2021	// Evaluation date
kevin-pilot_16_77.1	16-2-2021	11:43:36:803	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.790705	// height
85.991959	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
0	-0.597916	-0.451629	0.076896	1.131269	-0.174273	-1.131269	0.352945	0.498722	-0.370238	-0.498722	0.313292	0.268053	
1	-0.302447	-0.283289	0.083769	1.135040	-0.391892	-1.135040	0.342480	0.523011	-0.329930	-0.523011	0.299331	0.284210	
2	0.062660	-0.068940	0.086275	1.200647	-0.574978	-1.200647	0.259448	0.580078	-0.257770	-0.580078	0.265506	0.299578	
3	0.070177	-0.075889	0.082620	1.188516	-0.720967	-1.188516	0.253914	0.645814	-0.251400	-0.645814	0.260999	0.308872	
4	0.095746	-0.062479	0.074166	1.111500	-0.793746	-1.111500	0.263287	0.670078	-0.243004	-0.670078	0.248781	0.310061	
5	0.561154	0.232703	0.065254	0.958079	-0.698447	-0.958079	0.149658	0.533093	-0.142747	-0.533093	0.185126	0.302744	
6	1.140590	0.592617	0.061145	0.724388	-0.479442	-0.724388	-0.006007	0.349661	-0.033192	-0.349661	0.112362	0.284525	
7	1.504433	0.810747	0.063314	0.601758	-0.295945	-0.601758	-0.075756	0.277969	0.004762	-0.277969	0.073934	0.254440	
8	1.788358	0.987982	0.070575	0.643571	-0.131803	-0.643571	-0.124366	0.191678	0.032450	-0.191678	0.022721	0.216145	
9	1.984013	1.120358	0.081478	0.587162	0.078074	-0.587162	-0.235298	0.061294	0.079363	-0.061294	-0.059430	0.173828	
10	1.797482	1.005912	0.090519	0.334195	0.219878	-0.334195	-0.316922	0.109112	0.056835	-0.109112	-0.076118	0.131196	
11	1.241584	0.653056	0.092154	0.069970	0.207817	-0.069970	-0.289245	0.326434	-0.061196	-0.326434	0.007574	0.096892	
12	0.694653	0.319201	0.088859	-0.175629	0.156794	0.175629	-0.240977	0.420366	-0.175353	-0.420366	0.082056	0.080643	
13	0.318950	0.100082	0.088535	-0.469795	0.131893	0.469795	-0.222187	0.324788	-0.245074	-0.324788	0.112494	0.082177	
14	0.004672	-0.104706	0.094268	-0.492196	0.025485	0.492196	-0.098068	0.360311	-0.355131	-0.360311	0.163598	0.093167	
15	-0.162558	-0.244187	0.102704	0.196164	-0.197316	-0.196164	0.193512	0.606661	-0.502537	-0.606661	0.199952	0.106431	
16	-0.076563	-0.221393	0.110187	1.393539	-0.418792	-1.393539	0.504022	0.779036	-0.566524	-0.779036	0.152719	0.121233	
17	-0.038880	-0.212024	0.113646	2.429564	-0.596273	-2.429564	0.755274	0.853126	-0.560799	-0.853126	0.119254	0.137742	
18	-0.311425	-0.391643	0.109039	3.116045	-0.769527	-3.116045	1.039915	1.073012	-0.613953	-1.073012	0.212706	0.153213	
19	-0.686578	-0.631473	0.093722	3.681971	-0.905409	-3.681971	1.336533	1.394661	-0.708723	-1.394661	0.370272	0.166368	
20	-1.008513	-0.826844	0.069425	4.006217	-0.949144	-4.006217	1.516800	1.631247	-0.764247	-1.631247	0.520355	0.177145	
21	-1.411097	-1.069755	0.044476	3.925561	-0.933449	-3.925561	1.601476	1.851229	-0.835934	-1.851229	0.704371	0.184446	
22	-1.771234	-1.292188	0.041649	3.743170	-0.889247	-3.743170	1.633224	2.154143	-0.953628	-2.154143	0.883449	0.187945	
23	-1.794564	-1.301847	0.062908	3.761647	-0.783772	-3.761647	1.529105	2.375993	-1.012762	-2.375993	0.936479	0.189381	
24	-1.616245	-1.174472	0.082919	3.878260	-0.639235	-3.878260	1.310816	2.408049	-0.992226	-2.408049	0.898984	0.189372	
25	-1.437700	-1.034887	0.093822	3.796559	-0.503644	-3.796559	1.062259	2.260569	-0.928720	-2.260569	0.842972	0.185214	
26	-0.969576	-0.700732	0.095229	3.352419	-0.324319	-3.352419	0.682392	1.664419	-0.718976	-1.664419	0.638703	0.174794	
27	-0.058096	-0.085231	0.087637	2.717844	-0.055180	-2.717844	0.133997	0.700237	-0.338358	-0.700237	0.217890	0.159684	
28	0.781927	0.467468	0.073379	2.328589	0.211143	-2.328589	-0.329820	0.143824	-0.014024	-0.143824	-0.182298	0.142485	
29	1.055082	0.643723	0.057419	2.385536	0.351466	-2.385536	-0.500449	0.243780	0.091983	-0.243780	-0.314207	0.126180	
30	0.821766	0.498939	0.046914	2.621928	0.350675	-2.621928	-0.423674	0.482039	0.044767	-0.482039	-0.198391	0.116119	
31	0.378046	0.216820	0.049927	2.688046	0.242343	-2.688046	-0.224857	0.619044	-0.057621	-0.619044	0.037836	0.116058	
32	0.074735	-0.001177	0.063663	2.385542	0.094378	-2.385542	-0.040982	0.678388	-0.144897	-0.678388	0.264666	0.123010	
33	0.265140	0.082505	0.080627	1.612016	0.063705	-1.612016	-0.027654	0.473912	-0.127769	-0.473912	0.272902	0.131585	
34	0.819086	0.423112	0.098547	0.559958	0.204146	-0.559958	-0.174101	0.063767	-0.013748	-0.063767	0.024013	0.140334	
35	1.140256	0.629579	0.117277	-0.304089	0.296361	0.304089	-0.261392	-0.183633	0.053202	0.183633	-0.149285	0.150516	
36	1.121113	0.580160	0.133778	-0.662753	0.158940	0.662753	-0.184424	-0.118459	0.008453	0.118459	-0.025774	0.161425	
37	1.190768	0.560205	0.140452	-0.518289	-0.054104	0.518289	-0.066453	0.189636	-0.054213	-0.189636	0.131120	0.171622	
38	1.064523	0.469674	0.136017	-0.137243	-0.176568	0.137243	0.027867	0.533527	-0.102243	-0.533527	0.209567	0.182503	
39	0.093770	-0.093645	0.129102	0.211528	-0.307243	-0.211528	0.200853	0.709847	-0.240024	-0.709847	0.527426	0.194977	
40	-0.844720	-0.651512	0.123772	0.511695	-0.421742	-0.511695	0.377796	0.813634	-0.399914	-0.813634	0.863697	0.205981	
