kww	// User ID
11-2-2021	// Evaluation date
kyle-pilot2_02_31.9	10-2-2021	15:01:14:883	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.852879	// height
83.778452	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
0	-2.592582	-2.133537	44.519458	6.716339	-2.035218	-6.716339	0.524797	1.150873	-0.219809	-1.150873	0.385597	
1	-2.172967	-1.642623	44.023054	2.662948	-1.549029	-2.662948	0.610196	-0.468538	0.115265	0.468538	-0.052986	
2	-1.312772	-0.763921	44.017508	-4.220366	-0.689163	4.220366	0.570973	-2.576876	0.608262	2.576876	-0.609699	
3	-0.687085	-0.118905	44.210407	-9.468790	-0.033815	9.468790	0.547538	-4.066801	1.020166	4.066801	-1.025293	
4	-0.453019	0.195205	44.418395	-12.326931	0.217594	12.326931	0.357148	-5.317590	1.359450	5.317590	-1.348356	
5	-0.289765	0.423154	44.768339	-14.561553	0.324698	14.561553	-0.041607	-6.366625	1.598008	6.366625	-1.585991	
6	-0.219682	0.471459	45.295145	-15.044366	0.377826	15.044366	-0.243553	-6.220665	1.565600	6.220665	-1.557326	
7	-0.534621	0.116181	45.776956	-11.734264	0.182063	11.734264	-0.090115	-4.772816	1.286777	4.772816	-1.239569	
8	-1.045736	-0.388882	46.103863	-7.005085	-0.203009	7.005085	0.091412	-3.289850	1.009262	3.289850	-0.888805	
9	-1.319899	-0.660655	46.395652	-4.437002	-0.507933	4.437002	0.162852	-2.392241	0.840694	2.392241	-0.660129	
10	-1.562066	-0.929437	46.656061	-3.371897	-0.800002	3.371897	0.197283	-1.226049	0.680256	1.226049	-0.410934	
11	-2.200269	-1.550589	46.663795	-0.895461	-1.279425	0.895461	-0.028307	0.613518	0.528235	-0.613518	-0.074167	
12	-2.837660	-2.110647	46.303385	2.959756	-1.754629	-2.959756	-0.605759	1.725899	0.527078	-1.725899	0.099750	
13	-2.898403	-2.126938	45.688423	5.352635	-1.964201	-5.352635	-1.044119	1.305376	0.637263	-1.305376	0.021549	
14	-2.812804	-2.059612	44.855970	5.652730	-2.103412	-5.652730	-1.097457	0.832548	0.703859	-0.832548	-0.023462	
15	-3.179646	-2.418327	43.620695	5.159616	-2.387042	-5.159616	-1.196242	0.821079	0.816368	-0.821079	0.058878	
16	-3.540663	-2.713328	41.923280	2.895082	-2.454191	-2.895082	-1.456436	-0.253506	1.062899	0.253506	0.025632	
17	-3.199003	-2.334994	40.115648	-1.962879	-1.906270	1.962879	-1.442107	-2.472181	1.240404	2.472181	-0.192857	
18	-2.298051	-1.469177	38.590508	-6.911331	-0.994034	6.911331	-1.015981	-4.324404	1.191313	4.324404	-0.416892	
19	-1.283191	-0.491114	37.485097	-9.884258	-0.156208	9.884258	-0.479910	-5.648859	1.021782	5.648859	-0.585540	
20	-0.236112	0.556940	36.941606	-11.853646	0.554283	11.853646	-0.036036	-7.182152	0.819800	7.182152	-0.740903	
21	0.783657	1.555858	37.134028	-13.699177	1.061646	13.699177	0.343715	-8.460487	0.570712	8.460487	-0.863409	
