kww	// User ID
16-2-2021	// Evaluation date
kyle-pilot2_23_66.8	10-2-2021	15:07:44:861	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.852879	// height
83.778452	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-0.588372	0.248629	0.325872	-9.897833	0.674817	9.897833	-1.138458	-5.020350	1.416727	5.020350	0.490790	0.333374	
1	-0.542554	0.331484	0.336034	-10.265434	0.865751	10.265434	-1.290788	-5.782776	1.477721	5.782776	0.450430	0.340311	
2	-0.773991	0.068095	0.350205	-9.647669	0.678344	9.647669	-1.008840	-5.269617	1.443516	5.269617	0.530893	0.339081	
3	-1.206649	-0.412352	0.359580	-7.824198	0.297305	7.824198	-0.643032	-4.001988	1.407670	4.001988	0.701991	0.328822	
4	-1.487185	-0.667278	0.362338	-6.007500	0.084825	6.007500	-0.460341	-3.055625	1.489704	3.055625	0.863154	0.313457	
5	-1.488748	-0.610199	0.360191	-4.648724	-0.004671	4.648724	-0.273844	-2.483951	1.604112	2.483951	0.960610	0.299611	
6	-1.435552	-0.521263	0.352258	-2.817975	-0.180996	2.817975	-0.000446	-2.013544	1.675775	2.013544	1.049137	0.290601	
7	-1.414784	-0.428024	0.340227	-0.710531	-0.300199	0.710531	0.038570	-2.233768	1.807717	2.233768	1.180549	0.283989	
8	-1.265095	-0.161181	0.331659	-0.022903	-0.161395	0.022903	-0.203865	-3.289527	1.985533	3.289527	1.286057	0.277778	
9	-0.987768	0.123641	0.330458	-0.760466	0.028473	0.760466	-0.330335	-3.989449	1.957803	3.989449	1.260546	0.273840	
10	-0.815442	0.117269	0.330884	-1.199874	0.018808	1.199874	-0.212739	-3.573037	1.621384	3.573037	1.129127	0.272462	
11	-0.816596	-0.101155	0.325993	-0.943902	-0.055149	0.943902	-0.135906	-2.618587	1.222411	2.618587	1.020482	0.271252	
12	-0.819000	-0.222098	0.315304	-0.969958	-0.040259	0.969958	-0.164772	-1.884534	0.988337	1.884534	0.964075	0.271393	
13	-0.823281	-0.280846	0.301177	-1.557954	-0.058722	1.557954	-0.087725	-1.396794	0.858084	1.396794	0.949521	0.276999	
14	-1.072299	-0.562783	0.284574	-2.227303	-0.162250	2.227303	0.005050	-0.872003	0.713566	0.872003	1.107238	0.287757	
15	-1.558642	-1.004135	0.268224	-2.828648	-0.104698	2.828648	-0.239883	-0.400933	0.636773	0.400933	1.490076	0.298923	
16	-1.929565	-1.220295	0.258831	-3.809679	0.284076	3.809679	-0.843133	-0.419012	0.763424	0.419012	1.877149	0.307611	
17	-1.987898	-1.081454	0.261960	-5.524726	0.789981	5.524726	-1.410370	-1.058058	1.044909	1.058058	2.081338	0.313866	
18	-1.838157	-0.781917	0.276718	-7.313761	1.076064	7.313761	-1.580163	-1.942437	1.305051	1.942437	2.131494	0.316985	
19	-1.562465	-0.443441	0.297746	-8.141904	1.040297	8.141904	-1.350570	-2.691311	1.451131	2.691311	2.069439	0.315182	
20	-1.141465	-0.042567	0.319753	-7.987760	0.800004	7.987760	-0.953430	-3.218600	1.501189	3.218600	1.890910	0.308846	
21	-0.616901	0.381757	0.338285	-7.302803	0.454953	7.302803	-0.540337	-3.438268	1.469453	3.438268	1.612475	0.300815	
22	-0.114157	0.700665	0.348841	-5.915794	0.059718	5.915794	-0.158974	-3.154218	1.341281	3.154218	1.260266	0.293169	
23	0.217914	0.816598	0.348121	-3.751033	-0.228244	3.751033	0.082548	-2.458101	1.154433	2.458101	0.920689	0.286394	
24	0.263888	0.740926	0.337005	-1.726581	-0.256222	1.726581	0.089803	-1.857860	1.018214	1.857860	0.804029	0.281026	
25	0.022469	0.564456	0.322416	-0.976693	-0.084980	0.976693	-0.075717	-1.740101	1.006752	1.740101	1.079300	0.277222	
26	-0.388644	0.342909	0.313053	-1.282259	0.103008	1.282259	-0.241929	-1.851689	1.045858	1.851689	1.642022	0.274318	
27	-0.835683	0.072857	0.312042	-1.451112	0.237337	1.451112	-0.309975	-1.761601	0.997566	1.761601	2.222421	0.272322	
28	-1.255661	-0.208861	0.317108	-0.997697	0.367995	0.997697	-0.341412	-1.471607	0.875985	1.471607	2.736420	0.271674	
29	-1.613141	-0.406493	0.326502	-0.305068	0.477497	0.305068	-0.373135	-1.217966	0.817881	1.217966	3.279801	0.272384	
30	-1.841629	-0.497384	0.339716	0.205550	0.431811	-0.205550	-0.242993	-1.099208	0.816081	1.099208	3.744391	0.274617	
31	-1.959271	-0.626765	0.352632	0.322054	0.152623	-0.322054	0.197715	-1.011025	0.659900	1.011025	3.833615	0.278412	
32	-2.084494	-0.907456	0.359028	0.172892	-0.213755	-0.172892	0.766003	-0.815634	0.272137	0.815634	3.533642	0.283254	
33	-2.184025	-1.168044	0.358017	-0.052643	-0.441979	0.052643	1.120041	-0.633081	-0.105210	0.633081	3.129804	0.288979	
34	-2.098677	-1.197624	0.353353	-0.652955	-0.511480	0.652955	1.165380	-0.629502	-0.262704	0.629502	2.733570	0.295869	
35	-1.877724	-1.090998	0.346517	-1.616837	-0.532242	1.616837	1.082310	-0.671005	-0.289301	0.671005	2.310166	0.302525	
36	-1.715378	-0.991603	0.338050	-2.545150	-0.492590	2.545150	0.934722	-0.731378	-0.260199	0.731378	2.071537	0.304786	
37	-1.637202	-0.819081	0.333156	-3.609505	-0.309929	3.609505	0.634057	-1.145612	-0.095171	1.145612	2.279498	0.299970	
38	-1.571384	-0.562324	0.337960	-5.293159	-0.063017	5.293159	0.269152	-1.999553	0.129936	1.999553	2.764827	0.290615	
39	-1.516785	-0.380078	0.351682	-7.098081	0.104289	7.098081	0.027029	-2.923844	0.238222	2.923844	3.133941	0.281141	
40	-1.437838	-0.251025	0.368553	-7.976805	0.209951	7.976805	-0.121442	-3.657080	0.266522	3.657080	3.315734	0.273615	
41	-1.258505	-0.024383	0.385026	-8.029511	0.311349	8.029511	-0.273972	-4.154331	0.329062	4.154331	3.461002	0.269469	
42	-1.056844	0.178139	0.398684	-7.645830	0.322051	7.645830	-0.328341	-4.058542	0.364451	4.058542	3.465642	0.271398	
43	-0.990958	0.106364	0.403814	-6.140438	0.180423	6.140438	-0.170135	-3.045606	0.273294	3.045606	3.106322	0.278514	
44	-0.985947	-0.129511	0.396371	-3.587152	0.012892	3.587152	0.043011	-1.725217	0.129390	1.725217	2.465511	0.283919	
45	-0.838950	-0.229755	0.379211	-1.535924	-0.053912	1.535924	0.123991	-0.866254	0.041439	0.866254	1.770331	0.283440	
46	-0.629600	-0.252713	0.356347	-0.341016	-0.077971	0.341016	0.140879	-0.241931	-0.011897	0.241931	1.103645	0.280269	
47	-0.582016	-0.411751	0.328367	0.788535	-0.135182	-0.788535	0.187603	0.383179	-0.082210	-0.383179	0.578690	0.276796	
48	-0.610436	-0.534265	0.297729	1.476940	-0.144939	-1.476940	0.176600	0.586876	-0.127143	-0.586876	0.402668	0.271297	
49	-0.490500	-0.341945	0.271304	0.932367	-0.027772	-0.932367	0.047069	0.232993	-0.086996	-0.232993	0.592276	0.263382	
50	-0.369265	-0.050988	0.253356	-0.361093	0.124694	0.361093	-0.097721	-0.233397	-0.023240	0.233397	0.983989	0.254051	
51	-0.593699	-0.096521	0.241623	-1.632139	0.167831	1.632139	-0.151602	-0.537893	-0.082564	0.537893	1.496265	0.242145	
52	-1.075032	-0.408938	0.232701	-2.724262	0.095868	2.724262	-0.128815	-0.804314	-0.265389	0.804314	2.090167	0.226609	
53	-1.376428	-0.561981	0.226695	-3.606760	0.017348	3.606760	-0.087166	-1.166026	-0.410937	1.166026	2.598580	0.209787	
