kww	// User ID
16-2-2021	// Evaluation date
luke-pilot_12_59.5	3-2-2021	11:59:19:861	// Source file name and timestamp
238.095	// Sampling rate
4.000	// Data capture period

1.835409	// height
81.720696	// mass


Sample #	elbVar	shldrIR	RwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	LwristLinVelo	
0	1.592668	0.331347	0.060450	0.665219	0.000000	-0.665219	-0.011803	0.530214	-0.093959	-0.530214	0.074973	0.062844	
1	1.573749	0.345815	0.056909	0.795800	0.000000	-0.795800	-0.050528	0.557052	-0.105495	-0.557052	0.086561	0.057488	
2	1.526012	0.278249	0.053736	0.898726	0.000000	-0.898726	-0.088838	0.516920	-0.098029	-0.516920	0.088512	0.051734	
3	1.520447	0.222170	0.051128	0.892596	0.000000	-0.892596	-0.122133	0.441378	-0.079456	-0.441378	0.087452	0.047569	
4	1.523061	0.179810	0.049063	0.713519	0.000000	-0.713519	-0.150957	0.314959	-0.050947	-0.314959	0.082926	0.046281	
5	1.431983	0.050948	0.048802	0.425737	0.000000	-0.425737	-0.141401	0.143800	-0.013685	-0.143800	0.068686	0.047936	
6	1.244765	-0.166825	0.052151	0.193465	0.000000	-0.193465	-0.067583	-0.002629	0.017771	0.002629	0.044711	0.052722	
7	1.046623	-0.366301	0.059586	0.074752	-0.000000	-0.074752	0.039352	-0.096778	0.033848	0.096778	0.015673	0.060668	
8	0.836538	-0.542683	0.070755	-0.016808	-0.000000	0.016808	0.147309	-0.192094	0.041044	0.192094	-0.022134	0.069669	
9	0.582809	-0.749054	0.085764	-0.152702	-0.000000	0.152702	0.268667	-0.332834	0.045382	0.332834	-0.079185	0.076893	
10	0.425661	-0.862049	0.104433	-0.429017	-0.000000	0.429017	0.392084	-0.529187	0.055785	0.529187	-0.146103	0.082194	
11	0.531354	-0.718098	0.124605	-0.957737	0.000000	0.957737	0.457980	-0.746527	0.080024	0.746527	-0.188567	0.087022	
