kww	// User ID
12-2-2021	// Evaluation date
nate-pilot_21_62.7	12-2-2021	09:41:38:906	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.632822	// height
82.450500	// mass


Sample #	elbVar	shldrIR	handAngVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	
0	-1.564348	-0.063258	205.869827	-1.325066	-0.252608	1.325066	-1.511936	-0.415221	2.433829	0.415221	5.878478	
1	-1.458633	-0.250823	211.227032	0.514526	-0.385420	-0.514526	-0.794407	-0.550454	1.995758	0.550454	4.528425	
2	-1.240392	-0.548986	214.298731	-0.479453	-0.416584	0.479453	-0.546691	-1.442462	1.345721	1.442462	2.475846	
3	-1.135730	-0.819800	213.576906	-2.648465	-0.448157	2.648465	-0.644574	-2.069415	0.935570	2.069415	1.115706	
4	-1.417280	-1.192105	209.164030	-2.976987	-0.612352	2.976987	-0.747877	-1.918139	1.003574	1.918139	0.937983	
5	-1.955394	-1.611429	201.785725	-1.327920	-0.811160	1.327920	-0.724099	-1.671853	1.370996	1.671853	1.719149	
6	-2.274586	-1.678480	192.726987	-0.457539	-0.803767	0.457539	-0.486174	-2.114586	1.784147	2.114586	3.273392	
7	-2.208711	-1.289934	184.360777	-0.887403	-0.618683	0.887403	0.232362	-2.931165	2.252597	2.931165	5.277224	
8	-2.024149	-0.909013	178.765071	-1.255250	-0.519712	1.255250	1.482722	-3.585076	2.578762	3.585076	6.596041	
9	-2.011843	-0.924459	176.168876	-1.658379	-0.603900	1.658379	2.725397	-3.810081	2.428135	3.810081	6.617860	
10	-2.198291	-1.177263	175.895169	-2.853851	-0.716885	2.853851	3.237451	-3.364548	1.979647	3.364548	6.273317	
11	-2.345777	-1.272813	177.831641	-4.275870	-0.674739	4.275870	2.616288	-2.247884	1.765563	2.247884	6.420432	
12	-2.279178	-1.118272	181.839885	-4.959201	-0.495742	4.959201	1.000662	-1.003405	1.911159	1.003405	6.754348	
13	-2.196212	-0.973569	186.730514	-5.339326	-0.354122	5.339326	-0.991432	-0.523108	2.107011	0.523108	7.024637	
14	-2.398723	-1.049629	190.968356	-6.556827	-0.372029	6.556827	-2.524456	-1.110767	2.139722	1.110767	7.635228	
15	-2.823528	-1.276655	193.884303	-7.881333	-0.540709	7.881333	-2.947509	-1.942075	1.988763	1.942075	8.586273	
16	-3.116010	-1.474163	195.302708	-7.335286	-0.758941	7.335286	-2.259905	-2.178318	1.581415	2.178318	9.091909	
17	-3.065540	-1.498643	194.704856	-5.554964	-0.857055	5.554964	-1.355616	-2.115348	1.100252	2.115348	8.827631	
18	-2.824918	-1.275647	192.060706	-5.350454	-0.715777	5.350454	-1.345989	-2.450652	1.230629	2.450652	8.811585	
19	-2.609620	-0.890352	188.604111	-7.342502	-0.404244	7.342502	-2.126687	-3.255177	2.089303	3.255177	9.631227	
20	-2.315537	-0.519092	185.242808	-9.870133	-0.099580	9.870133	-2.535922	-4.315825	2.712597	4.315825	9.876701	
21	-1.765934	-0.206489	181.146385	-12.331858	0.106634	12.331858	-2.230370	-5.704224	2.592524	5.704224	8.444424	
22	-1.082058	0.167825	175.287832	-15.595878	0.273602	15.595878	-2.070990	-7.467732	2.506763	7.467732	6.590660	
23	-0.527424	0.649258	168.255490	-18.011008	0.492255	18.011008	-2.669765	-8.969074	3.103102	8.969074	5.946530	
24	-0.317927	0.991768	161.299805	-15.790110	0.718955	15.790110	-3.511566	-9.341480	3.763838	9.341480	6.485337	
25	-0.568290	0.880022	154.742926	-10.463444	0.794050	10.463444	-3.659658	-8.547800	3.577957	8.547800	7.287689	
26	-1.110482	0.369479	148.325691	-7.121768	0.631868	7.121768	-2.896682	-6.956183	2.594749	6.956183	7.715108	
27	-1.608442	-0.201584	142.171103	-5.865975	0.311050	5.865975	-1.797874	-4.668702	1.512319	4.668702	7.610377	
28	-1.946138	-0.675980	136.605532	-3.960287	-0.068055	3.960287	-0.875184	-2.114632	0.661353	2.114632	7.131385	
