kww	// User ID
16-2-2021	// Evaluation date
nate-pilot_13_63.8	12-2-2021	09:40:02:143	// Source file name and timestamp
238.095	// Sampling rate
5.000	// Data capture period

1.632822	// height
82.450500	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-0.549747	-0.174102	0.179906	0.497719	0.473066	-0.497719	-0.458551	-0.171170	0.586367	0.171170	0.370127	0.273879	
1	-0.169791	0.171123	0.200988	2.873574	-0.039501	-2.873574	-0.005600	0.573817	0.382616	-0.573817	0.775143	0.278235	
2	-0.021391	0.428018	0.205036	6.290087	-0.569887	-6.290087	0.536974	1.413539	0.393102	-1.413539	1.345610	0.284718	
3	-0.090935	0.524906	0.197463	8.066147	-0.896125	-8.066147	0.938393	2.084885	0.551011	-2.084885	1.801910	0.292807	
4	-0.378766	0.452217	0.181969	8.046271	-0.982173	-8.046271	1.241644	2.536993	0.843070	-2.536993	2.072392	0.300606	
5	-0.822347	0.237184	0.152262	6.862233	-0.816071	-6.862233	1.392946	2.344748	1.197769	-2.344748	2.119086	0.304374	
6	-1.232299	-0.003986	0.108812	5.077231	-0.453228	-5.077231	1.207148	1.485219	1.464700	-1.485219	1.994213	0.302781	
7	-1.416650	-0.158415	0.074833	3.413245	-0.078173	-3.413245	0.759865	0.554885	1.512199	-0.554885	1.750253	0.297448	
8	-1.278504	-0.176755	0.082954	2.141456	0.099403	-2.141456	0.418617	-0.052143	1.290065	0.052143	1.405514	0.289650	
9	-0.869410	-0.046194	0.116811	1.028964	0.012187	-1.028964	0.335008	-0.356378	0.887529	0.356378	1.083566	0.279522	
10	-0.410599	0.192809	0.150516	-0.072188	-0.222507	0.072188	0.261513	-0.508395	0.522724	0.508395	0.994626	0.267057	
11	-0.114193	0.453423	0.172287	-1.250915	-0.429877	1.250915	-0.132097	-0.662423	0.341033	0.662423	1.214453	0.253024	
12	-0.103003	0.608619	0.180016	-2.708334	-0.502541	2.708334	-0.930177	-1.023745	0.351228	1.023745	1.604286	0.239750	
13	-0.543840	0.478229	0.190192	-4.464187	-0.380111	4.464187	-1.857751	-1.842825	0.591115	1.842825	1.951522	0.228967	
14	-1.399136	0.030532	0.218292	-5.654725	-0.059890	5.654725	-2.407059	-2.894403	1.008512	2.894403	2.086863	0.219036	
15	-2.188042	-0.493762	0.250586	-4.856450	0.337359	4.856450	-2.267012	-3.350611	1.309004	3.350611	1.900026	0.207890	
16	-2.521125	-0.897328	0.270568	-2.354078	0.691485	2.354078	-1.685474	-2.880302	1.320428	2.880302	1.330954	0.197423	
17	-2.526271	-1.203499	0.277958	-0.117655	0.976613	0.117655	-1.177918	-1.998393	1.220232	1.998393	0.515080	0.190728	
18	-2.476150	-1.421063	0.276992	1.029553	1.128349	-1.029553	-0.960487	-1.202656	1.165999	1.202656	-0.151855	0.187808	
19	-2.389913	-1.445972	0.270549	1.420997	1.047348	-1.420997	-0.899603	-0.678714	1.068199	0.678714	-0.365630	0.188414	
20	-2.057997	-1.169392	0.265109	1.196832	0.721105	-1.196832	-0.781445	-0.306521	0.782603	0.306521	-0.175319	0.195306	
21	-1.285942	-0.542823	0.264870	0.786235	0.264677	-0.786235	-0.505676	0.441422	0.264496	-0.441422	0.248222	0.209500	
22	-0.119117	0.354108	0.261464	0.946434	-0.142158	-0.946434	-0.184871	1.987698	-0.451270	-1.987698	0.786850	0.225061	
23	1.134001	1.277986	0.245016	1.776834	-0.426678	-1.776834	0.045703	3.915655	-1.230657	-3.915655	1.277019	0.234672	
24	1.972528	1.892118	0.222048	2.479002	-0.634150	-2.479002	0.343940	5.127166	-1.834719	-5.127166	1.576090	0.237113	
25	1.918935	1.943889	0.207571	2.577055	-0.726798	-2.577055	0.900146	5.225036	-2.144846	-5.225036	1.688687	0.233414	
26	1.005065	1.494212	0.203635	2.995861	-0.604564	-2.995861	1.365655	4.922152	-2.294808	-4.922152	1.681887	0.222674	
27	-0.164610	0.858963	0.201872	4.678530	-0.325829	-4.678530	1.222787	4.639840	-2.364970	-4.639840	1.558883	0.207402	
28	-1.095922	0.228319	0.199022	6.557105	-0.015593	-6.557105	0.602955	3.912256	-2.149922	-3.912256	1.236653	0.195074	
29	-1.758691	-0.408225	0.199380	7.098904	0.312511	-7.098904	0.068280	2.539650	-1.528817	-2.539650	0.691518	0.190205	
30	-2.215164	-0.965209	0.207926	6.666096	0.606033	-6.666096	-0.021266	1.053689	-0.840134	-1.053689	0.096075	0.191442	
31	-2.433078	-1.267717	0.225760	6.109237	0.735608	-6.109237	0.333509	0.027790	-0.483520	-0.027790	-0.327615	0.196343	
32	-2.448464	-1.325552	0.251477	5.760783	0.695489	-5.760783	0.855830	-0.311136	-0.421683	0.311136	-0.568734	0.202653	
33	-2.343969	-1.283316	0.282873	5.597432	0.585650	-5.597432	1.239521	-0.165039	-0.401103	0.165039	-0.762752	0.207236	
34	-2.044743	-1.129014	0.314288	5.169075	0.420139	-5.169075	1.294968	0.227953	-0.344976	-0.227953	-0.872688	0.207339	
35	-1.312295	-0.687494	0.336038	4.145063	0.124494	-4.145063	0.906714	1.026592	-0.281963	-1.026592	-0.648787	0.202700	
36	-0.156332	0.036609	0.342352	2.822916	-0.255904	-2.822916	0.159429	2.313698	-0.193670	-2.313698	0.003885	0.195215	
37	0.910121	0.719111	0.336596	1.480144	-0.501003	-1.480144	-0.630317	3.550239	-0.114628	-3.550239	0.761275	0.185691	
38	1.388665	1.066744	0.325867	0.263947	-0.483268	-0.263947	-1.266773	4.123780	-0.150098	-4.123780	1.194729	0.174464	
39	1.281482	1.085470	0.315142	-0.374600	-0.301404	0.374600	-1.739341	3.870579	-0.341751	-3.870579	1.188198	0.165332	
40	0.825638	0.906239	0.305946	-0.373231	-0.098508	0.373231	-1.975165	2.973718	-0.654447	-2.973718	0.847436	0.161983	
