kww	// User ID
12-5-2021	// Evaluation date
p00_e_75_step_002_	12-5-2021	16:23:34:712	// Source file name and timestamp
238.095	// Sampling rate
0.779	// Data capture period

1.790000	// height
84.500000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-3.842472	-0.942234	2.422476	104.976329	-6.346302	-104.976329	91.038391	-2.969054	-30.176016	2.969054	20.040188	3.011490	
1	-2.923404	-0.649368	2.451838	78.835560	-4.707019	-78.835560	72.052760	-6.688166	-22.359054	6.688166	15.762877	3.019191	
2	-2.180215	-0.373178	2.474704	61.228976	-3.315384	-61.228976	57.212665	-8.279379	-15.923743	8.279379	11.833108	3.014202	
3	-1.050443	-0.187656	2.488166	29.035550	-1.427253	-29.035550	35.052742	-12.585420	-6.276000	12.585420	5.241434	2.998716	
4	0.001145	-0.138603	2.489597	-0.412310	0.248083	0.412310	15.018125	-16.488931	2.442013	16.488931	-0.966651	2.977721	
5	0.900198	-0.196573	2.479775	-26.737760	1.584877	26.737760	-1.469099	-20.707748	9.674963	20.707748	-5.983159	2.954791	
6	1.567929	-0.293757	2.462006	-48.599763	2.470822	48.599763	-12.899036	-25.446033	14.907640	25.446033	-9.196070	2.932132	
7	2.006557	-0.381608	2.440739	-66.064482	2.923978	66.064482	-19.400823	-30.623582	18.259832	30.623582	-10.658654	2.910765	
8	2.252100	-0.449813	2.420096	-79.504981	3.030804	79.504981	-21.968769	-35.880390	20.048815	35.880390	-10.699332	2.890708	
9	2.345668	-0.501619	2.403638	-89.620756	2.889120	89.620756	-21.637973	-40.971418	20.598525	40.971418	-9.712251	2.871327	
10	2.339267	-0.561548	2.393902	-97.202244	2.602600	97.202244	-19.537500	-45.629781	20.292105	45.629781	-8.118136	2.851898	
11	2.288281	-0.656104	2.391751	-102.977989	2.262563	102.977989	-16.733898	-49.665719	19.541749	49.665719	-6.270983	2.831969	
12	2.234070	-0.789674	2.396770	-107.534618	1.918641	107.534618	-13.928141	-53.083705	18.664224	53.083705	-4.376115	2.811662	
13	2.203532	-0.947005	2.408052	-111.265805	1.585446	111.265805	-11.466926	-56.000813	17.867234	56.000813	-2.518932	2.791546	
14	2.209311	-1.097914	2.424713	-114.447501	1.260343	114.447501	-9.312983	-58.678849	17.255157	58.678849	-0.718996	2.771946	
15	2.250178	-1.226388	2.446055	-117.406653	0.942018	117.406653	-7.363182	-61.364374	16.840211	61.364374	1.025264	2.752616	
16	2.325159	-1.342432	2.471394	-120.464686	0.642830	120.464686	-5.798758	-64.067692	16.638255	64.067692	2.705124	2.733057	
17	2.449245	-1.447294	2.500028	-123.830508	0.388836	123.830508	-4.966778	-66.728698	16.771962	66.728698	4.281471	2.712876	
18	2.637654	-1.526910	2.531400	-127.497213	0.200555	127.497213	-5.063513	-69.368996	17.359287	69.368996	5.726805	2.691686	
19	2.888778	-1.565335	2.565140	-131.203131	0.076432	131.203131	-5.991088	-72.046299	18.401105	72.046299	7.052093	2.669051	
20	3.197502	-1.543991	2.601029	-134.708641	0.000954	134.708641	-7.627112	-74.781076	19.889802	74.781076	8.256787	2.644840	
21	3.552461	-1.450606	2.639000	-137.839730	-0.047155	137.839730	-9.884080	-77.444805	21.762151	77.444805	9.388597	2.619132	
22	3.925255	-1.288028	2.679281	-140.377336	-0.094571	140.377336	-12.456021	-79.846672	23.767392	79.846672	10.616115	2.591867	
23	4.286682	-1.079334	2.722471	-142.271127	-0.167673	142.271127	-14.970520	-81.964808	25.599944	81.964808	12.114535	2.563644	
24	4.610091	-0.863481	2.769373	-143.555950	-0.279743	143.555950	-17.059428	-83.894497	26.960733	83.894497	14.019396	2.536899	
25	4.863634	-0.672464	2.820969	-144.093838	-0.416952	144.093838	-18.281197	-85.568930	27.503883	85.568930	16.473088	2.515201	
26	5.035155	-0.523124	2.878527	-143.812137	-0.551242	143.812137	-18.571534	-86.815703	27.087962	86.815703	19.511296	2.500876	
27	5.162159	-0.425542	2.943033	-143.108571	-0.684990	143.108571	-18.665562	-87.800126	26.092368	87.800126	22.944027	2.493962	
28	5.299036	-0.377305	3.014329	-142.523731	-0.846183	142.523731	-19.463245	-88.993848	25.127331	88.993848	26.462299	2.493016	
29	5.452213	-0.361727	3.091315	-142.043113	-1.028572	142.043113	-20.989832	-90.686642	24.396613	90.686642	29.837575	2.495706	
30	5.589198	-0.366821	3.172832	-141.207581	-1.188332	141.207581	-22.621043	-92.824949	23.705735	92.824949	32.981279	2.499695	
31	5.689930	-0.390390	3.257915	-139.620759	-1.296642	139.620759	-24.024567	-95.108481	22.928812	95.108481	35.835902	2.503973	
32	5.750315	-0.431331	3.345583	-137.111975	-1.357700	137.111975	-25.208408	-97.176362	22.075524	97.176362	38.316409	2.509198	
33	5.772642	-0.491889	3.434722	-133.553675	-1.399554	133.553675	-26.199540	-98.727908	21.173148	98.727908	40.373721	2.517268	
34	5.769695	-0.563989	3.524054	-128.952423	-1.441726	128.952423	-27.163385	-99.492567	20.323445	99.492567	41.957854	2.530524	
35	5.754623	-0.616245	3.612139	-123.841787	-1.464146	123.841787	-28.390032	-99.268731	19.620426	99.268731	43.010848	2.550764	
36	5.734353	-0.623479	3.697617	-118.881365	-1.453327	118.881365	-30.075872	-97.937339	19.032582	97.937339	43.581579	2.578312	
37	5.706143	-0.590354	3.779588	-114.433390	-1.449816	114.433390	-32.149876	-95.482818	18.442430	95.482818	43.749593	2.611821	
38	5.650879	-0.542615	3.857702	-110.294604	-1.534001	110.294604	-34.138830	-92.049904	17.648242	92.049904	43.556079	2.649504	
39	5.549657	-0.514572	3.931949	-104.850246	-1.796746	104.850246	-35.472056	-87.822158	16.458865	87.822158	43.105360	2.689794	
40	5.394045	-0.529403	4.002368	-96.054514	-2.307922	96.054514	-35.936410	-82.847205	14.854861	82.847205	42.463305	2.730550	
41	5.176454	-0.580151	4.068721	-84.021076	-3.092364	84.021076	-35.667138	-77.045239	12.966963	77.045239	41.489589	2.769410	
42	4.893153	-0.639284	4.130416	-70.616754	-4.147886	70.616754	-34.847410	-70.369092	10.971585	70.369092	39.928878	2.805319	
43	4.545205	-0.691359	4.186782	-56.359456	-5.497461	56.359456	-33.418822	-62.926164	8.990018	62.926164	37.625282	2.839330	
44	4.135272	-0.742398	4.237373	-40.139387	-7.196054	40.139387	-31.131949	-54.972184	7.088185	54.972184	34.602235	2.874320	
45	3.685190	-0.788177	4.282047	-21.811802	-9.278342	21.811802	-27.953144	-46.874722	5.434524	46.874722	30.970430	2.913895	
46	3.246021	-0.798130	4.321082	-2.940776	-11.743012	2.940776	-24.191381	-39.105063	4.316737	39.105063	26.897676	2.961510	
47	2.865001	-0.741048	4.355149	14.652491	-14.591591	-14.652491	-20.163944	-32.087111	3.958495	32.087111	22.516116	3.020203	
48	2.549667	-0.613541	4.384574	30.043704	-17.876134	-30.043704	-15.878679	-25.955639	4.393997	25.955639	17.799689	3.092484	
49	2.280761	-0.439123	4.408872	43.056203	-21.740346	-43.056203	-11.036432	-20.670909	5.488533	20.670909	12.729989	3.180438	
50	2.044557	-0.239227	4.427219	53.603477	-26.400195	-53.603477	-5.317768	-16.396956	7.135914	16.396956	7.320359	3.285728	
51	1.845333	-0.010657	4.438985	61.461823	-32.062895	-61.461823	1.375790	-13.534115	9.449730	13.534115	1.434728	3.409157	
52	1.704732	0.269916	4.443759	65.982635	-38.851861	-65.982635	8.965050	-12.492004	12.679956	12.492004	-5.087386	3.550256	
53	1.645774	0.625436	4.441190	66.172304	-46.777994	-66.172304	17.432532	-13.693839	16.978403	13.693839	-12.244407	3.706958	
54	1.667851	1.055004	4.431040	61.744755	-55.803096	-61.744755	27.090224	-17.511644	22.227262	17.511644	-19.859889	3.874945	
55	1.743300	1.525983	4.413365	53.807323	-65.956883	-53.807323	38.699664	-23.958142	28.041015	23.958142	-27.616092	4.047647	
56	1.837571	1.989495	4.388731	44.112954	-77.365345	-44.112954	53.323873	-32.827715	33.988467	32.827715	-35.199631	4.218085	
57	1.931997	2.401954	4.358822	33.736395	-90.111718	-33.736395	71.935374	-44.195299	39.822280	44.195299	-42.421567	4.380677	
58	2.026955	2.743749	4.326495	22.747449	-104.078799	-22.747449	94.922297	-58.331846	45.553929	58.331846	-49.271743	4.531277	
59	2.116785	3.037858	4.294051	10.515493	-118.967352	-10.515493	121.640344	-75.109397	51.404327	75.109397	-56.018444	4.666747	
60	2.182810	3.329912	4.261344	-3.884378	-134.348836	3.884378	150.563013	-93.971991	57.557084	93.971991	-62.966310	4.785213	
61	2.236964	3.631867	4.226710	-20.830391	-149.905173	20.830391	180.501805	-114.662148	63.954010	114.662148	-70.033473	4.886677	
62	2.334923	3.918777	4.189512	-40.475351	-165.929218	40.475351	211.478668	-137.465273	70.414906	137.465273	-76.885593	4.972930	
63	2.520629	4.156011	4.150562	-63.451017	-183.124115	63.451017	243.846848	-162.490667	76.738983	162.490667	-83.249182	5.045631	
64	2.798811	4.305202	4.111179	-90.370655	-201.802594	90.370655	276.930742	-189.294436	82.868784	189.294436	-89.025970	5.104407	
65	3.155205	4.378561	4.072668	-123.207063	-221.682299	123.207063	308.394924	-217.517480	89.234034	217.517480	-94.453054	5.148634	
66	3.576483	4.484055	4.035273	-166.632431	-242.202813	166.632431	334.896220	-247.691440	96.593769	247.691440	-100.010733	5.180313	
