kww	// User ID
11-5-2021	// Evaluation date
p03_e_100_crow_005	11-5-2021	11:50:48:501	// Source file name and timestamp
238.095	// Sampling rate
0.692	// Data capture period

1.850000	// height
100.000000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-9.625074	-9.443672	5.408169	370.827322	-24.481068	-370.827322	280.301614	44.260355	-122.947827	-44.260355	102.022298	4.168220	
1	-7.187403	-7.702559	5.411775	336.602357	-14.432948	-336.602357	230.554578	32.848263	-98.713471	-32.848263	84.573908	4.304690	
2	-5.090174	-6.013696	5.411687	310.999877	-5.665680	-310.999877	179.540360	28.536273	-73.639792	-28.536273	66.839291	4.413531	
3	-2.663455	-3.551578	5.408795	238.769047	2.575437	-238.769047	110.902005	11.168486	-37.643206	-11.168486	45.925783	4.490929	
4	-0.725540	-1.256398	5.403255	163.436264	7.713778	-163.436264	54.085938	-8.029005	-7.007449	8.029005	32.076836	4.539528	
5	0.703190	0.625494	5.391440	89.578878	9.711291	-89.578878	15.267980	-29.232494	14.578489	29.232494	27.211092	4.569879	
6	1.689286	1.960920	5.373583	24.294406	9.208774	-24.294406	-5.341172	-50.710957	26.427727	50.710957	30.038788	4.593371	
7	2.378453	2.805876	5.355617	-29.525451	7.210484	29.525451	-12.803440	-71.337708	30.947650	71.337708	37.345134	4.618843	
8	2.905089	3.262313	5.347600	-69.770888	4.894265	69.770888	-13.089836	-89.434672	31.212434	89.434672	45.964081	4.651004	
9	3.363279	3.431257	5.358664	-95.399500	3.287148	95.399500	-10.909190	-103.566366	29.774259	103.566366	53.788312	4.690823	
10	3.796364	3.419417	5.392291	-107.242114	2.847768	107.242114	-9.111703	-113.255582	28.204976	113.255582	59.830146	4.737200	
11	4.214517	3.349411	5.446114	-108.834771	3.464761	108.834771	-9.115061	-119.148329	27.293900	119.148329	63.783396	4.788514	
12	4.623946	3.322518	5.515647	-105.246373	4.784216	105.246373	-11.377520	-122.161402	27.389175	122.161402	65.708970	4.843095	
13	5.057781	3.367188	5.595999	-100.204075	6.488151	100.204075	-15.923872	-122.235477	28.693658	122.235477	66.029479	4.898780	
14	5.544061	3.461201	5.680405	-95.619723	8.286281	95.619723	-22.319168	-119.015669	31.107139	119.015669	65.405184	4.952810	
15	6.053200	3.581740	5.760035	-93.320904	9.832317	93.320904	-29.321352	-113.257087	33.972629	113.257087	64.482479	5.002829	
16	6.526779	3.706096	5.826987	-94.740072	10.837015	94.740072	-35.419314	-106.301455	36.446524	106.301455	63.780376	5.047810	
17	6.915408	3.811619	5.877066	-100.287512	11.146734	100.287512	-39.450162	-99.388055	37.900329	99.388055	63.556200	5.088085	
18	7.187924	3.882210	5.909343	-109.540557	10.731849	109.540557	-40.870198	-93.397786	38.027404	93.397786	63.723290	5.124934	
19	7.363613	3.902587	5.924434	-120.750219	9.748020	120.750219	-40.379304	-88.011584	37.040519	88.011584	64.003371	5.159969	
20	7.508526	3.878217	5.923852	-131.500955	8.449640	131.500955	-39.611850	-82.014932	35.546755	82.014932	64.124530	5.194522	
21	7.673323	3.851011	5.910108	-140.497546	6.977119	140.497546	-39.701496	-74.800833	34.004030	74.800833	63.917188	5.229413	
22	7.876223	3.876482	5.887370	-147.562530	5.334569	147.562530	-40.976129	-66.502189	32.600214	66.502189	63.276913	5.264961	
23	8.135140	4.001935	5.861654	-152.393648	3.479152	152.393648	-43.619977	-57.078614	31.511172	57.078614	62.097560	5.300885	
24	8.463056	4.259391	5.839244	-154.481888	1.355261	154.481888	-47.627854	-46.366073	30.861940	46.366073	60.313598	5.336265	
25	8.849992	4.664153	5.824844	-153.466815	-1.079538	153.466815	-52.587788	-34.493853	30.603375	34.493853	57.925906	5.369833	
26	9.281908	5.214505	5.821047	-148.717277	-3.819626	148.717277	-57.908928	-21.676723	30.628457	21.676723	55.018838	5.400294	
27	9.751741	5.891059	5.828332	-139.321201	-6.874285	139.321201	-62.961364	-8.079635	30.860902	8.079635	51.722395	5.426480	
28	10.240299	6.664137	5.845288	-124.739834	-10.375868	124.739834	-67.127676	5.993506	31.242722	-5.993506	47.968538	5.447345	
29	10.713840	7.494547	5.869138	-104.731456	-14.562509	104.731456	-69.855739	20.135110	31.736114	-20.135110	43.497496	5.462047	
30	11.144818	8.333971	5.895742	-78.822621	-19.749328	78.822621	-70.582588	34.139758	32.350851	-34.139758	38.103460	5.470173	
31	11.520779	9.148686	5.919826	-46.542056	-26.360577	46.542056	-68.746703	48.023983	33.183184	-48.023983	31.618673	5.471500	
32	11.835054	9.924381	5.936070	-8.026148	-34.863280	8.026148	-63.790024	61.609408	34.306644	-61.609408	24.005506	5.465423	
33	12.084554	10.639930	5.939725	35.614112	-45.628598	-35.614112	-54.973855	74.304854	35.611797	-74.304854	15.653503	5.451231	
34	12.275487	11.265518	5.927689	82.529034	-58.871022	-82.529034	-41.421558	85.277065	36.891151	-85.277065	7.238173	5.429037	
35	12.407388	11.771641	5.900071	130.991738	-74.649335	-130.991738	-22.426060	93.597492	38.021405	-93.597492	-0.753384	5.400121	
36	12.460034	12.123637	5.859016	179.714922	-92.870865	-179.714922	2.323493	98.376493	39.034900	-98.376493	-8.194400	5.366605	
37	12.415147	12.293246	5.806383	227.867728	-113.381686	-227.867728	32.680700	99.043423	40.162808	-99.043423	-15.203504	5.330958	
38	12.266266	12.276433	5.744273	275.148827	-136.075557	-275.148827	68.152758	95.472805	41.825746	-95.472805	-22.113619	5.295315	
39	12.005636	12.090457	5.675891	321.276486	-160.912912	-321.276486	108.034133	87.849780	44.501467	-87.849780	-29.462210	5.260581	
