kww	// User ID
11-5-2021	// Evaluation date
p03_v_75_crow_003	11-5-2021	11:56:48:619	// Source file name and timestamp
238.095	// Sampling rate
0.892	// Data capture period

1.850000	// height
100.000000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-5.842794	-4.054164	4.337240	155.088594	-6.911301	-155.088594	110.823309	17.528455	-44.372768	-17.528455	33.955960	2.240426	
1	-4.751934	-3.327928	4.329374	130.821213	-6.710960	-130.821213	94.564651	9.507951	-37.559591	-9.507951	30.272365	2.298980	
2	-3.819424	-2.680026	4.317319	112.892262	-6.419439	-112.892262	80.037106	4.209674	-31.277187	-4.209674	26.726916	2.351240	
3	-2.547245	-1.877353	4.304809	73.729498	-5.431365	-73.729498	60.362452	-7.447933	-22.551606	7.447933	23.376244	2.396696	
4	-1.400860	-1.189759	4.297907	36.605986	-4.312085	-36.605986	43.327998	-18.536688	-14.870764	18.536688	21.215071	2.436282	
5	-0.433035	-0.653012	4.297581	4.343478	-3.268110	-4.343478	29.941180	-28.496726	-8.860162	28.496726	20.491542	2.471542	
6	0.299436	-0.274386	4.303556	-20.140684	-2.439903	20.140684	20.734527	-36.545884	-4.929765	36.545884	21.111955	2.504520	
7	0.800605	-0.018280	4.314738	-37.403912	-1.806903	37.403912	15.172117	-42.816942	-2.910303	42.816942	22.760506	2.537324	
8	1.111258	0.148470	4.330339	-48.517453	-1.305069	48.517453	12.376183	-47.513074	-2.324611	47.513074	25.005177	2.571646	
9	1.286128	0.238933	4.350406	-54.482809	-0.886408	54.482809	11.537697	-50.836470	-2.659148	50.836470	27.513056	2.608538	
10	1.363658	0.255496	4.375309	-56.403491	-0.517445	56.403491	12.117786	-53.062327	-3.579578	53.062327	30.130948	2.648612	
11	1.377836	0.210361	4.405564	-55.617959	-0.166903	55.617959	13.591634	-54.540680	-4.810438	54.540680	32.758921	2.692222	
12	1.366612	0.131829	4.442347	-53.472861	0.187138	53.472861	15.377624	-55.596978	-6.047140	55.596978	35.234844	2.739455	
13	1.355422	0.047606	4.487257	-51.046943	0.546808	51.046943	17.052558	-56.471725	-7.076922	56.471725	37.400805	2.790176	
14	1.357904	-0.029604	4.541224	-48.945995	0.900320	48.945995	18.400725	-57.291663	-7.810817	57.291663	39.195393	2.844110	
15	1.386822	-0.098192	4.603612	-47.353619	1.235432	47.353619	19.327542	-58.122156	-8.215067	58.122156	40.647016	2.900806	
16	1.450982	-0.155774	4.672007	-46.347097	1.544843	46.347097	19.766505	-58.970607	-8.295442	58.970607	41.829181	2.959676	
17	1.556026	-0.186301	4.742535	-46.309297	1.820645	46.309297	19.544952	-59.746338	-8.055406	59.746338	42.768276	3.020069	
18	1.709082	-0.166996	4.810737	-47.624473	2.042272	47.624473	18.474556	-60.316846	-7.474838	60.316846	43.412098	3.081240	
19	1.910631	-0.091166	4.872699	-50.070376	2.170992	50.070376	16.614715	-60.586870	-6.588884	60.586870	43.728842	3.142383	
20	2.147711	0.031987	4.925604	-53.073257	2.159490	53.073257	14.270606	-60.493737	-5.521176	60.493737	43.754442	3.202813	
21	2.402712	0.196268	4.967737	-56.256173	1.964536	56.256173	11.739370	-60.005221	-4.402718	60.005221	43.518693	3.262058	
