kww	// User ID
11-5-2021	// Evaluation date
p05_warmup_021	11-5-2021	14:47:40:379	// Source file name and timestamp
238.095	// Sampling rate
0.729	// Data capture period

1.830000	// height
89.500000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-7.294732	-4.085627	2.945448	39.111915	-15.740880	-39.111915	121.752611	-27.671760	-50.868629	27.671760	50.284840	3.050852	
1	-5.649462	-3.269129	3.022711	30.926265	-12.826961	-30.926265	101.755041	-27.410546	-41.523552	27.410546	41.879595	3.053786	
2	-4.284915	-2.557232	3.080621	25.594351	-10.287410	-25.594351	83.405067	-25.777728	-32.984580	25.777728	33.812661	3.049671	
3	-2.136122	-1.496072	3.116164	11.430297	-6.458905	-11.430297	54.871983	-24.542477	-20.231443	24.542477	21.988428	3.040549	
4	-0.098872	-0.459710	3.127073	-3.467343	-2.877531	3.467343	27.913907	-23.086724	-8.285930	23.086724	11.000054	3.029769	
5	1.714208	0.490162	3.116102	-18.134531	0.213178	18.134531	4.733391	-21.843411	1.969003	21.843411	1.930360	3.019102	
6	3.190209	1.269990	3.087994	-30.937695	2.579988	30.937695	-12.807152	-20.917231	9.793103	20.917231	-4.390514	3.009799	
7	4.336823	1.890464	3.048258	-41.616701	4.233082	41.616701	-25.034807	-20.328121	15.305260	20.328121	-8.072106	3.002520	
8	5.188864	2.366754	3.002021	-50.147030	5.254266	50.147030	-32.667311	-19.989884	18.746210	19.989884	-9.418368	2.997765	
9	5.792315	2.693169	2.954036	-56.564600	5.732623	56.564600	-36.293202	-19.894404	20.330665	19.894404	-8.717271	2.995641	
10	6.183759	2.903549	2.908323	-61.405379	5.774684	61.405379	-36.800772	-20.105624	20.387370	20.105624	-6.459803	2.995366	
11	6.394321	3.038515	2.867687	-65.211944	5.509978	65.211944	-35.169123	-20.581389	19.260697	20.581389	-3.206124	2.995651	
12	6.457591	3.108800	2.834007	-68.162990	5.048779	68.162990	-32.100656	-21.234634	17.219760	21.234634	0.628728	2.995573	
13	6.404289	3.149163	2.808259	-70.743383	4.509062	70.743383	-28.351307	-22.079367	14.580117	22.079367	4.603949	2.994773	
14	6.252022	3.220678	2.789935	-73.874866	4.027140	73.874866	-24.782557	-23.147365	11.668456	23.147365	8.205246	2.993297	
15	6.014633	3.340904	2.777108	-78.078877	3.674268	78.078877	-21.806221	-24.384034	8.650481	24.384034	11.155646	2.991790	
16	5.722880	3.422718	2.768064	-82.334335	3.358832	82.334335	-18.815272	-25.654338	5.477396	25.654338	13.725992	2.991463	
17	5.415066	3.347475	2.763091	-84.483639	2.915977	84.483639	-14.903702	-26.798009	2.149272	26.798009	16.339350	2.993145	
18	5.107646	3.153842	2.763290	-84.189779	2.379294	84.189779	-10.574362	-27.753275	-0.985664	27.753275	18.740209	2.996516	
19	4.804649	2.960596	2.768239	-82.755182	1.894111	82.755182	-6.898656	-28.576598	-3.596506	28.576598	20.464602	3.000774	
20	4.520980	2.734920	2.777305	-79.441198	1.392851	79.441198	-3.457406	-29.321424	-5.780762	29.321424	21.814663	3.005866	
21	4.263906	2.424975	2.791317	-73.377394	0.791116	73.377394	0.198154	-30.012183	-7.618475	30.012183	23.115580	3.012725	
22	4.024083	2.121867	2.810635	-66.707389	0.242762	66.707389	3.059777	-30.659521	-8.906434	30.659521	24.022983	3.022508	
23	3.801719	1.905017	2.833848	-61.506395	-0.112646	61.506395	4.396790	-31.246289	-9.580885	31.246289	24.300419	3.035851	
24	3.613301	1.763142	2.859082	-57.793296	-0.307947	57.793296	4.562926	-31.780869	-9.839191	31.780869	24.199075	3.052742	
25	3.477203	1.673003	2.885216	-55.091854	-0.420949	55.091854	4.114753	-32.298348	-9.905409	32.298348	24.074101	3.072838	
26	3.408948	1.632218	2.912028	-53.035039	-0.504800	53.035039	3.442791	-32.731985	-9.907051	32.731985	24.135397	3.095714	
27	3.415814	1.643358	2.939786	-51.258278	-0.598676	51.258278	2.813792	-32.948202	-9.888625	32.948202	24.439911	3.120785	
28	3.488659	1.685717	2.969016	-49.368087	-0.754533	49.368087	2.489319	-32.940432	-9.884377	32.940432	25.028107	3.147210	
29	3.611250	1.724880	3.000639	-47.050144	-1.028330	47.050144	2.681387	-32.811856	-9.925296	32.811856	25.972835	3.174039	
30	3.761447	1.753128	3.035685	-44.598601	-1.419755	44.598601	3.254149	-32.646589	-9.970203	32.646589	27.199894	3.200368	
31	3.908989	1.793625	3.074383	-42.905862	-1.858496	42.905862	3.762043	-32.503225	-9.937119	32.503225	28.456974	3.225490	
32	4.050833	1.875400	3.115823	-42.515996	-2.295603	42.515996	3.973009	-32.411549	-9.855005	32.411549	29.679433	3.249078	
33	4.196510	1.999492	3.158663	-43.152167	-2.734343	43.152167	4.030697	-32.346853	-9.826735	32.346853	30.981883	3.271063	
34	4.290844	2.117101	3.201541	-44.306394	-3.113308	44.306394	3.992913	-32.249427	-9.816850	32.249427	32.057627	3.291426	
35	4.259522	2.169900	3.242833	-45.591368	-3.324930	45.591368	3.767114	-32.067746	-9.725628	32.067746	32.391319	3.310347	
36	4.123038	2.145834	3.281246	-46.522764	-3.388618	46.522764	3.517376	-31.832759	-9.623314	31.832759	32.142151	3.328518	
37	3.962417	2.066971	3.317070	-46.600164	-3.433569	46.600164	3.570836	-31.661612	-9.672381	31.661612	31.970713	3.347035	
38	3.828049	1.952323	3.352536	-45.579762	-3.561260	45.579762	4.046375	-31.666951	-9.939242	31.666951	32.319659	3.366992	
39	3.726774	1.815900	3.390936	-43.587406	-3.820001	43.587406	4.811634	-31.847826	-10.366638	31.847826	33.228923	3.389573	
40	3.630449	1.676897	3.434185	-41.097782	-4.225069	41.097782	5.585908	-31.971568	-10.774065	31.971568	34.243534	3.416332	
41	3.495974	1.539820	3.480747	-38.332633	-4.781028	38.332633	6.191734	-31.713150	-10.961133	31.713150	34.662216	3.448766	
42	3.306965	1.376838	3.527346	-34.732404	-5.502797	34.732404	6.771686	-30.986731	-10.886128	30.986731	34.243769	3.487889	
43	3.088360	1.175613	3.572084	-29.817299	-6.407183	29.817299	7.527682	-29.927618	-10.622406	29.927618	33.263449	3.534613	
44	2.885767	0.979981	3.614683	-24.041593	-7.515233	24.041593	8.464505	-28.656624	-10.217688	28.656624	31.992212	3.589756	
