kww	// User ID
12-5-2021	// Evaluation date
p09_warmup_001 _016	12-5-2021	12:15:16:617	// Source file name and timestamp
238.095	// Sampling rate
0.767	// Data capture period

1.730000	// height
82.300000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-2.322251	-0.098525	2.266627	-17.156770	-3.395061	17.156770	-2.245789	-13.275856	-19.448492	13.275856	37.555342	3.732333	
1	-1.099930	0.237147	2.201255	-11.835541	-4.302878	11.835541	-3.900159	-10.549677	-10.118529	10.549677	22.904034	3.856633	
2	-0.113815	0.478645	2.139490	-4.265887	-4.544703	4.265887	-5.787362	-6.156430	-2.262400	6.156430	8.722446	3.952121	
3	0.778128	0.389120	2.089019	13.551797	-6.078755	-13.551797	1.767884	-0.533470	5.816875	0.533470	-8.599756	4.013012	
4	1.372991	0.189659	2.060730	32.727316	-7.920056	-32.727316	11.426172	5.035258	11.952399	-5.035258	-22.481746	4.036238	
5	1.699065	-0.024313	2.057203	49.670317	-9.964252	-49.670317	21.458750	9.410399	15.924251	-9.410399	-31.535832	4.025702	
6	1.812301	-0.157311	2.078309	61.315864	-11.884091	-61.315864	29.703822	11.970081	17.757247	-11.970081	-35.550400	3.988678	
7	1.759389	-0.197299	2.121494	66.806369	-13.509701	-66.806369	35.699235	12.632973	17.638030	-12.632973	-35.372006	3.934565	
8	1.592411	-0.164961	2.183182	66.342212	-14.793385	-66.342212	39.404704	11.688889	16.005932	-11.688889	-32.398841	3.873107	
9	1.381775	-0.076312	2.259621	60.880534	-15.730650	-60.880534	40.710222	9.716826	13.612408	-9.716826	-28.265801	3.812233	
10	1.198646	0.073272	2.347255	51.749655	-16.354124	-51.749655	39.513858	7.308408	11.252951	-7.308408	-24.287358	3.756503	
11	1.085124	0.279600	2.442678	40.377086	-16.771635	-40.377086	36.186693	4.842772	9.415815	-4.842772	-21.119658	3.707105	
12	1.054073	0.517035	2.542541	28.111139	-17.080931	-28.111139	31.482866	2.512190	8.267348	-2.512190	-18.916629	3.662891	
13	1.101630	0.760202	2.643466	16.043113	-17.289559	-16.043113	26.128087	0.411076	7.788656	-0.411076	-17.577839	3.621656	
14	1.206234	0.987844	2.742155	4.923482	-17.336523	-4.923482	20.797813	-1.437239	7.788219	1.437239	-16.808548	3.581122	
15	1.333361	1.177659	2.835829	-4.990989	-17.189083	4.990989	16.175738	-3.114203	7.967518	3.114203	-16.194442	3.539516	
16	1.450205	1.313922	2.922761	-14.014090	-16.905491	14.014090	12.714518	-4.801921	8.070487	4.801921	-15.356416	3.495899	
17	1.538026	1.389641	3.002342	-22.576920	-16.569817	22.576920	10.466559	-6.642174	7.976373	6.642174	-14.082662	3.450215	
18	1.595278	1.406734	3.074770	-30.887379	-16.215760	30.887379	9.206500	-8.635914	7.699338	8.635914	-12.352571	3.403003	
19	1.626634	1.376794	3.140715	-39.122511	-15.863455	39.122511	8.659790	-10.740788	7.287126	10.740788	-10.228754	3.355159	
20	1.638248	1.314433	3.201270	-47.485678	-15.568574	47.485678	8.552936	-12.943077	6.775777	12.943077	-7.799753	3.307884	
21	1.644987	1.228884	3.257845	-55.937827	-15.345766	55.937827	8.558654	-15.125937	6.238659	15.125937	-5.192608	3.262451	
22	1.669607	1.127537	3.311928	-64.138026	-15.104596	64.138026	8.375485	-17.015913	5.790230	17.015913	-2.517974	3.219689	
23	1.733805	1.025929	3.364925	-71.746226	-14.743691	71.746226	7.806901	-18.369758	5.543845	18.369758	0.187821	3.179762	
24	1.852031	0.945578	3.417945	-78.721819	-14.239454	78.721819	6.722783	-19.108510	5.577553	19.108510	2.961447	3.142372	
25	2.026775	0.907573	3.471542	-85.551738	-13.643409	85.551738	5.095523	-19.345074	5.893458	19.345074	5.901316	3.107092	
26	2.242059	0.928586	3.525710	-93.284139	-13.071188	93.284139	3.107164	-19.420893	6.353485	19.420893	9.161376	3.073818	
27	2.470641	1.008811	3.580060	-102.878420	-12.636990	102.878420	1.055292	-19.751187	6.706544	19.751187	12.891088	3.043234	
28	2.701640	1.120528	3.634074	-114.141729	-12.310890	114.141729	-1.049762	-20.377707	6.786454	20.377707	17.121306	3.016717	
29	2.946203	1.225684	3.687349	-125.852286	-11.916220	125.852286	-3.560803	-20.895545	6.588069	20.895545	21.766896	2.995738	
30	3.207276	1.306686	3.739604	-137.152506	-11.327789	137.152506	-6.639144	-21.068706	6.079376	21.068706	26.736548	2.981617	
31	3.470190	1.360465	3.790655	-147.735476	-10.528441	147.735476	-10.074806	-21.049092	5.130119	21.049092	31.976567	2.975677	
32	3.723367	1.380216	3.840524	-156.864664	-9.488857	156.864664	-13.645477	-20.951352	3.657733	20.951352	37.443199	2.979228	
33	3.968337	1.363088	3.889508	-163.260477	-8.163496	163.260477	-17.261710	-20.684796	1.723481	20.684796	43.042249	2.993309	
34	4.213084	1.313700	3.938183	-165.588885	-6.555981	165.588885	-20.888563	-20.092713	-0.508715	20.092713	48.638908	3.018380	
35	4.457612	1.234963	3.987191	-162.924306	-4.741519	162.924306	-24.338154	-19.165186	-2.885350	19.165186	54.135832	3.054397	
36	4.686269	1.124552	4.036826	-155.007848	-2.868216	155.007848	-27.169901	-18.140786	-5.313472	18.140786	59.470955	3.101161	
37	4.878281	0.974947	4.087053	-142.112384	-1.139254	142.112384	-28.992780	-17.312535	-7.710747	17.312535	64.582160	3.158452	
38	5.017697	0.781559	4.137818	-125.050581	0.216548	125.050581	-29.641594	-16.898351	-9.989199	16.898351	69.406449	3.225972	
39	5.093488	0.554192	4.189000	-105.311046	0.992208	105.311046	-29.064452	-17.095731	-12.094422	17.095731	73.874208	3.303286	
40	5.107857	0.316477	4.240243	-84.768245	1.058220	84.768245	-27.464208	-17.956265	-13.971438	17.956265	77.901376	3.389707	
41	5.089614	0.094683	4.291054	-64.794293	0.421895	64.794293	-25.359837	-19.110373	-15.481126	19.110373	81.443366	3.483979	
42	5.079130	-0.099390	4.340899	-45.460792	-0.834579	45.460792	-23.063494	-19.964638	-16.454472	19.964638	84.575615	3.584134	
43	5.085781	-0.272753	4.389298	-26.229127	-2.742448	26.229127	-20.249200	-20.412119	-16.881169	20.412119	87.424228	3.688162	
44	5.076635	-0.433269	4.436031	-7.233930	-5.406974	7.233930	-16.233357	-20.891279	-16.989302	20.891279	90.007728	3.794754	
45	5.016255	-0.575228	4.481272	10.760464	-8.843838	-10.760464	-10.586288	-21.630499	-17.080634	21.630499	92.181617	3.902938	
46	4.894067	-0.683656	4.525617	26.877855	-13.031832	-26.877855	-3.413823	-22.452575	-17.357734	22.452575	93.692049	4.011240	
47	4.708442	-0.749043	4.570101	40.362461	-17.950797	-40.362461	4.946141	-23.191309	-17.997738	23.191309	94.319385	4.117679	
48	4.455463	-0.772505	4.616023	50.924069	-23.518562	-50.924069	14.274574	-23.737557	-19.187655	23.737557	93.943547	4.220204	
49	4.148606	-0.743773	4.664716	58.619805	-29.629178	-58.619805	24.283715	-23.881956	-20.862114	23.881956	92.416105	4.316425	
50	3.822748	-0.634114	4.717282	63.421936	-36.213340	-63.421936	34.527132	-23.524298	-22.705377	23.524298	89.654151	4.403339	
51	3.499351	-0.434825	4.774202	65.275878	-43.148864	-65.275878	44.820546	-22.918918	-24.597530	22.918918	85.917500	4.478444	
52	3.183514	-0.161218	4.835341	64.403574	-50.225640	-64.403574	55.139527	-22.452838	-26.487102	22.452838	81.493484	4.540861	
53	2.899167	0.175962	4.900503	61.516233	-57.436535	-61.516233	65.297083	-22.469223	-27.866089	22.469223	76.200819	4.590828	
54	2.671031	0.523545	4.969853	58.100631	-65.113095	-58.100631	75.572718	-23.302549	-28.208575	23.302549	69.819309	4.629042	
55	2.483262	0.751994	5.043751	56.398650	-73.692787	-56.398650	87.119479	-24.960827	-27.608278	24.960827	62.690191	4.656863	
