kww	// User ID
12-5-2021	// Evaluation date
p10_warmup_005	12-5-2021	12:56:52:593	// Source file name and timestamp
238.095	// Sampling rate
0.904	// Data capture period

1.850000	// height
82.300000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	0.519610	0.095323	2.857669	-2.070688	0.084450	2.070688	0.230577	-1.375311	0.760134	1.375311	-3.731408	2.711935	
1	1.185132	0.046330	2.854353	-1.341718	0.252907	1.341718	-1.650406	-1.191076	2.445020	1.191076	-12.054909	2.761857	
2	1.735743	-0.016911	2.842863	-0.326036	0.458004	0.326036	-3.529729	-0.617656	3.904130	0.617656	-19.297367	2.789251	
3	2.196032	-0.080987	2.827247	0.233190	0.531952	-0.233190	-4.238752	-0.990217	5.175996	0.990217	-25.771790	2.796019	
4	2.488578	-0.081703	2.814719	0.159606	0.540101	-0.159606	-4.207694	-1.922227	5.905648	1.922227	-29.647104	2.787439	
5	2.633170	-0.038895	2.809569	-0.443939	0.483857	0.443939	-3.664567	-3.222310	6.159558	3.222310	-31.253935	2.770917	
6	2.661613	0.004321	2.813806	-1.289278	0.395462	1.289278	-2.977354	-4.452529	6.089661	4.452529	-31.350172	2.751768	
7	2.610857	0.035734	2.827098	-2.218376	0.307552	2.218376	-2.334162	-5.419295	5.834706	5.419295	-30.586544	2.732788	
8	2.503629	0.048957	2.847896	-3.010735	0.222625	3.010735	-1.771932	-6.038610	5.491041	6.038610	-29.404821	2.715056	
9	2.355113	0.043436	2.874065	-3.504692	0.127252	3.504692	-1.269640	-6.334684	5.119059	6.334684	-28.051700	2.698664	
10	2.186452	0.032567	2.903199	-3.731741	0.024128	3.731741	-0.821565	-6.418520	4.759689	6.418520	-26.668537	2.683300	
11	2.005798	0.030454	2.932991	-3.707730	-0.084606	3.707730	-0.362033	-6.394987	4.423806	6.394987	-25.266188	2.668758	
12	1.824615	0.051364	2.961479	-3.463776	-0.186407	3.463776	0.137554	-6.364409	4.118914	6.364409	-23.856456	2.655060	
13	1.686217	0.116150	2.987018	-3.357688	-0.223682	3.357688	0.544736	-6.502313	3.862101	6.502313	-22.568701	2.642310	
14	1.614583	0.214635	3.008180	-3.674549	-0.173193	3.674549	0.749247	-6.848951	3.659721	6.848951	-21.561894	2.630429	
