kww	// User ID
5-7-2021	// Evaluation date
p12_warmup_011_531	5-7-2021	11:09:44:203	// Source file name and timestamp
238.095	// Sampling rate
0.842	// Data capture period

1.750000	// height
83.200000	// mass


Sample #	var_mom	ir_mom	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldrIR	
0	0.432372	-0.411787	18.993259	2.638188	-18.993259	7.979199	0.720698	1.606257	-0.720698	-4.175473	1.576974	1.221992	-76.434040	-81.925466	
1	0.674049	-0.393519	17.423704	2.352522	-17.423704	6.515620	0.803194	2.289696	-0.803194	-5.645344	1.556718	1.232882	-76.213239	-81.581771	
2	0.899906	-0.380096	16.238088	2.113978	-16.238088	5.138891	0.956433	2.924541	-0.956433	-7.001936	1.537882	1.236681	-75.995115	-81.230535	
3	1.136182	-0.376535	14.268741	1.671516	-14.268741	3.731104	1.007089	3.576988	-1.007089	-8.377472	1.523152	1.233453	-75.779603	-80.872339	
4	1.285655	-0.411596	12.531000	1.288029	-12.531000	2.818384	1.034819	3.994635	-1.034819	-9.285348	1.516033	1.224385	-75.566382	-80.507962	
5	1.336424	-0.469015	11.165385	1.011016	-11.165385	2.447817	1.033548	4.144737	-1.033548	-9.677498	1.516754	1.212234	-75.354689	-80.137746	
6	1.327280	-0.512033	10.292989	0.834533	-10.292989	2.453676	1.015939	4.109777	-1.015939	-9.724953	1.524220	1.199475	-75.144650	-79.763100	
7	1.309353	-0.527006	9.800477	0.716804	-9.800477	2.639846	0.982808	4.010143	-0.982808	-9.666703	1.536689	1.186865	-74.938425	-79.388071	
8	1.284762	-0.532812	9.592188	0.657760	-9.592188	3.032560	0.923010	3.861424	-0.923010	-9.530389	1.552393	1.174083	-74.739637	-79.018550	
9	1.251027	-0.544182	9.470495	0.637778	-9.470495	3.528209	0.841307	3.671478	-0.841307	-9.311820	1.569273	1.161195	-74.551851	-78.660088	
10	1.237521	-0.570673	9.099403	0.587807	-9.099403	3.789178	0.764248	3.518426	-0.764248	-9.155823	1.585431	1.148236	-74.376953	-78.315893	
11	1.265210	-0.620599	8.332560	0.464399	-8.332560	3.665439	0.699961	3.451119	-0.699961	-9.172915	1.600247	1.134393	-74.213271	-77.984800	
12	1.323692	-0.682868	7.363406	0.303546	-7.363406	3.334531	0.640624	3.442266	-0.640624	-9.314725	1.614194	1.118693	-74.054747	-77.660390	
13	1.389987	-0.738529	6.521707	0.178101	-6.521707	3.072099	0.587950	3.442402	-0.587950	-9.475314	1.627665	1.100889	-73.892705	-77.332973	
14	1.450605	-0.770722	6.066905	0.132456	-6.066905	3.036815	0.531951	3.430057	-0.531951	-9.590568	1.640349	1.081293	-73.719030	-76.993106	
15	1.506291	-0.774553	6.022310	0.162726	-6.022310	3.190315	0.464786	3.420303	-0.464786	-9.653670	1.651310	1.060098	-73.528940	-76.634446	
16	1.563114	-0.768364	6.149855	0.229485	-6.149855	3.360762	0.412312	3.439725	-0.412312	-9.683132	1.659592	1.036898	-73.321642	-76.254299	
17	1.627184	-0.764597	6.134113	0.278871	-6.134113	3.376771	0.362652	3.507178	-0.362652	-9.676317	1.664908	1.010868	-73.098519	-75.851907	
18	1.706601	-0.760108	5.678040	0.256126	-5.678040	3.103760	0.241144	3.639467	-0.241144	-9.626042	1.667743	0.981313	-72.860945	-75.426536	
19	1.794996	-0.759119	4.673512	0.149410	-4.673512	2.554755	0.022563	3.815086	-0.022563	-9.499130	1.668936	0.947985	-72.608640	-74.976059	
20	1.847674	-0.766354	3.473671	0.041774	-3.473671	2.074038	-0.227550	3.921442	0.227550	-9.154851	1.669065	0.911867	-72.339044	-74.496553	
