kww	// User ID
22-6-2021	// Evaluation date
p13_e_100_step_003	22-6-2021	14:47:44:990	// Source file name and timestamp
238.095	// Sampling rate
0.762	// Data capture period

1.680000	// height
61.800000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-1.358740	-0.936258	2.391035	29.339864	0.504085	-29.339864	8.255504	8.367842	-2.832133	-8.367842	5.865943	0.955735	
1	-1.237384	-1.125860	2.376013	25.854735	0.909472	-25.854735	6.451168	6.707532	-1.008666	-6.707532	2.648030	1.002595	
2	-1.171447	-1.319185	2.361313	23.881206	1.296929	-23.881206	5.075727	5.706886	0.425726	-5.706886	-0.017737	1.037753	
3	-0.963283	-1.547081	2.350450	18.925968	1.835888	-18.925968	2.882433	3.451082	3.024039	-3.451082	-4.847431	1.058124	
4	-0.747398	-1.761992	2.348578	13.816958	2.310374	-13.816958	0.811904	1.145803	5.617807	-1.145803	-9.551014	1.060708	
5	-0.540738	-1.982557	2.356841	8.168183	2.701488	-8.168183	-1.335332	-1.183314	8.063331	1.183314	-13.753584	1.046742	
6	-0.350958	-2.168136	2.375030	2.477252	2.944995	-2.477252	-3.225167	-3.520394	10.097926	3.520394	-17.029263	1.019024	
7	-0.172498	-2.278425	2.401692	-2.704189	2.992789	2.704189	-4.470346	-5.953342	11.644048	5.953342	-19.349216	0.982106	
8	-0.003411	-2.308409	2.435035	-7.108825	2.844993	7.108825	-5.008871	-8.479926	12.738840	8.479926	-20.855609	0.941053	
9	0.157140	-2.272804	2.473476	-10.759771	2.551488	10.759771	-4.999361	-11.062169	13.481842	11.062169	-21.757173	0.900373	
10	0.293684	-2.207872	2.515719	-13.782151	2.188934	13.782151	-4.628347	-13.606134	13.985915	13.606134	-22.240838	0.863551	
11	0.378979	-2.157754	2.560785	-16.346668	1.811828	16.346668	-4.016211	-15.968422	14.322550	15.968422	-22.406930	0.832896	
12	0.399319	-2.149722	2.608242	-18.700752	1.431879	18.700752	-3.249209	-18.068743	14.530492	18.068743	-22.318736	0.809474	
13	0.360127	-2.194707	2.658150	-21.097900	1.046188	21.097900	-2.420854	-19.946779	14.660767	19.946779	-22.069149	0.793088	
14	0.274693	-2.289438	2.710763	-23.583232	0.658165	23.583232	-1.574882	-21.673007	14.753538	21.673007	-21.725973	0.782768	
15	0.155897	-2.422865	2.766475	-26.104485	0.275787	26.104485	-0.692802	-23.321159	14.834760	23.321159	-21.323168	0.777570	
16	0.014989	-2.587362	2.825955	-28.677553	-0.094826	28.677553	0.253933	-24.991075	14.938008	24.991075	-20.897457	0.776921	
17	-0.132060	-2.769966	2.890118	-31.227477	-0.457729	31.227477	1.261928	-26.727957	15.065875	26.727957	-20.448756	0.780600	
18	-0.264180	-2.945988	2.959751	-33.665050	-0.823593	33.665050	2.266603	-28.493695	15.172749	28.493695	-19.936852	0.788684	
19	-0.360648	-3.090450	3.035138	-36.108014	-1.203556	36.108014	3.156276	-30.296127	15.232660	30.296127	-19.364570	0.801431	
20	-0.403489	-3.187487	3.116008	-38.794849	-1.615431	38.794849	3.846472	-32.285550	15.286612	32.285550	-18.801811	0.819450	
21	-0.380079	-3.229946	3.201594	-41.944620	-2.074228	41.944620	4.301843	-34.681487	15.413143	34.681487	-18.320102	0.844064	
22	-0.288022	-3.216488	3.290720	-45.664888	-2.578947	45.664888	4.527979	-37.631202	15.674809	37.631202	-17.925888	0.877278	
23	-0.141597	-3.158410	3.382135	-49.941162	-3.123057	49.941162	4.577432	-41.155458	16.096957	41.155458	-17.555471	0.921336	
24	0.029558	-3.081627	3.474853	-54.737757	-3.692729	54.737757	4.518116	-45.153812	16.663710	45.153812	-17.100807	0.978103	
25	0.195017	-3.009201	3.568182	-59.966945	-4.258659	59.966945	4.388630	-49.373618	17.299134	49.373618	-16.426682	1.048317	
26	0.340136	-2.950084	3.661753	-65.495735	-4.805133	65.495735	4.139896	-53.509327	17.902273	53.509327	-15.439616	1.131244	
27	0.463984	-2.905462	3.755673	-71.192402	-5.328222	71.192402	3.712406	-57.371914	18.403303	57.371914	-14.135240	1.225134	
28	0.561858	-2.875775	3.850494	-76.762485	-5.784544	76.762485	3.248182	-60.847670	18.746051	60.847670	-12.555431	1.327624	
29	0.632951	-2.856326	3.946890	-81.982499	-6.113136	81.982499	2.942832	-63.932780	18.906225	63.932780	-10.775928	1.436092	
