kww	// User ID
22-6-2021	// Evaluation date
p13_v_50_crow_005	22-6-2021	14:49:41:487	// Source file name and timestamp
238.095	// Sampling rate
0.942	// Data capture period

1.680000	// height
61.800000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-1.524618	-1.350633	2.745294	22.611462	-2.585720	-22.611462	11.224561	4.078365	0.224035	-4.078365	-0.235621	1.077980	
1	-1.330497	-1.357041	2.724926	19.857084	-2.272590	-19.857084	11.758380	2.006619	0.171150	-2.006619	-0.089310	1.039208	
2	-1.210864	-1.381406	2.704918	18.588761	-2.046121	-18.588761	12.340920	0.682211	0.133431	-0.682211	-0.010415	1.006545	
3	-0.865368	-1.389151	2.688691	12.874692	-1.471252	-12.874692	13.052187	-3.010687	0.112825	3.010687	0.024353	0.983201	
4	-0.504039	-1.388452	2.681034	6.787476	-0.872285	-6.787476	13.748574	-6.932261	0.103725	6.932261	0.025492	0.973973	
5	-0.151714	-1.373670	2.682475	0.640816	-0.296865	-0.640816	14.372402	-10.870513	0.104192	10.870513	0.059651	0.979363	
6	0.151659	-1.344757	2.692340	-4.962030	0.194034	4.962030	14.848662	-14.425609	0.120234	14.425609	0.182212	0.998476	
7	0.393956	-1.306443	2.709319	-9.855864	0.586499	9.855864	15.150385	-17.466024	0.158819	17.466024	0.417715	1.029358	
8	0.573635	-1.266104	2.732400	-13.972535	0.880574	13.972535	15.278041	-19.953738	0.223633	19.953738	0.763573	1.069873	
9	0.694398	-1.227517	2.760881	-17.306138	1.083873	17.306138	15.210088	-21.839122	0.312489	21.839122	1.188439	1.117519	
10	0.757668	-1.199466	2.794099	-19.884450	1.199184	19.884450	14.961126	-23.088960	0.416380	23.088960	1.631252	1.168989	
11	0.772880	-1.194460	2.831383	-21.870430	1.225146	21.870430	14.632602	-23.895208	0.527963	23.895208	2.043726	1.221275	
12	0.760205	-1.212529	2.871946	-23.520576	1.165427	23.520576	14.304406	-24.548271	0.645722	24.548271	2.425027	1.273179	
13	0.728030	-1.249662	2.914597	-24.959472	1.028150	24.959472	14.002298	-25.129681	0.769310	25.129681	2.784070	1.324666	
14	0.673966	-1.307146	2.957712	-26.211140	0.830575	26.211140	13.732230	-25.593031	0.894284	25.593031	3.111780	1.375322	
15	0.607078	-1.383179	2.999623	-27.399505	0.602820	27.399505	13.471791	-26.008520	1.009840	26.008520	3.416531	1.424580	
16	0.541194	-1.471131	3.039155	-28.657170	0.369888	28.657170	13.200911	-26.489581	1.102554	26.489581	3.734309	1.472659	
17	0.487283	-1.556577	3.075960	-30.056732	0.143145	30.056732	12.880319	-27.063225	1.159501	27.063225	4.102734	1.520425	
18	0.460429	-1.620350	3.110226	-31.696837	-0.072389	31.696837	12.431412	-27.755522	1.175544	27.755522	4.559666	1.569075	
19	0.466252	-1.658099	3.142190	-33.580257	-0.282104	33.580257	11.843191	-28.589969	1.157022	28.589969	5.132343	1.620020	
20	0.489482	-1.681727	3.172270	-35.499225	-0.503079	35.499225	11.217434	-29.487527	1.108013	29.487527	5.814255	1.674260	
21	0.511703	-1.701291	3.201425	-37.199107	-0.751113	37.199107	10.677153	-30.333907	1.024365	30.333907	6.579038	1.731870	
22	0.527984	-1.722357	3.230734	-38.616303	-1.032368	38.616303	10.290235	-31.121109	0.904847	31.121109	7.417296	1.792453	
23	0.544216	-1.745956	3.260662	-39.818430	-1.343234	39.818430	10.052534	-31.914250	0.754429	31.914250	8.347132	1.856026	
24	0.561038	-1.764031	3.290956	-40.687608	-1.673411	40.687608	9.914588	-32.617463	0.575830	32.617463	9.354069	1.922663	
25	0.569053	-1.773620	3.320960	-41.110015	-2.014652	41.110015	9.832676	-33.052613	0.368594	33.052613	10.373219	1.991290	
26	0.568775	-1.784552	3.349939	-41.431496	-2.368484	41.431496	9.770340	-33.354084	0.137218	33.354084	11.406022	2.060714	
27	0.569388	-1.805245	3.377406	-42.092198	-2.743230	42.092198	9.668313	-33.758290	-0.112403	33.758290	12.508364	2.131230	
28	0.568415	-1.837876	3.403140	-43.168631	-3.148229	43.168631	9.485731	-34.207489	-0.384883	34.207489	13.647839	2.203379	
29	0.558320	-1.882024	3.426795	-44.605065	-3.594099	44.605065	9.268262	-34.595568	-0.694760	34.595568	14.743720	2.276633	
30	0.537878	-1.930304	3.447757	-46.312275	-4.083508	46.312275	9.119184	-34.944286	-1.054745	34.944286	15.750975	2.350031	
31	0.508900	-1.970083	3.465495	-48.107371	-4.605562	48.107371	9.135562	-35.278525	-1.463596	35.278525	16.630998	2.422687	
32	0.466746	-2.001317	3.479799	-49.692717	-5.150270	49.692717	9.388550	-35.531819	-1.925654	35.531819	17.346787	2.493703	
33	0.392978	-2.044998	3.490693	-50.511200	-5.704841	50.511200	9.843425	-35.394144	-2.491983	35.394144	17.883154	2.562178	
34	0.274715	-2.118234	3.498314	-50.115184	-6.245884	50.115184	10.297288	-34.463894	-3.224319	34.463894	18.238664	2.627147	
35	0.130024	-2.207558	3.502862	-48.701074	-6.761198	48.701074	10.535967	-32.713055	-4.111686	32.713055	18.447448	2.687634	
36	-0.003452	-2.279834	3.504637	-46.862118	-7.256603	46.862118	10.512433	-30.543011	-5.071719	30.543011	18.605859	2.743406	
37	-0.100079	-2.309046	3.504106	-45.029631	-7.730600	45.029631	10.292145	-28.333301	-6.003840	28.333301	18.769378	2.795163	
38	-0.156610	-2.285529	3.501832	-43.346460	-8.166871	43.346460	9.902983	-26.157653	-6.810032	26.157653	18.841785	2.843117	
39	-0.175858	-2.210797	3.498159	-41.942573	-8.569964	41.942573	9.312900	-24.020950	-7.402055	24.020950	18.671863	2.886152	
40	-0.157329	-2.094854	3.492946	-41.057491	-8.996017	41.057491	8.565073	-22.134580	-7.740703	22.134580	18.229496	2.923075	
