kww	// User ID
23-6-2021	// Evaluation date
p16_e_75_crow_002	23-6-2021	14:07:41:134	// Source file name and timestamp
357.143	// Sampling rate
0.728	// Data capture period

1.780000	// height
81.200000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	1.016404	-0.448251	4.308524	4.954991	-0.392698	-4.954991	-4.560213	18.282800	-24.921413	-18.282800	37.607214	3.460632	
1	0.870650	-0.362640	4.345587	3.240428	-0.295812	-3.240428	-8.424972	15.123484	-19.652747	-15.123484	30.494802	3.537924	
2	0.739612	-0.302703	4.376536	2.805650	-0.217413	-2.805650	-13.376073	14.323526	-15.201464	-14.323526	24.175998	3.607899	
3	0.422371	-0.220443	4.402189	3.918135	-0.100205	-3.918135	-12.679376	8.816561	-8.515668	-8.816561	13.819213	3.669225	
4	0.046908	-0.127942	4.424857	7.742722	0.043914	-7.742722	-8.912306	2.528517	-1.949517	-2.528517	3.168220	3.721229	
5	-0.384356	-0.055441	4.445663	13.481374	0.190076	-13.481374	-2.423289	-4.088228	4.012871	4.088228	-6.793130	3.764248	
6	-0.837658	-0.019223	4.465580	19.580905	0.310925	-19.580905	5.544830	-10.506343	8.980783	10.506343	-15.204008	3.799112	
7	-1.297219	-0.036655	4.485472	24.217767	0.368571	-24.217767	13.877960	-16.582374	12.930197	16.582374	-21.850962	3.826830	
8	-1.750168	-0.108074	4.506274	26.172716	0.339280	-26.172716	21.543695	-22.237363	16.003734	22.237363	-26.872248	3.848379	
9	-2.176646	-0.205620	4.528944	25.424905	0.235703	-25.424905	28.090637	-27.639127	18.369630	27.639127	-30.512601	3.864792	
10	-2.555522	-0.292569	4.554292	22.586667	0.091174	-22.586667	33.459287	-33.036018	20.202016	33.036018	-33.061730	3.877317	
11	-2.879607	-0.347618	4.582811	18.039474	-0.062250	-18.039474	37.416550	-38.435434	21.782289	38.435434	-34.989975	3.887260	
12	-3.146512	-0.370822	4.614656	11.765102	-0.202203	-11.765102	39.650853	-43.661153	23.343589	43.661153	-36.674656	3.895564	
13	-3.345866	-0.367890	4.649680	3.843747	-0.312080	-3.843747	40.282581	-48.662085	24.900602	48.662085	-38.139235	3.902734	
14	-3.472496	-0.343460	4.687538	-5.460296	-0.377537	5.460296	39.597799	-53.408440	26.419566	53.408440	-39.344317	3.909029	
15	-3.533021	-0.304709	4.727780	-15.898557	-0.391963	15.898557	37.614734	-57.713308	27.971127	57.713308	-40.419749	3.914471	
16	-3.539161	-0.259420	4.769883	-27.228648	-0.361458	27.228648	34.164778	-61.327913	29.694439	61.327913	-41.585928	3.918770	
17	-3.506209	-0.214801	4.813335	-39.231336	-0.300776	39.231336	29.072618	-64.028392	31.730005	64.028392	-43.032346	3.921389	
18	-3.446773	-0.173231	4.857724	-51.614060	-0.225667	51.614060	22.335274	-65.693376	34.155840	65.693376	-44.824176	3.921661	
19	-3.363369	-0.123823	4.902603	-63.792792	-0.147668	63.792792	14.380522	-66.487147	36.933193	66.487147	-46.846769	3.919020	
20	-3.252781	-0.050871	4.947263	-75.153953	-0.076380	75.153953	5.926437	-66.797895	39.921083	66.797895	-48.852787	3.913238	
