kww	// User ID
23-6-2021	// Evaluation date
p16_e_75_step_001	23-6-2021	14:09:41:150	// Source file name and timestamp
357.143	// Sampling rate
0.681	// Data capture period

1.780000	// height
81.200000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	0.737702	-0.290791	4.279378	-18.601431	0.471382	18.601431	-19.898366	16.887028	-18.627152	-16.887028	26.466104	2.837598	
1	0.630018	-0.196554	4.335919	-19.717614	0.420640	19.717614	-21.681678	13.552134	-14.044816	-13.552134	20.356629	2.901831	
2	0.555604	-0.103420	4.384465	-20.289126	0.379764	20.289126	-24.608661	11.781160	-10.148530	-11.781160	14.908807	2.959066	
3	0.247680	-0.067175	4.425010	-15.476266	0.278679	15.476266	-21.414320	7.372032	-4.203900	-7.372032	6.260282	3.007530	
4	-0.155137	-0.073217	4.459190	-7.021902	0.177450	7.021902	-15.357159	3.018772	1.720564	-3.018772	-2.561873	3.045506	
5	-0.629246	-0.123281	4.488528	4.080306	0.078474	-4.080306	-6.744894	-1.264860	7.177675	1.264860	-10.767057	3.073104	
6	-1.120551	-0.206205	4.515111	15.605887	-0.020215	-15.605887	3.047967	-5.378619	11.762644	5.378619	-17.654379	3.091399	
7	-1.591467	-0.305152	4.541197	25.845250	-0.130478	-25.845250	13.095279	-9.499992	15.342421	9.499992	-22.963581	3.101969	
8	-2.013910	-0.397964	4.568817	33.784243	-0.266299	-33.784243	22.774764	-13.809777	17.882859	13.809777	-26.619135	3.106626	
9	-2.374299	-0.472242	4.599360	38.815243	-0.430661	-38.815243	31.589227	-18.405890	19.481528	18.405890	-28.771735	3.107351	
10	-2.663072	-0.521929	4.633476	40.602923	-0.612878	-40.602923	39.015105	-23.283942	20.355327	23.283942	-29.773768	3.106083	
11	-2.871719	-0.538323	4.671193	39.200825	-0.799931	-39.200825	44.686522	-28.397269	20.760174	28.397269	-30.041883	3.104454	
