kww	// User ID
23-6-2021	// Evaluation date
p17_e_100_crow_005_BAD	23-6-2021	16:01:23:311	// Source file name and timestamp
357.143	// Sampling rate
0.628	// Data capture period

1.960000	// height
98.700000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-8.230812	7.345460	4.690184	302.305350	-49.997401	-302.305350	286.741171	-96.059461	-93.579235	96.059461	42.475271	4.528698	
1	-7.548143	6.276707	4.646931	281.059578	-42.948271	-281.059578	257.536231	-84.999296	-85.454075	84.999296	41.801112	4.584476	
2	-7.179800	5.418966	4.598593	271.939926	-36.849807	-271.939926	234.066998	-73.312449	-79.750875	73.312449	41.368276	4.635310	
3	-5.479404	3.808585	4.548039	221.509320	-26.046679	-221.509320	180.087531	-58.171926	-59.608323	58.171926	32.293440	4.677556	
4	-3.406470	2.102488	4.500292	163.270320	-14.741073	-163.270320	119.788671	-41.455849	-35.017029	41.455849	19.373449	4.705588	
5	-1.104959	0.380394	4.458300	101.555357	-3.729483	-101.555357	57.513219	-23.864263	-7.865025	23.864263	4.132126	4.716807	
6	1.180682	-1.264533	4.423492	42.537769	6.142813	-42.537769	-1.359998	-6.289623	18.862405	6.289623	-10.985259	4.710051	
7	3.319143	-2.796802	4.394991	-11.347390	14.542542	11.347390	-54.117686	10.462941	43.421253	-10.462941	-24.254412	4.685683	
8	5.209924	-4.172750	4.370665	-58.500922	21.262508	58.500922	-98.562436	25.558843	64.488886	-25.558843	-34.448407	4.645228	
9	6.796318	-5.362667	4.348083	-98.503487	26.238621	98.503487	-133.542838	38.421791	81.321391	-38.421791	-40.978272	4.591060	
10	8.038946	-6.343361	4.324791	-131.352788	29.463563	131.352788	-158.425164	48.818602	93.590868	-48.818602	-43.757498	4.525913	
11	8.924381	-7.118028	4.299093	-157.324952	31.072603	157.324952	-173.586897	56.964624	101.402988	-56.964624	-43.096603	4.452428	
12	9.487788	-7.733627	4.271304	-177.230939	31.415260	177.230939	-180.928445	63.411860	105.295439	-63.411860	-39.590738	4.372940	
13	9.784701	-8.243582	4.243580	-191.947947	30.862798	191.947947	-182.578996	68.676182	105.946337	-68.676182	-33.928569	4.289472	
14	9.859085	-8.675930	4.218517	-202.150469	29.657036	202.150469	-179.875005	73.024759	103.942273	-73.024759	-26.751135	4.203738	
15	9.750783	-9.041514	4.198325	-208.621268	27.967221	208.621268	-173.741841	76.500710	99.810381	-76.500710	-18.624551	4.117174	
16	9.499522	-9.343970	4.184360	-212.134025	25.952105	212.134025	-165.030001	79.110740	94.050834	-79.110740	-10.036480	4.030951	
17	9.140122	-9.587490	4.177171	-213.242937	23.759151	213.242937	-154.511949	80.977400	87.127400	-80.977400	-1.379427	3.945954	
18	8.704401	-9.783244	4.177529	-212.274330	21.511124	212.274330	-142.857903	82.258454	79.450238	-82.258454	7.064043	3.862799	
19	8.219314	-9.943006	4.186452	-209.405874	19.302382	209.405874	-130.586325	83.136691	71.337279	-83.136691	15.115081	3.781864	
20	7.704587	-10.075741	4.203961	-205.066397	17.207724	205.066397	-118.101949	83.892573	63.020115	-83.892573	22.694413	3.703215	
21	7.178708	-10.187231	4.229083	-200.014166	15.287898	200.014166	-105.741799	84.631791	54.679795	-84.631791	29.795969	3.626688	
22	6.663181	-10.274740	4.260889	-194.969326	13.585271	194.969326	-93.751253	85.120984	46.479338	-85.120984	36.415005	3.552250	
23	6.178919	-10.332612	4.298875	-190.476513	12.124203	190.476513	-82.338878	85.129604	38.579095	-85.129604	42.538384	3.480176	
24	5.738763	-10.360290	4.342724	-186.781091	10.900922	186.781091	-71.671687	84.621403	31.093669	-84.621403	48.180753	3.410913	
25	5.343820	-10.357955	4.392149	-183.835950	9.866686	183.835950	-61.771676	83.610791	24.057732	-83.610791	53.361460	3.344944	
26	4.990177	-10.321642	4.446901	-181.681671	8.943708	181.681671	-52.580588	82.042272	17.474015	-82.042272	58.065989	3.282778	
27	4.675346	-10.251497	4.506743	-180.362791	8.060354	180.362791	-44.109467	79.908946	11.352254	-79.908946	62.278141	3.224938	
28	4.397236	-10.166847	4.571488	-179.397756	7.165019	179.397756	-36.419654	77.556550	5.664391	-77.556550	66.087985	3.171827	
29	4.149769	-10.098924	4.641145	-177.864857	6.198924	177.864857	-29.414867	75.598073	0.288097	-75.598073	69.721635	3.123525	
30	3.922553	-10.059741	4.715945	-175.101177	5.070227	175.101177	-22.797460	74.278697	-4.930961	-74.278697	73.358382	3.079874	
31	3.709674	-10.035116	4.796160	-171.053861	3.690864	171.053861	-16.372177	73.242399	-10.044784	-73.242399	76.980810	3.040866	
32	3.511283	-10.013047	4.881909	-165.624870	2.014692	165.624870	-10.138834	72.133555	-15.034869	-72.133555	80.517358	3.006811	
33	3.324996	-9.995964	4.973049	-157.983968	0.010064	157.983968	-4.041559	70.949711	-19.933450	-70.949711	83.987777	2.978123	
34	3.145678	-9.987164	5.069169	-147.217002	-2.363880	147.217002	2.056668	69.755257	-24.801292	-69.755257	87.432550	2.955150	
35	2.968597	-9.987166	5.169587	-133.344639	-5.145130	133.344639	8.213321	68.553426	-29.682628	-68.553426	90.864780	2.938161	
36	2.788162	-9.997909	5.273272	-117.200930	-8.368304	117.200930	14.426470	67.357842	-34.620324	-67.357842	94.291350	2.927334	
37	2.605659	-10.017648	5.378746	-99.661182	-12.053647	99.661182	20.646507	66.086781	-39.593556	-66.086781	97.679937	2.922811	
38	2.435301	-10.035792	5.484230	-81.348547	-16.186814	81.348547	26.697283	64.497246	-44.466790	-64.497246	100.936483	2.924841	
39	2.288042	-10.040546	5.587979	-62.771701	-20.745779	62.771701	32.416620	62.408837	-49.114881	-62.408837	103.961087	2.933817	
40	2.161742	-10.028338	5.688460	-44.321381	-25.730146	44.321381	37.819660	59.846783	-53.515590	-59.846783	106.699254	2.950108	
41	2.054748	-9.997943	5.784392	-26.203420	-31.138282	26.203420	42.972177	56.816080	-57.647559	-56.816080	109.099127	2.973953	
