kww	// User ID
23-6-2021	// Evaluation date
p17_v_50_step_003	23-6-2021	16:05:58:497	// Source file name and timestamp
357.143	// Sampling rate
1.286	// Data capture period

1.960000	// height
98.700000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	2.445306	0.571130	1.656375	4.065166	-0.090633	-4.065166	-13.308081	7.550494	4.904114	-7.550494	-15.988691	2.073633	
1	2.616741	0.348858	1.663910	5.083091	0.000506	-5.083091	-13.612170	7.714080	5.777965	-7.714080	-18.429847	2.090530	
2	2.779799	0.143004	1.668782	6.034896	0.071578	-6.034896	-14.187105	8.138450	6.570975	-8.138450	-20.716302	2.103568	
3	2.897973	-0.126317	1.672322	7.167275	0.168388	-7.167275	-13.615173	7.637991	7.404377	-7.637991	-22.992014	2.113049	
4	3.016850	-0.370044	1.676968	8.207536	0.250275	-8.207536	-12.691339	6.801148	8.190382	-6.801148	-25.132640	2.119306	
5	3.131584	-0.580538	1.684022	9.154902	0.325384	-9.154902	-11.525082	5.738868	8.914807	-5.738868	-27.048246	2.122450	
6	3.240448	-0.744830	1.694287	10.018539	0.385631	-10.018539	-10.281009	4.628312	9.545082	-4.628312	-28.636451	2.122732	
7	3.345986	-0.866848	1.707967	10.802243	0.429306	-10.802243	-9.065078	3.570229	10.090036	-3.570229	-29.922583	2.120413	
8	3.418109	-0.978715	1.724968	11.394689	0.467716	-11.394689	-7.983737	2.616946	10.536111	-2.616946	-30.820740	2.115752	
9	3.426809	-1.103975	1.745053	11.677329	0.507165	-11.677329	-7.083583	1.773628	10.843998	-1.773628	-31.207643	2.109408	
10	3.407068	-1.221561	1.767809	11.757211	0.548455	-11.757211	-6.338723	1.062742	11.047550	-1.062742	-31.282724	2.102139	
11	3.397273	-1.302830	1.792750	11.868751	0.606556	-11.868751	-5.587768	0.452801	11.195664	-0.452801	-31.273728	2.094256	
12	3.384785	-1.345066	1.819471	12.081737	0.693918	-12.081737	-4.649768	-0.164726	11.263802	0.164726	-31.123168	2.086030	
13	3.352199	-1.359745	1.847560	12.307837	0.799815	-12.307837	-3.505320	-0.864046	11.232564	0.864046	-30.765340	2.078076	
14	3.298987	-1.357747	1.876527	12.459113	0.902149	-12.459113	-2.231357	-1.656420	11.123119	1.656420	-30.245557	2.071180	
15	3.248004	-1.337714	1.905862	12.426185	0.960879	-12.426185	-1.006458	-2.489449	10.977815	2.489449	-29.692453	2.065989	
16	3.239739	-1.291252	1.935168	12.106491	0.934510	-12.106491	-0.087541	-3.257304	10.860414	3.257304	-29.300379	2.062572	
