kww	// User ID
23-6-2021	// Evaluation date
p17_warmup_041_BAD	23-6-2021	16:24:55:817	// Source file name and timestamp
357.143	// Sampling rate
0.872	// Data capture period

1.960000	// height
98.700000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	2.447465	-0.612538	2.124227	22.937619	0.313475	-22.937619	-25.576609	22.904204	11.331710	-22.904204	-31.145576	3.016469	
1	2.650633	-0.803246	2.158357	23.939722	0.578899	-23.939722	-26.428484	22.983199	12.584049	-22.983199	-34.463073	3.038919	
2	2.894970	-1.008996	2.186616	25.171607	0.800313	-25.171607	-28.003587	23.801969	14.050913	-23.801969	-38.328198	3.056433	
3	2.916137	-1.133263	2.210148	25.457308	1.213709	-25.457308	-26.661092	21.881041	14.355295	-21.881041	-39.082985	3.070448	
4	2.856057	-1.207284	2.231769	25.400544	1.674039	-25.400544	-24.349516	19.131776	14.132121	-19.131776	-38.545333	3.083627	
5	2.759776	-1.222219	2.253722	25.121182	2.127261	-25.121182	-21.171428	15.778860	13.526032	-15.778860	-37.193682	3.097047	
6	2.670417	-1.194008	2.277718	24.795874	2.530027	-24.795874	-17.652695	12.345980	12.779412	-12.345980	-35.650340	3.110875	
7	2.590863	-1.150926	2.304340	24.409441	2.840456	-24.409441	-14.315392	9.190424	11.978377	-9.190424	-34.058778	3.124716	
8	2.499786	-1.115045	2.333015	23.956395	3.081700	-23.956395	-11.316576	6.428518	11.162217	-6.428518	-32.368648	3.138275	
9	2.373050	-1.085942	2.363162	23.527189	3.334188	-23.527189	-8.362398	3.917798	10.358993	-3.917798	-30.503987	3.151723	
10	2.238748	-1.042738	2.395498	23.228088	3.560881	-23.228088	-5.332150	1.599195	9.599812	-1.599195	-28.650311	3.165427	
11	2.118877	-0.990785	2.431003	23.088207	3.729755	-23.088207	-2.389224	-0.478905	8.930376	0.478905	-26.989170	3.179508	
12	1.967172	-0.974340	2.469422	23.063887	3.952517	-23.063887	0.388715	-2.383661	8.359508	2.383661	-25.313734	3.194181	
13	1.772666	-0.997062	2.510162	23.130815	4.235549	-23.130815	3.062115	-4.194449	7.833729	4.194449	-23.484805	3.210089	
14	1.596800	-1.019412	2.553129	23.301567	4.426568	-23.301567	5.542037	-5.772670	7.343375	5.772670	-21.788823	3.227657	
15	1.469069	-1.033701	2.598160	23.564230	4.470894	-23.564230	7.634610	-6.934662	6.945100	6.934662	-20.474546	3.246604	
16	1.367236	-1.051395	2.644851	23.873026	4.424694	-23.873026	9.416245	-7.735892	6.638454	7.735892	-19.433466	3.266393	
17	1.275187	-1.061853	2.692726	24.213489	4.319425	-24.213489	11.211214	-8.400909	6.348344	8.400909	-18.444403	3.286815	
18	1.199925	-1.056187	2.741185	24.635226	4.159751	-24.635226	13.148597	-9.027294	6.055915	9.027294	-17.506147	3.307975	
19	1.151076	-1.051410	2.789449	25.174347	3.965605	-25.174347	15.017495	-9.485074	5.838171	9.485074	-16.819207	3.329884	
20	1.130336	-1.062856	2.836689	25.841200	3.764095	-25.841200	16.618751	-9.642210	5.756207	9.642210	-16.515352	3.352274	
21	1.149063	-1.078687	2.882259	26.695444	3.552813	-26.695444	17.964669	-9.494531	5.818040	9.494531	-16.655964	3.374688	
22	1.214380	-1.083168	2.925740	27.768188	3.318450	-27.768188	19.149678	-9.104121	6.010166	9.104121	-17.230080	3.396533	
23	1.296203	-1.079785	2.966871	28.976999	3.089200	-28.976999	20.295210	-8.585028	6.275378	8.585028	-17.982584	3.417396	
24	1.360369	-1.076372	3.005379	30.256428	2.908441	-30.256428	21.501885	-8.030944	6.552505	8.030944	-18.649255	3.437331	
25	1.404978	-1.072277	3.040909	31.640905	2.788085	-31.640905	22.780337	-7.448538	6.835190	7.448538	-19.215958	3.456653	
26	1.452484	-1.059055	3.073289	33.181866	2.697101	-33.181866	24.074499	-6.797535	7.155843	6.797535	-19.833570	3.475536	
27	1.528915	-1.029887	3.102541	34.893112	2.588471	-34.893112	25.283386	-6.022223	7.557818	6.022223	-20.671266	3.493667	
28	1.622164	-0.993553	3.128578	36.769567	2.472614	-36.769567	26.426046	-5.147183	8.012144	5.147183	-21.618099	3.510454	
29	1.695944	-0.951802	3.151160	38.831937	2.376522	-38.831937	27.755905	-4.329145	8.397058	4.329145	-22.316226	3.525775	
30	1.758624	-0.882182	3.170073	41.123679	2.240473	-41.123679	29.428550	-3.662004	8.668948	3.662004	-22.717250	3.539920	
31	1.846496	-0.780742	3.185185	43.672661	2.007855	-43.672661	31.249705	-3.033424	8.937279	3.033424	-23.154324	3.552823	
32	1.953441	-0.679189	3.196439	46.462250	1.740630	-46.462250	33.010408	-2.323065	9.271978	2.323065	-23.753442	3.564156	
33	2.040145	-0.605922	3.203921	49.385675	1.532979	-49.385675	34.717465	-1.556629	9.606537	1.556629	-24.288127	3.574070	
34	2.092255	-0.575391	3.208043	52.321555	1.425833	-52.321555	36.308875	-0.727155	9.923778	0.727155	-24.708907	3.583250	
35	2.124932	-0.593860	3.209655	55.260495	1.421806	-55.260495	37.628102	0.251945	10.292833	-0.251945	-25.207492	3.592349	
36	2.151367	-0.646288	3.209851	58.261172	1.486535	-58.261172	38.718309	1.374239	10.708396	-1.374239	-25.814520	3.601717	
37	2.182643	-0.696398	3.209630	61.419131	1.546412	-61.419131	39.826815	2.539894	11.126039	-2.539894	-26.474636	3.611490	
38	2.236839	-0.700447	3.209484	64.875697	1.504908	-64.875697	41.264164	3.617638	11.533828	-3.617638	-27.201362	3.621652	
39	2.318000	-0.634980	3.209170	68.725457	1.310237	-68.725457	43.241197	4.490216	11.895269	-4.490216	-27.922412	3.632126	
40	2.410691	-0.513741	3.208172	72.922346	0.996145	-72.922346	45.706006	5.147010	12.173789	-5.147010	-28.532990	3.642893	
41	2.508083	-0.361397	3.206604	77.269699	0.604140	-77.269699	48.438812	5.652438	12.391390	-5.652438	-29.068288	3.653879	
42	2.614829	-0.196619	3.205068	81.579444	0.156309	-81.579444	51.241230	6.070347	12.601228	-6.070347	-29.644453	3.664783	
43	2.731439	-0.036551	3.203693	85.822912	-0.310702	-85.822912	53.987011	6.460157	12.847120	-6.460157	-30.348694	3.675157	
44	2.864019	0.116303	3.202550	89.985462	-0.789279	-89.985462	56.587797	6.839062	13.160350	-6.839062	-31.255195	3.684554	
45	3.028916	0.274255	3.202335	93.958352	-1.314258	-93.958352	58.961621	7.166144	13.565859	-7.166144	-32.445611	3.692544	
46	3.230820	0.439120	3.203482	97.685242	-1.897846	-97.685242	61.076504	7.397440	14.061633	-7.397440	-33.927874	3.698743	
47	3.454713	0.595220	3.205708	101.135062	-2.511295	-101.135062	62.936957	7.526039	14.612471	-7.526039	-35.606775	3.702921	
48	3.687155	0.725225	3.208729	104.178622	-3.123575	-104.178622	64.484788	7.582240	15.205774	-7.582240	-37.425569	3.704977	
49	3.942265	0.831220	3.212555	106.654842	-3.747565	-106.654842	65.598108	7.571948	15.892704	-7.571948	-39.494886	3.704732	
50	4.257328	0.935960	3.217262	108.393897	-4.429656	-108.393897	66.125424	7.441994	16.753815	-7.441994	-42.016057	3.701690	
51	4.634461	1.040116	3.222875	109.364735	-5.151388	-109.364735	66.015558	7.209157	17.819133	-7.209157	-44.990344	3.695013	
52	5.009520	1.104776	3.229404	109.813588	-5.825379	-109.813588	65.510776	6.991218	19.010856	-6.991218	-48.047953	3.683987	
53	5.326369	1.110732	3.236996	109.882116	-6.437385	-109.882116	64.979848	6.764027	20.202851	-6.764027	-50.760882	3.668528	
54	5.594940	1.088686	3.245987	109.454724	-7.067647	-109.454724	64.595726	6.309469	21.335945	-6.309469	-52.995753	3.649145	
55	5.842097	1.069623	3.256715	108.563442	-7.767112	-108.563442	64.379550	5.491341	22.424413	-5.491341	-54.802307	3.626528	
56	6.064698	1.053993	3.269383	107.415197	-8.521421	-107.415197	64.391907	4.351800	23.483447	-4.351800	-56.181941	3.601252	
57	6.255949	1.038844	3.284032	106.002035	-9.308311	-106.002035	64.638451	2.929977	24.516193	-2.929977	-57.124338	3.573804	
58	6.428967	1.034481	3.300550	104.134049	-10.116512	-104.134049	64.990666	1.198002	25.543707	-1.198002	-57.691481	3.544644	
59	6.588017	1.043406	3.318813	101.888213	-10.930992	-101.888213	65.454927	-0.828148	26.579594	0.828148	-57.914893	3.514219	
60	6.715697	1.051416	3.338804	99.541242	-11.732260	-99.541242	66.214104	-3.080031	27.601766	3.080031	-57.753425	3.483003	
61	6.801687	1.045451	3.360551	97.124567	-12.503259	-97.124567	67.313397	-5.524419	28.584289	5.524419	-57.204624	3.451514	
62	6.867140	1.028434	3.384023	94.320503	-13.228662	-94.320503	68.474215	-8.173624	29.549872	8.173624	-56.395196	3.420254	
63	6.952572	1.011233	3.409151	90.691159	-13.876247	-90.691159	69.194691	-10.998489	30.584381	10.998489	-55.534606	3.389513	
64	7.068687	0.992594	3.435942	86.153189	-14.414629	-86.153189	69.247576	-13.900934	31.738829	13.900934	-54.695449	3.359264	
65	7.186906	0.960997	3.464454	81.053132	-14.855194	-81.053132	68.898836	-16.815477	32.957371	16.815477	-53.762031	3.329489	
66	7.283396	0.909110	3.494637	75.703203	-15.224970	-75.703203	68.434123	-19.723072	34.165752	19.723072	-52.646105	3.300414	
67	7.354918	0.835377	3.526078	70.188893	-15.516852	-70.188893	67.867171	-22.571246	35.347794	22.571246	-51.383033	3.272296	
68	7.407719	0.739873	3.557858	64.461402	-15.695507	-64.461402	67.061419	-25.280295	36.535598	25.280295	-50.069871	3.245184	
69	7.451266	0.624674	3.588871	58.452280	-15.745485	-58.452280	65.921309	-27.818423	37.765889	27.818423	-48.781916	3.218882	
70	7.492489	0.498179	3.618317	52.165557	-15.693186	-52.165557	64.507529	-30.249845	39.029791	30.249845	-47.514269	3.193158	
71	7.533559	0.370571	3.645924	45.683951	-15.564303	-45.683951	62.923769	-32.663208	40.289465	32.663208	-46.224849	3.168001	
72	7.574498	0.243273	3.671712	39.077096	-15.337827	-39.077096	61.112268	-35.040644	41.537260	35.040644	-44.914729	3.143601	
73	7.615070	0.112537	3.695443	32.381538	-14.958388	-32.381538	58.869986	-37.253653	42.799694	37.253653	-43.622347	3.120063	
74	7.655466	-0.021055	3.716361	25.777410	-14.392501	-25.777410	56.088648	-39.193059	44.091826	39.193059	-42.365438	3.097228	
75	7.697380	-0.150905	3.734023	19.549430	-13.661780	-19.549430	52.857914	-40.869089	45.392996	40.869089	-41.123919	3.074828	
76	7.742980	-0.263013	3.749409	13.889348	-12.820380	-13.889348	49.355882	-42.377605	46.661020	42.377605	-39.864320	3.052712	
77	7.794470	-0.344641	3.764341	8.766373	-11.907346	-8.766373	45.657528	-43.768579	47.868530	43.768579	-38.576641	3.030888	
78	7.854317	-0.398112	3.780049	3.831643	-10.933245	-3.831643	41.665122	-44.999505	49.021744	44.999505	-37.281588	3.009407	
79	7.920807	-0.432569	3.797261	-1.187500	-9.911677	1.187500	37.363188	-46.031969	50.127336	46.031969	-35.993445	2.988242	
80	7.988874	-0.450511	3.816990	-6.215583	-8.862426	6.215583	32.860838	-46.871560	51.167793	46.871560	-34.703466	2.967309	
81	8.057321	-0.451095	3.840016	-11.276256	-7.789153	11.276256	28.125681	-47.525112	52.130266	47.525112	-33.406377	2.946559	
82	8.128167	-0.442184	3.866108	-16.592198	-6.682296	16.592198	23.030885	-47.973341	53.045506	47.973341	-32.130256	2.925993	
