kww	// User ID
28-6-2021	// Evaluation date
p23_v_50_step_004	26-6-2021	12:40:08:658	// Source file name and timestamp
357.143	// Sampling rate
1.072	// Data capture period

1.800000	// height
77.100000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	1.750280	1.726565	1.701181	8.223041	-0.016788	-8.223041	-6.179847	-0.649129	3.460696	0.649129	-12.036485	1.992107	
1	1.850235	1.598684	1.705983	8.022122	0.010308	-8.022122	-5.447773	-0.413204	3.274189	0.413204	-13.679547	2.012386	
2	1.981151	1.540867	1.708311	7.949304	0.029239	-7.949304	-4.965567	-0.256427	3.136398	0.256427	-15.406397	2.027901	
3	1.895090	1.186035	1.708555	7.551811	0.065941	-7.551811	-3.763135	0.224740	2.718327	-0.224740	-16.400233	2.038792	
4	1.707279	0.736838	1.707492	7.087811	0.097063	-7.087811	-2.573688	0.792119	2.303684	-0.792119	-16.948965	2.045477	
5	1.430609	0.219525	1.705667	6.548592	0.124979	-6.548592	-1.475417	1.412051	1.933601	-1.412051	-16.999572	2.048499	
6	1.107958	-0.316234	1.703621	5.884737	0.150352	-5.884737	-0.533120	2.025467	1.635167	-2.025467	-16.637331	2.048503	
7	0.774535	-0.831596	1.701845	5.121687	0.178626	-5.121687	0.316091	2.590234	1.388736	-2.590234	-15.950448	2.046156	
8	0.462056	-1.289272	1.700778	4.333374	0.215671	-4.333374	1.168607	3.065260	1.162970	-3.065260	-15.040683	2.042133	
9	0.191092	-1.678178	1.700746	3.490256	0.261836	-3.490256	2.085201	3.431469	0.932672	-3.431469	-14.012482	2.037050	
10	-0.025887	-2.007758	1.701946	2.500066	0.312052	-2.500066	3.072930	3.693364	0.684072	-3.693364	-12.982242	2.031298	
11	-0.182124	-2.287833	1.704466	1.269214	0.357151	-1.269214	4.114168	3.863888	0.409656	-3.863888	-12.056297	2.024995	
12	-0.276454	-2.514576	1.708306	-0.175608	0.390351	0.175608	5.211193	3.942675	0.109754	-3.942675	-11.287229	2.018155	
13	-0.311065	-2.677155	1.713427	-1.647048	0.411594	1.647048	6.377797	3.912708	-0.194074	-3.912708	-10.690290	2.010836	
14	-0.290471	-2.783106	1.719775	-3.085394	0.418729	3.085394	7.565688	3.778980	-0.462431	-3.778980	-10.297093	2.003067	
