kww	// User ID
28-6-2021	// Evaluation date
p30_warmup_001	26-6-2021	12:11:24:786	// Source file name and timestamp
357.143	// Sampling rate
0.972	// Data capture period

1.850000	// height
83.100000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	3.045752	1.453927	2.243166	4.182657	-0.176556	-4.182657	-16.304707	6.964558	8.039751	-6.964558	-20.681345	2.043228	
1	3.123759	1.423523	2.240770	5.538292	-0.119862	-5.538292	-15.672248	7.026322	8.258410	-7.026322	-21.625590	2.047138	
2	3.234998	1.416944	2.236068	6.709130	-0.027935	-6.709130	-15.472790	7.267481	8.539110	-7.267481	-22.711811	2.048596	
3	3.168925	1.297068	2.230874	8.362270	-0.034688	-8.362270	-13.631279	6.884029	8.345178	-6.884029	-22.785864	2.048449	
4	3.045259	1.161749	2.228399	10.107768	-0.114072	-10.107768	-11.323775	6.266919	7.988274	-6.266919	-22.495354	2.048189	
5	2.868929	1.003699	2.230247	11.833704	-0.243599	-11.833704	-8.681653	5.488335	7.489252	-5.488335	-21.905123	2.048602	
6	2.658853	0.806685	2.237455	13.415291	-0.357013	-13.415291	-5.963831	4.721652	6.907900	-4.721652	-21.207528	2.050096	
7	2.433429	0.573100	2.250462	14.853600	-0.421700	-14.853600	-3.314513	4.056457	6.303002	-4.056457	-20.536380	2.052600	
8	2.217698	0.338793	2.269297	16.155230	-0.452630	-16.155230	-0.861656	3.502072	5.747521	-3.502072	-19.968002	2.055768	
9	2.025123	0.131200	2.293620	17.324977	-0.466085	-17.324977	1.329207	3.042609	5.279621	-3.042609	-19.504520	2.059163	
10	1.855050	-0.052920	2.322787	18.399810	-0.449786	-18.399810	3.259151	2.685055	4.898006	-2.685055	-19.137541	2.062390	
11	1.705896	-0.219473	2.356028	19.411292	-0.400913	-19.411292	4.959041	2.414505	4.597950	-2.414505	-18.874492	2.065196	
12	1.582682	-0.356640	2.392628	20.330498	-0.350179	-20.330498	6.440085	2.165810	4.391676	-2.165810	-18.710659	2.067558	
13	1.491283	-0.457080	2.431943	21.102673	-0.317108	-21.102673	7.682829	1.903733	4.294768	-1.903733	-18.644251	2.069569	
14	1.432640	-0.523650	2.473390	21.701854	-0.301630	-21.701854	8.687828	1.628404	4.309017	-1.628404	-18.666115	2.071249	
15	1.402325	-0.554644	2.516463	22.127935	-0.314617	-22.127935	9.506918	1.310614	4.416460	-1.310614	-18.720256	2.072675	
16	1.392363	-0.555322	2.560629	22.402789	-0.358258	-22.402789	10.201302	0.935161	4.588064	-0.935161	-18.765554	2.074142	
17	1.396133	-0.545552	2.605241	22.581928	-0.409734	-22.581928	10.810278	0.545716	4.805106	-0.545716	-18.844852	2.075886	
18	1.411631	-0.536281	2.649673	22.707233	-0.454072	-22.707233	11.341125	0.180870	5.062544	-0.180870	-19.006394	2.077811	
19	1.440161	-0.517965	2.693492	22.754725	-0.500782	-22.754725	11.754743	-0.167541	5.354130	0.167541	-19.226397	2.079744	
20	1.483336	-0.478905	2.736573	22.691984	-0.563232	-22.691984	12.008104	-0.515365	5.669641	0.515365	-19.466363	2.081728	
21	1.537112	-0.419868	2.779021	22.529055	-0.646917	-22.529055	12.130050	-0.875816	5.988243	0.875816	-19.691410	2.083980	
22	1.592802	-0.355471	2.820853	22.304861	-0.743794	-22.304861	12.201442	-1.248813	6.287107	1.248813	-19.886329	2.086798	
23	1.648667	-0.312678	2.861949	22.114280	-0.815356	-22.114280	12.246717	-1.555033	6.589275	1.555033	-20.176786	2.090124	
24	1.709804	-0.310830	2.902310	22.062424	-0.819108	-22.062424	12.221584	-1.692892	6.946579	1.692892	-20.726369	2.093034	
25	1.774702	-0.338870	2.942065	22.128066	-0.764268	-22.128066	12.123368	-1.690886	7.349635	1.690886	-21.458894	2.094364	
26	1.834946	-0.372882	2.981231	22.207150	-0.693638	-22.207150	12.018120	-1.665494	7.737749	1.665494	-22.158738	2.093749	
27	1.886245	-0.403257	3.019698	22.257311	-0.629270	-22.257311	11.952723	-1.677190	8.082713	1.677190	-22.746782	2.091497	
28	1.931464	-0.428250	3.057351	22.261014	-0.574662	-22.261014	11.903783	-1.729881	8.393461	1.729881	-23.251437	2.087932	
29	1.975877	-0.439764	3.094120	22.151408	-0.538824	-22.151408	11.827283	-1.833584	8.679088	1.833584	-23.683007	2.083255	
30	2.020736	-0.428893	3.129999	21.898844	-0.533759	-21.898844	11.738998	-2.013271	8.938409	2.013271	-24.024401	2.077683	
31	2.061271	-0.400210	3.165041	21.556750	-0.557990	-21.556750	11.690864	-2.278446	9.166598	2.278446	-24.265534	2.071482	
32	2.091575	-0.369605	3.199258	21.150985	-0.595321	-21.150985	11.689180	-2.610567	9.362203	2.610567	-24.418249	2.064927	
33	2.109914	-0.348790	3.232495	20.653521	-0.629761	-20.653521	11.701327	-2.986000	9.528670	2.986000	-24.503977	2.058318	
34	2.118873	-0.340375	3.264413	20.071469	-0.653254	-20.071469	11.711486	-3.390113	9.676126	3.390113	-24.549775	2.051885	
35	2.121189	-0.341342	3.294734	19.441422	-0.663713	-19.441422	11.739285	-3.821833	9.814612	3.821833	-24.575301	2.045656	
36	2.117869	-0.345449	3.323446	18.779305	-0.663273	-18.779305	11.817970	-4.295213	9.944146	4.295213	-24.571316	2.039555	
37	2.111554	-0.347162	3.350696	18.079922	-0.654992	-18.079922	11.937339	-4.811218	10.065251	4.811218	-24.527721	2.033578	
38	2.108244	-0.345942	3.376570	17.326588	-0.637426	-17.326588	12.022481	-5.334022	10.195185	5.334022	-24.478384	2.027667	
39	2.113044	-0.342936	3.400947	16.515723	-0.607915	-16.515723	12.011627	-5.826378	10.354811	5.826378	-24.469991	2.021529	
40	2.125470	-0.334825	3.423626	15.665399	-0.571382	-15.665399	11.930615	-6.297983	10.539129	6.297983	-24.490661	2.014850	
41	2.141195	-0.320475	3.444734	14.796033	-0.533165	-14.796033	11.846647	-6.778861	10.728828	6.778861	-24.502141	2.007589	
42	2.158018	-0.307840	3.464730	13.914805	-0.487872	-13.914805	11.769662	-7.261008	10.927334	7.261008	-24.521114	1.999782	
43	2.174820	-0.305314	3.483921	13.023039	-0.429998	-13.023039	11.681880	-7.722223	11.144974	7.722223	-24.572401	1.991303	
44	2.188108	-0.313113	3.502349	12.152848	-0.365004	-12.152848	11.625653	-8.176695	11.371134	8.176695	-24.630091	1.982084	
45	2.196880	-0.324355	3.520060	11.349986	-0.302864	-11.349986	11.648957	-8.652817	11.595107	8.652817	-24.668838	1.972260	
46	2.204176	-0.332562	3.537183	10.605374	-0.249201	-10.605374	11.732499	-9.161462	11.816228	9.161462	-24.686046	1.962036	
47	2.213155	-0.338392	3.553851	9.859333	-0.202858	-9.859333	11.824804	-9.700316	12.036389	9.700316	-24.688564	1.951634	
48	2.225208	-0.344907	3.570132	9.079081	-0.161401	-9.079081	11.911650	-10.267470	12.259760	10.267470	-24.690446	1.941238	
49	2.238803	-0.350600	3.586025	8.284096	-0.126551	-8.284096	12.036203	-10.872917	12.482705	10.872917	-24.688585	1.930973	
50	2.253136	-0.355823	3.601570	7.485953	-0.096679	-7.485953	12.198496	-11.509109	12.708371	11.509109	-24.692588	1.920956	
51	2.271311	-0.368677	3.616902	6.653606	-0.061735	-6.653606	12.296838	-12.126696	12.966638	12.126696	-24.760791	1.911104	
52	2.295428	-0.396501	3.632155	5.740113	-0.014095	-5.740113	12.251380	-12.690531	13.282203	12.690531	-24.932034	1.900973	
53	2.321947	-0.442143	3.647411	4.705294	0.046072	-4.705294	12.079406	-13.211138	13.641570	13.211138	-25.166010	1.890000	
54	2.343681	-0.506858	3.662755	3.520871	0.115940	-3.520871	11.836940	-13.710757	13.999192	13.710757	-25.368465	1.877833	
