kww	// User ID
28-6-2021	// Evaluation date
p31_warmup_009	28-6-2021	17:20:00:989	// Source file name and timestamp
357.143	// Sampling rate
1.000	// Data capture period

1.960000	// height
90.100000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	1.815229	0.356038	1.605375	41.449472	-0.462810	-41.449472	8.245978	7.752309	3.256711	-7.752309	-16.893790	2.005301	
1	1.903917	0.315303	1.592649	39.718068	-0.370705	-39.718068	8.130879	7.020349	3.430812	-7.020349	-18.137273	2.008449	
2	2.036252	0.316443	1.579081	38.577267	-0.287918	-38.577267	7.911105	6.356153	3.754671	-6.356153	-19.639580	2.008023	
3	1.974585	0.137337	1.565588	35.420872	-0.057066	-35.420872	7.358067	5.985113	3.471424	-5.985113	-19.850549	2.004465	
4	1.846044	-0.093828	1.553936	31.856123	0.220491	-31.856123	6.593071	5.875148	2.980320	-5.875148	-19.573523	1.998699	
5	1.668124	-0.364535	1.545186	28.131967	0.530113	-28.131967	5.692943	6.008874	2.328949	-6.008874	-18.915720	1.991347	
6	1.470895	-0.638547	1.539916	24.679610	0.841416	-24.679610	4.788222	6.312115	1.612722	-6.312115	-18.038679	1.983008	
7	1.260655	-0.888227	1.538126	21.643509	1.121913	-21.643509	4.021559	6.706327	0.860597	-6.706327	-16.944997	1.974289	
8	1.038239	-1.121891	1.539551	19.040133	1.368406	-19.040133	3.508301	7.184912	0.063648	-7.184912	-15.678185	1.965746	
9	0.813620	-1.365622	1.543898	16.826676	1.601221	-16.826676	3.279202	7.758951	-0.775114	-7.758951	-14.369442	1.957678	
10	0.603170	-1.614533	1.550848	14.986734	1.820326	-14.986734	3.326086	8.381232	-1.617820	-8.381232	-13.126941	1.950171	
11	0.417283	-1.842229	1.559965	13.535085	2.009275	-13.535085	3.630232	8.988270	-2.425713	-8.988270	-11.977391	1.943326	
12	0.264466	-2.027182	1.570735	12.539206	2.159775	-12.539206	4.137077	9.546256	-3.165790	-9.546256	-10.956786	1.937286	
13	0.150284	-2.163049	1.582703	12.102975	2.279901	-12.102975	4.777778	10.074744	-3.822586	-10.074744	-10.126721	1.932102	
14	0.069722	-2.263023	1.595572	12.154581	2.383879	-12.154581	5.508240	10.611402	-4.414964	-10.611402	-9.497781	1.927690	
15	0.013673	-2.345965	1.609210	12.497419	2.477800	-12.497419	6.311520	11.156037	-4.974756	-11.156037	-9.038129	1.923859	
16	-0.024024	-2.416372	1.623478	13.078136	2.559790	-13.078136	7.174191	11.700402	-5.521662	-11.700402	-8.711130	1.920355	
17	-0.042626	-2.460601	1.638101	13.985262	2.626401	-13.985262	8.041624	12.257404	-6.042984	-12.257404	-8.514604	1.916904	
18	-0.035256	-2.454501	1.652741	15.408634	2.675253	-15.408634	8.801042	12.847828	-6.494259	-12.847828	-8.493641	1.913168	
19	-0.000109	-2.379397	1.667106	17.456081	2.698498	-17.456081	9.319576	13.472967	-6.827476	-13.472967	-8.656557	1.908778	
20	0.060602	-2.236021	1.681025	19.975976	2.685970	-19.975976	9.498662	14.109205	-7.011705	-14.109205	-8.993858	1.903412	
21	0.141580	-2.042373	1.694518	22.744945	2.641661	-22.744945	9.317796	14.758181	-7.058731	-14.758181	-9.497403	1.896714	
22	0.223652	-1.841791	1.707710	25.389341	2.585116	-25.389341	8.907772	15.436158	-7.043476	-15.436158	-10.055143	1.888500	
23	0.296072	-1.690183	1.720675	27.434705	2.540280	-27.434705	8.514709	16.116475	-7.053369	-16.116475	-10.620915	1.878902	
24	0.378019	-1.600523	1.733406	28.824114	2.518535	-28.824114	8.264293	16.760899	-7.113302	-16.760899	-11.369684	1.867744	
25	0.482600	-1.540992	1.745891	29.890650	2.508652	-29.890650	8.092059	17.364875	-7.198662	-17.364875	-12.369764	1.854310	
26	0.594454	-1.492881	1.758138	30.889795	2.499228	-30.889795	7.941601	17.940379	-7.303338	-17.940379	-13.442217	1.838107	
27	0.700479	-1.479205	1.770174	31.718200	2.503837	-31.718200	7.933419	18.478509	-7.478946	-18.478509	-14.496720	1.819054	
28	0.809832	-1.523297	1.782028	32.150365	2.539240	-32.150365	8.231073	18.932897	-7.779088	-18.932897	-15.648045	1.796803	
29	0.936321	-1.599566	1.793686	32.355557	2.600382	-32.355557	8.773575	19.273544	-8.179786	-19.273544	-16.966437	1.770561	
30	1.071572	-1.667001	1.805077	32.714293	2.674524	-32.714293	9.364198	19.535329	-8.617797	-19.535329	-18.279709	1.739734	
31	1.186493	-1.716090	1.816191	33.261283	2.744065	-33.261283	9.891033	19.750087	-9.038276	-19.750087	-19.250803	1.704549	
32	1.261092	-1.751694	1.827170	33.782955	2.783588	-33.782955	10.299851	19.907268	-9.390427	-19.907268	-19.667712	1.666031	
33	1.297527	-1.772333	1.838240	34.211693	2.786139	-34.211693	10.546847	20.027791	-9.661810	-20.027791	-19.588690	1.625457	
34	1.307456	-1.777852	1.849600	34.616139	2.769425	-34.616139	10.638632	20.156170	-9.878364	-20.156170	-19.188939	1.583757	
