kww	// User ID
28-6-2021	// Evaluation date
p32_warmup_021	28-6-2021	18:26:41:524	// Source file name and timestamp
357.143	// Sampling rate
0.717	// Data capture period

1.880000	// height
85.400000	// mass


Sample #	elbVar	shldrIR	LwristLinVelo	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	
0	-2.183401	0.371515	2.763486	-89.995366	-6.321677	89.995366	-22.653881	-19.638117	-21.671525	19.638117	32.526240	4.150418	
1	-1.263870	0.552156	2.770086	-79.748687	-6.342220	79.748687	-26.626229	-15.489717	-14.204665	15.489717	23.317714	4.221312	
2	-0.433113	0.761911	2.770767	-72.623565	-6.513297	72.623565	-32.449592	-11.510354	-7.541683	11.510354	14.656738	4.279062	
3	0.403760	0.696156	2.766686	-45.955801	-5.271344	45.955801	-28.234919	-3.193236	0.004735	3.193236	3.062504	4.321987	
4	1.083365	0.490029	2.760233	-12.382530	-3.318327	12.382530	-19.640589	7.043177	6.482168	-7.043177	-8.308823	4.348511	
5	1.556027	0.161298	2.752984	25.720985	-0.845647	-25.720985	-6.980921	18.295787	11.416997	-18.295787	-18.394678	4.359281	
6	1.816469	-0.230999	2.746301	64.124180	1.731288	-64.124180	8.091742	29.185550	14.652148	-29.185550	-26.342693	4.356116	
7	1.891485	-0.642657	2.741271	100.268216	4.096851	-100.268216	24.436118	38.750858	16.356697	-38.750858	-31.900068	4.341457	
8	1.823143	-1.033215	2.738728	132.368821	5.991207	-132.368821	41.024444	46.329829	16.832754	-46.329829	-35.160669	4.317901	
9	1.651862	-1.378606	2.739230	159.536519	7.278544	-159.536519	57.189181	51.598635	16.387723	-51.598635	-36.421932	4.288009	
10	1.411874	-1.671467	2.743176	181.443756	7.943533	-181.443756	72.491173	54.510152	15.292163	-54.510152	-36.080163	4.254214	
11	1.137857	-1.904686	2.750846	198.196313	8.009767	-198.196313	86.558232	55.230220	13.818540	-55.230220	-34.600264	4.218726	
12	0.866024	-2.070767	2.762303	210.162522	7.535239	-210.162522	99.002936	54.078243	12.250414	-54.078243	-32.485631	4.183385	
13	0.623560	-2.174085	2.777334	217.801649	6.636884	-217.801649	109.548123	51.442666	10.810395	-51.442666	-30.173591	4.149552	
14	0.421122	-2.222655	2.795566	221.725528	5.420157	-221.725528	118.232289	47.664750	9.596066	-47.664750	-27.918526	4.118179	
15	0.262732	-2.220435	2.816630	222.617266	3.946330	-222.617266	125.242327	43.035600	8.645361	-43.035600	-25.864187	4.089981	
16	0.158401	-2.177556	2.840233	220.950303	2.297320	-220.950303	130.534179	37.879882	8.037951	-37.879882	-24.201626	4.065360	
17	0.114684	-2.108766	2.866158	217.168949	0.584177	-217.168949	134.047033	32.504948	7.834925	-32.504948	-23.091156	4.044232	
18	0.126176	-2.022305	2.894206	211.823066	-1.113332	-211.823066	135.993599	27.102575	8.011993	-27.102575	-22.548085	4.026063	
19	0.183322	-1.923515	2.924226	205.282242	-2.757344	-205.282242	136.649761	21.763118	8.508447	-21.763118	-22.502131	4.010102	
20	0.275374	-1.820510	2.956235	197.777909	-4.324668	-197.777909	136.258429	16.523044	9.250192	-16.523044	-22.848347	3.995628	
21	0.393767	-1.718187	2.990397	189.594214	-5.802602	-189.594214	135.048127	11.407503	10.179685	-11.407503	-23.499026	3.982015	
22	0.533166	-1.615096	3.026879	181.024337	-7.195827	-181.024337	133.258558	6.417010	11.261291	-6.417010	-24.386180	3.968623	
23	0.683710	-1.513060	3.065865	172.225113	-8.512546	-172.225113	131.159220	1.497480	12.422731	-1.497480	-25.386676	3.954915	
24	0.832998	-1.414576	3.107570	163.277560	-9.764369	-163.277560	129.002619	-3.424944	13.572404	3.424944	-26.351982	3.940631	
25	0.972084	-1.310891	3.152155	154.412657	-10.992491	-154.412657	127.117282	-8.434512	14.648189	8.434512	-27.175571	3.925731	
26	1.095908	-1.199213	3.199734	145.761020	-12.229861	-145.761020	125.724528	-13.584554	15.633743	13.584554	-27.825871	3.910295	
27	1.201261	-1.101229	3.250351	137.005045	-13.450503	-137.005045	124.662291	-18.843882	16.538302	18.843882	-28.318445	3.894480	
28	1.282667	-1.040238	3.303855	127.758615	-14.626361	-127.758615	123.746649	-24.188354	17.332200	24.188354	-28.614954	3.878583	
29	1.340104	-1.016614	3.360005	118.011631	-15.763695	-118.011631	122.978269	-29.624248	18.000876	29.624248	-28.690929	3.863057	
30	1.389306	-1.018344	3.418701	107.910945	-16.839763	-107.910945	122.154835	-35.076545	18.652469	35.076545	-28.668063	3.848143	
31	1.443271	-1.037510	3.480000	97.576790	-17.823326	-97.576790	121.094068	-40.481607	19.387734	40.481607	-28.643817	3.833696	
32	1.494601	-1.075337	3.543990	87.144046	-18.742296	-87.144046	120.021480	-45.902308	20.157948	45.902308	-28.539694	3.819654	
33	1.536812	-1.133470	3.610662	76.664873	-19.629777	-76.664873	119.102447	-51.378897	20.904890	51.378897	-28.288959	3.806360	
34	1.579175	-1.197091	3.679827	66.215903	-20.487465	-66.215903	118.306962	-56.882493	21.658503	56.882493	-27.939071	3.794288	
35	1.632265	-1.244227	3.751197	55.951945	-21.314696	-55.951945	117.697234	-62.400175	22.462853	62.400175	-27.553931	3.783731	
36	1.699718	-1.270800	3.824513	45.833621	-22.096493	-45.833621	117.227876	-67.891539	23.347466	67.891539	-27.175995	3.774724	
37	1.781094	-1.289766	3.899552	35.626029	-22.797717	-35.626029	116.643566	-73.278726	24.326770	73.278726	-26.825020	3.767207	
