kww	// User ID
9-7-2021	// Evaluation date
p34_warmup_017_638	9-7-2021	10:47:01:074	// Source file name and timestamp
357.143	// Sampling rate
0.683	// Data capture period

1.680000	// height
62.100000	// mass


Sample #	elb_var	shldrIR	thorJFPd	thorSTPd	UaJFPp	UaSTPp	UaJFPd	UaSTPd	FaJFPp	FaSTPp	RwristLinVelo	LwristLinVelo	shldrER	shldIR	
0	-1.148934	-0.882178	27.908124	4.472539	-27.908124	7.512722	4.333526	-2.107205	-4.333526	4.834481	1.895185	2.210332	-68.260601	-70.559478	
1	-0.959290	-0.821948	29.389616	4.380917	-29.389616	6.817555	5.580779	-1.541523	-5.580779	3.427522	1.922800	2.190887	-68.144731	-70.413067	
2	-0.822480	-0.785935	30.949234	4.456357	-30.949234	6.262410	6.678120	-1.112083	-6.678120	2.290328	1.945989	2.170179	-68.031266	-70.268041	
3	-0.518800	-0.676846	32.756944	3.983025	-32.756944	5.407358	8.569671	-0.274331	-8.569671	0.020664	1.963491	2.149862	-67.920421	-70.124657	
4	-0.184687	-0.557797	34.772226	3.358674	-34.772226	4.593935	10.699325	0.626650	-10.699325	-2.494941	1.973309	2.132864	-67.811768	-69.982373	
5	0.155124	-0.440488	36.901208	2.638769	-36.901208	3.888373	12.939747	1.532189	-12.939747	-5.063550	1.974964	2.120476	-67.704277	-69.839949	
6	0.470516	-0.338222	38.977835	1.917351	-38.977835	3.325276	15.082277	2.372877	-15.082277	-7.451812	1.968566	2.113379	-67.596406	-69.695614	
7	0.751114	-0.248548	40.900268	1.228572	-40.900268	2.904798	16.982433	3.124680	-16.982433	-9.548385	1.954623	2.111717	-67.486308	-69.547305	
8	0.979114	-0.171991	42.598434	0.609792	-42.598434	2.696445	18.532608	3.747431	-18.532608	-11.216634	1.934027	2.115307	-67.372375	-69.393158	
9	1.142917	-0.113320	44.045542	0.095258	-44.045542	2.745482	19.697642	4.219281	-19.697642	-12.397890	1.908118	2.123654	-67.253833	-69.232009	
10	1.255996	-0.072814	45.219651	-0.309353	-45.219651	2.953231	20.501222	4.575716	-20.501222	-13.197033	1.878178	2.136108	-67.130883	-69.063556	
11	1.336888	-0.051473	46.012436	-0.607183	-46.012436	3.195585	20.984000	4.860412	-20.984000	-13.733230	1.844985	2.152058	-67.004307	-68.888023	
12	1.389965	-0.053648	46.312977	-0.793863	-46.312977	3.447868	21.185607	5.084535	-21.185607	-14.037962	1.809015	2.170978	-66.874772	-68.705460	
13	1.413075	-0.079645	46.178992	-0.867752	-46.178992	3.744634	21.149744	5.248820	-21.149744	-14.121362	1.770769	2.192340	-66.742322	-68.515199	
14	1.411394	-0.119230	45.836051	-0.855589	-45.836051	4.108257	20.897109	5.368244	-20.897109	-14.025375	1.730811	2.215613	-66.606447	-68.315919	
15	1.400588	-0.156185	45.428622	-0.819858	-45.428622	4.513180	20.410995	5.473653	-20.410995	-13.818068	1.689686	2.240403	-66.466605	-68.106151	
16	1.394052	-0.182251	44.882706	-0.807061	-44.882706	4.914155	19.696838	5.591339	-19.696838	-13.560715	1.647843	2.266462	-66.322614	-67.884694	
17	1.394403	-0.199230	44.095932	-0.822886	-44.095932	5.297095	18.800824	5.728283	-18.800824	-13.283701	1.605654	2.293510	-66.174651	-67.650762	
