"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","max_elb_var","max_shldr_ir"
"1","p00",28,185.8,73,"L",74.4,28.9,1,28.9,7.562991,13.218165
"2","p00",28,185.8,73,"L",74.4,28.9,2,31.9,7.891617,14.670935
"3","p00",28,185.8,73,"L",74.4,28.9,3,34,8.812571,15.20048
"4","p00",28,185.8,73,"L",74.4,28.9,4,33.9,9.288633,14.651192
"5","p00",28,185.8,73,"L",74.4,28.9,5,35.1,9.767148,15.560482
"6","p00",28,185.8,73,"L",74.4,28.9,6,39.7,11.304595,17.143977
"7","p00",28,185.8,73,"L",74.4,28.9,7,40.1,12.355696,17.894767
"8","p00",28,185.8,73,"L",74.4,28.9,8,39.9,11.25387,17.476708
"9","p00",28,185.8,73,"L",74.4,28.9,9,43.5,14.56961,20.726227
"10","p00",28,185.8,73,"L",74.4,28.9,10,46.9,18.121152,24.296802
"11","p00",28,185.8,73,"L",74.4,28.9,11,48.2,17.791339,24.45823
"12","p00",28,185.8,73,"L",74.4,28.9,12,49.1,18.869636,25.850496
"13","p00",28,185.8,73,"L",74.4,28.9,13,50.5,20.449226,28.865888
"14","p00",28,185.8,73,"L",74.4,28.9,14,51.2,21.116079,28.656763
"15","p00",28,185.8,73,"L",74.4,28.9,15,51.8,21.668585,29.243118
"16","p00",28,185.8,73,"L",74.4,28.9,16,55.1,24.67446,32.531336
"17","p00",28,185.8,73,"L",74.4,28.9,17,56.3,24.857425,33.246018
"18","p00",28,185.8,73,"L",74.4,28.9,18,57.1,25.62826,35.184582
"19","p00",28,185.8,73,"L",74.4,28.9,19,59.8,27.812304,38.542631
"20","p00",28,185.8,73,"L",74.4,28.9,20,61.6,29.83782,39.731758
"21","p00",28,185.8,73,"L",74.4,28.9,21,62.5,29.926256,39.804649
"22","p00",28,185.8,73,"L",74.4,28.9,22,63.2,30.485899,41.353948
"23","p00",28,185.8,73,"L",74.4,28.9,23,63,30.478462,41.242344
"24","p00",28,185.8,73,"L",74.4,28.9,24,67.7,35.538441,46.211923
"25","p00",28,185.8,73,"L",74.4,28.9,25,68.2,36.225269,57.786359
"26","p00",28,185.8,73,"L",74.4,28.9,26,69.4,36.344193,47.454945
"27","p00",28,185.8,73,"L",74.4,28.9,27,69.7,37.963174,49.224907
"28","p00",28,185.8,73,"L",74.4,28.9,28,71.5,40.165629,50.670202
"29","p00",28,185.8,73,"L",74.4,28.9,29,72.3,43.310683,50.38282
"30","p00",28,185.8,73,"L",74.4,28.9,30,72.9,40.813782,49.778234
"31","p00",28,185.8,73,"L",74.4,28.9,31,73.3,40.567977,52.104982
"32","p00",28,185.8,73,"L",74.4,28.9,32,73.8,42.259887,52.631685
"33","p00",28,185.8,73,"L",74.4,28.9,33,72.4,40.111462,51.843441
"34","p00",28,185.8,73,"L",74.4,28.9,34,74.1,41.699658,53.551368
"35","p00",28,185.8,73,"L",74.4,28.9,35,73.9,41.806847,52.837
"36","p00",28,185.8,73,"L",74.4,28.9,36,74.4,42.389795,52.415544
"37","p00",28,185.8,73,"L",74.4,28.9,37,73.4,42.83313,52.980148
"38","p02",25,205.4,74,"R",76.8,36.3,1,36.8,12.273731,19.166476
"39","p02",25,205.4,74,"R",76.8,36.3,2,37.5,13.791483,20.507835
"40","p02",25,205.4,74,"R",76.8,36.3,3,36.3,12.66364,19.852532
"41","p02",25,205.4,74,"R",76.8,36.3,4,37.4,14.342631,21.220742
"42","p02",25,205.4,74,"R",76.8,36.3,5,37.7,13.706132,21.441351
"43","p02",25,205.4,74,"R",76.8,36.3,6,38.3,15.167945,21.349043
"44","p02",25,205.4,74,"R",76.8,36.3,7,41.5,16.840693,24.46734
"45","p02",25,205.4,74,"R",76.8,36.3,8,38.6,14.660348,21.886565
"46","p02",25,205.4,74,"R",76.8,36.3,9,44.4,17.072979,26.848575
"47","p02",25,205.4,74,"R",76.8,36.3,10,45.7,18.935587,27.824461
"48","p02",25,205.4,74,"R",76.8,36.3,11,45.3,19.003502,29.16996
"49","p02",25,205.4,74,"R",76.8,36.3,12,46.7,19.054741,28.721719
"50","p02",25,205.4,74,"R",76.8,36.3,13,46.7,19.00867,28.444764
"51","p02",25,205.4,74,"R",76.8,36.3,14,46.3,18.302612,28.538545
"52","p02",25,205.4,74,"R",76.8,36.3,15,46.9,19.653781,29.471356
"53","p02",25,205.4,74,"R",76.8,36.3,16,49.3,21.030931,30.565732
"54","p02",25,205.4,74,"R",76.8,36.3,17,49.9,21.950635,32.383221
"55","p02",25,205.4,74,"R",76.8,36.3,18,54.7,25.497275,36.895613
"56","p02",25,205.4,74,"R",76.8,36.3,19,58.6,26.932072,39.821494
"57","p02",25,205.4,74,"R",76.8,36.3,20,56.5,25.692281,38.584255
"58","p02",25,205.4,74,"R",76.8,36.3,21,59.5,29.429333,42.869371
"59","p02",25,205.4,74,"R",76.8,36.3,22,59.6,29.470801,43.206419
"60","p02",25,205.4,74,"R",76.8,36.3,23,62.8,31.997203,45.114366
"61","p02",25,205.4,74,"R",76.8,36.3,24,65.1,34.020863,47.743653
"62","p02",25,205.4,74,"R",76.8,36.3,25,66.6,37.217359,49.98286
"63","p02",25,205.4,74,"R",76.8,36.3,26,66.9,36.295494,49.812554
"64","p02",25,205.4,74,"R",76.8,36.3,27,67.3,37.85508,50.384948
"65","p02",25,205.4,74,"R",76.8,36.3,28,69.8,40.444577,54.124008
"66","p02",25,205.4,74,"R",76.8,36.3,29,71.8,43.855078,58.065023
"67","p02",25,205.4,74,"R",76.8,36.3,30,70.6,42.53166,58.054238
"68","p02",25,205.4,74,"R",76.8,36.3,31,72.6,44.044932,57.432323
"69","p02",25,205.4,74,"R",76.8,36.3,32,74.1,47.199831,57.764712
"70","p02",25,205.4,74,"R",76.8,36.3,33,74.6,45.984073,60.598093
"71","p02",25,205.4,74,"R",76.8,36.3,34,74.6,47.432385,60.061642
"72","p02",25,205.4,74,"R",76.8,36.3,35,74,48.282704,61.661612
"73","p02",25,205.4,74,"R",76.8,36.3,36,74.9,46.884132,59.161108
"74","p02",25,205.4,74,"R",76.8,36.3,37,74.2,47.933775,57.377942
"75","p02",25,205.4,74,"R",76.8,36.3,38,74.2,46.23532,60.593394
"76","p02",25,205.4,74,"R",76.8,36.3,39,75.8,50.323607,62.955006
"77","p02",25,205.4,74,"R",76.8,36.3,40,76.8,48.60071,62.363572
"78","p03",27,219.8,73,"R",74.6,33.6,1,34.1,17.467546,23.410737
"79","p03",27,219.8,73,"R",74.6,33.6,2,33.6,18.163846,22.99331
"80","p03",27,219.8,73,"R",74.6,33.6,3,35.2,18.57494,22.856376
"81","p03",27,219.8,73,"R",74.6,33.6,4,36.4,20.300394,23.275871
"82","p03",27,219.8,73,"R",74.6,33.6,5,35.3,18.862058,23.777792
"83","p03",27,219.8,73,"R",74.6,33.6,6,37,17.955805,25.140624
