"","Throw","Vel_warm","pID"
"1",1,28.9,"p00"
"2",2,31.9,"p00"
"3",3,34,"p00"
"4",4,33.9,"p00"
"5",5,35.1,"p00"
"6",6,39.7,"p00"
"7",7,40.1,"p00"
"8",8,39.9,"p00"
"9",9,43.5,"p00"
"10",10,46.9,"p00"
"11",11,48.2,"p00"
"12",12,49.1,"p00"
"13",13,50.5,"p00"
"14",14,51.2,"p00"
"15",15,51.8,"p00"
"16",16,55.1,"p00"
"17",17,56.3,"p00"
"18",18,57.1,"p00"
"19",19,59.8,"p00"
"20",20,61.6,"p00"
"21",21,62.5,"p00"
"22",22,63.2,"p00"
"23",23,63,"p00"
"24",24,67.7,"p00"
"25",25,68.2,"p00"
"26",26,69.4,"p00"
"27",27,69.7,"p00"
"28",28,71.5,"p00"
"29",29,72.3,"p00"
"30",30,72.9,"p00"
"31",31,73.3,"p00"
"32",32,73.8,"p00"
"33",33,72.4,"p00"
"34",34,74.1,"p00"
"35",35,73.9,"p00"
"36",36,74.4,"p00"
"37",37,73.4,"p00"
"38",1,31.9,"p01"
"39",2,24.1,"p01"
"40",3,34.7,"p01"
"41",4,35.4,"p01"
"42",5,35.9,"p01"
"43",6,37.1,"p01"
"44",7,35,"p01"
"45",8,36.1,"p01"
"46",9,36,"p01"
"47",10,37.4,"p01"
"48",11,36.8,"p01"
"49",12,37.6,"p01"
"50",13,38.8,"p01"
"51",14,40.8,"p01"
"52",15,39.8,"p01"
"53",16,39.6,"p01"
"54",17,40.7,"p01"
"55",18,42.5,"p01"
"56",19,42.2,"p01"
"57",20,41.3,"p01"
"58",21,43.5,"p01"
"59",22,43,"p01"
"60",23,46.1,"p01"
"61",24,46.1,"p01"
"62",25,47.4,"p01"
"63",26,47.1,"p01"
"64",27,47.5,"p01"
"65",28,48.6,"p01"
"66",29,48.2,"p01"
"67",30,47.8,"p01"
"68",31,48.2,"p01"
"69",32,49,"p01"
"70",33,48.7,"p01"
"71",34,49.6,"p01"
"72",35,50,"p01"
"73",36,50.9,"p01"
"74",37,50,"p01"
"75",38,49.9,"p01"
"76",39,48.6,"p01"
"77",40,49.8,"p01"
"78",41,48.3,"p01"
"79",42,49.7,"p01"
"80",43,49.1,"p01"
"81",44,49,"p01"
"82",45,52.2,"p01"
"83",46,54.6,"p01"
"84",47,54.3,"p01"
"85",48,54.6,"p01"
"86",49,55.1,"p01"
"87",50,57.8,"p01"
"88",51,57.7,"p01"
"89",52,56.2,"p01"
"90",53,57.6,"p01"
"91",54,57.9,"p01"
"92",55,58.8,"p01"
"93",56,59.1,"p01"
"94",57,59.3,"p01"
"95",58,58.2,"p01"
"96",1,36.8,"p02"
"97",2,37.5,"p02"
"98",3,36.3,"p02"
"99",4,37.4,"p02"
"100",5,37.7,"p02"
"101",6,38.3,"p02"
"102",7,41.5,"p02"
"103",8,38.6,"p02"
"104",9,44.4,"p02"
"105",10,45.7,"p02"
"106",11,45.3,"p02"
"107",12,46.7,"p02"
"108",13,46.7,"p02"
"109",14,46.3,"p02"
"110",15,46.9,"p02"
"111",16,49.3,"p02"
"112",17,49.9,"p02"
"113",18,54.7,"p02"
"114",19,58.6,"p02"
"115",20,56.5,"p02"
"116",21,59.5,"p02"
"117",22,59.6,"p02"
"118",23,62.8,"p02"
"119",24,65.1,"p02"
"120",25,66.6,"p02"
"121",26,66.9,"p02"
"122",27,67.3,"p02"
"123",28,69.8,"p02"
"124",29,71.8,"p02"
"125",30,70.6,"p02"
"126",31,72.6,"p02"
"127",32,74.1,"p02"
"128",33,74.6,"p02"
"129",34,74.6,"p02"
"130",35,74,"p02"
"131",36,74.9,"p02"
"132",37,74.2,"p02"
"133",38,74.2,"p02"
"134",39,75.8,"p02"
"135",40,76.8,"p02"
"136",1,34.1,"p03"
"137",2,33.6,"p03"
"138",3,35.2,"p03"
"139",4,36.4,"p03"
"140",5,35.3,"p03"
"141",6,37,"p03"
"142",7,38.8,"p03"
"143",8,39.8,"p03"
"144",9,43.8,"p03"
"145",10,43.5,"p03"
"146",11,44.4,"p03"
"147",12,43.4,"p03"
"148",13,44.5,"p03"
"149",14,47.1,"p03"
"150",15,48.8,"p03"
"151",16,48.6,"p03"
"152",17,49.9,"p03"
"153",18,49.6,"p03"
"154",19,51.2,"p03"
"155",20,51,"p03"
"156",21,53.4,"p03"
"157",22,54.2,"p03"
"158",23,48.1,"p03"
"159",24,52.4,"p03"
"160",25,52.3,"p03"
"161",26,56.1,"p03"
"162",27,58.1,"p03"
"163",28,58.8,"p03"
"164",29,58.9,"p03"
"165",30,59,"p03"
"166",31,62.3,"p03"
"167",32,61.5,"p03"
"168",33,62.3,"p03"
"169",34,65.9,"p03"
"170",35,67.1,"p03"
"171",36,69.5,"p03"
"172",37,67.5,"p03"
"173",38,67.4,"p03"
"174",39,66.3,"p03"
"175",40,73.1,"p03"
"176",41,74,"p03"
"177",42,74.6,"p03"
"178",1,46.7,"p04"
"179",2,47.7,"p04"
"180",3,49.9,"p04"
"181",4,52,"p04"
"182",5,50.8,"p04"
"183",6,52.3,"p04"
"184",7,54.9,"p04"
"185",8,55.4,"p04"
"186",9,58.2,"p04"
"187",10,60.4,"p04"
"188",11,61.3,"p04"
