"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo"
"1","p00",28,185.8,73,"L",74.4,28.9,1,28.9
"2","p00",28,185.8,73,"L",74.4,28.9,2,31.9
"3","p00",28,185.8,73,"L",74.4,28.9,3,34
"4","p00",28,185.8,73,"L",74.4,28.9,4,33.9
"5","p00",28,185.8,73,"L",74.4,28.9,5,35.1
"6","p00",28,185.8,73,"L",74.4,28.9,6,39.7
"7","p00",28,185.8,73,"L",74.4,28.9,7,40.1
"8","p00",28,185.8,73,"L",74.4,28.9,8,39.9
"9","p00",28,185.8,73,"L",74.4,28.9,9,43.5
"10","p00",28,185.8,73,"L",74.4,28.9,10,46.9
"11","p00",28,185.8,73,"L",74.4,28.9,11,48.2
"12","p00",28,185.8,73,"L",74.4,28.9,12,49.1
"13","p00",28,185.8,73,"L",74.4,28.9,13,50.5
"14","p00",28,185.8,73,"L",74.4,28.9,14,51.2
"15","p00",28,185.8,73,"L",74.4,28.9,15,51.8
"16","p00",28,185.8,73,"L",74.4,28.9,16,55.1
"17","p00",28,185.8,73,"L",74.4,28.9,17,56.3
"18","p00",28,185.8,73,"L",74.4,28.9,18,57.1
"19","p00",28,185.8,73,"L",74.4,28.9,19,59.8
"20","p00",28,185.8,73,"L",74.4,28.9,20,61.6
"21","p00",28,185.8,73,"L",74.4,28.9,21,62.5
"22","p00",28,185.8,73,"L",74.4,28.9,22,63.2
"23","p00",28,185.8,73,"L",74.4,28.9,23,63
"24","p00",28,185.8,73,"L",74.4,28.9,24,67.7
"25","p00",28,185.8,73,"L",74.4,28.9,25,68.2
"26","p00",28,185.8,73,"L",74.4,28.9,26,69.4
"27","p00",28,185.8,73,"L",74.4,28.9,27,69.7
"28","p00",28,185.8,73,"L",74.4,28.9,28,71.5
"29","p00",28,185.8,73,"L",74.4,28.9,29,72.3
"30","p00",28,185.8,73,"L",74.4,28.9,30,72.9
"31","p00",28,185.8,73,"L",74.4,28.9,31,73.3
"32","p00",28,185.8,73,"L",74.4,28.9,32,73.8
"33","p00",28,185.8,73,"L",74.4,28.9,33,72.4
"34","p00",28,185.8,73,"L",74.4,28.9,34,74.1
