,Effort,Cond1,Cond2,Vel_cons
1,50,step,rpe,55.4
2,50,step,rpe,57.2
3,50,step,rpe,59.4
4,50,step,rpe,57.5
5,50,step,rpe,59.9
6,50,crow,rpe,56.9
7,50,crow,rpe,59.8
8,50,crow,rpe,61.5
9,50,crow,rpe,59.2
10,50,crow,rpe,59.7
11,75,step,rpe,65.3
12,75,step,rpe,67.0
13,75,step,rpe,66.1
14,75,step,rpe,68.6
15,75,step,rpe,67.2
16,75,crow,rpe,69.6
17,75,crow,rpe,68.8
18,75,crow,rpe,68.4
19,75,crow,rpe,69.8
20,75,crow,rpe,70.4
21,100,step,rpe,74.6
22,100,step,rpe,75.1
23,100,step,rpe,75.0
24,100,step,rpe,75.1
25,100,step,rpe,75.3
26,100,crow,rpe,76.3
27,100,crow,rpe,76.6
28,100,crow,rpe,76.8
29,100,crow,rpe,76.9
30,100,crow,rpe,76.1
32,50,step,velo,37.4
33,50,step,velo,35.9
34,50,step,velo,37.9
35,50,step,velo,38.3
36,50,step,velo,37.3
37,50,crow,velo,39.6
38,50,crow,velo,37.7
39,50,crow,velo,39.2
40,50,crow,velo,38.9
41,50,crow,velo,37.3
42,75,step,velo,56.3
43,75,step,velo,56.4
44,75,step,velo,55.4
45,75,step,velo,55.4
46,75,step,velo,57.1
47,75,crow,velo,57.9
48,75,crow,velo,57.9
49,75,crow,velo,59.0
50,75,crow,velo,57.3
51,75,crow,velo,57.1
