pID,age,mass,height,hand,velo_max,velo_min,throw,velo
p08,23,208.4,72,R,77.6,35.2,1,35.2
p08,23,208.4,72,R,77.6,35.2,2,39.1
p08,23,208.4,72,R,77.6,35.2,3,41.1
p08,23,208.4,72,R,77.6,35.2,4,40.4
p08,23,208.4,72,R,77.6,35.2,5,39.6
p08,23,208.4,72,R,77.6,35.2,6,39.6
p08,23,208.4,72,R,77.6,35.2,7,39.1
p08,23,208.4,72,R,77.6,35.2,8,46.4
p08,23,208.4,72,R,77.6,35.2,9,46.6
p08,23,208.4,72,R,77.6,35.2,10,47.4
p08,23,208.4,72,R,77.6,35.2,11,48.4
p08,23,208.4,72,R,77.6,35.2,12,51.8
p08,23,208.4,72,R,77.6,35.2,13,53.1
p08,23,208.4,72,R,77.6,35.2,14,57.4
p08,23,208.4,72,R,77.6,35.2,15,60
p08,23,208.4,72,R,77.6,35.2,16,64.6
p08,23,208.4,72,R,77.6,35.2,17,65.3
p08,23,208.4,72,R,77.6,35.2,18,64.3
p08,23,208.4,72,R,77.6,35.2,19,62.6
p08,23,208.4,72,R,77.6,35.2,20,65.1
p08,23,208.4,72,R,77.6,35.2,21,66.9
p08,23,208.4,72,R,77.6,35.2,22,69.4
p08,23,208.4,72,R,77.6,35.2,23,69.9
p08,23,208.4,72,R,77.6,35.2,24,73.6
p08,23,208.4,72,R,77.6,35.2,25,73.2
p08,23,208.4,72,R,77.6,35.2,26,75.1
p08,23,208.4,72,R,77.6,35.2,27,75.8
p08,23,208.4,72,R,77.6,35.2,28,72.4
p08,23,208.4,72,R,77.6,35.2,29,77.2
p08,23,208.4,72,R,77.6,35.2,30,77.6
p08,23,208.4,72,R,77.6,35.2,31,76.5
p08,23,208.4,72,R,77.6,35.2,32,76.4
p08,23,208.4,72,R,77.6,35.2,33,76.9
