pID,cond_int,effort,cond_stp,velo
p33,rpe,50,crow,NA
p33,rpe,50,crow,NA
p33,rpe,50,crow,NA
p33,rpe,50,crow,NA
p33,rpe,50,crow,NA
p33,rpe,50,step,NA
p33,rpe,50,step,NA
p33,rpe,50,step,NA
p33,rpe,50,step,NA
p33,rpe,50,step,NA
p33,rpe,75,crow,NA
p33,rpe,75,crow,NA
p33,rpe,75,crow,NA
p33,rpe,75,crow,NA
p33,rpe,75,crow,NA
p33,rpe,75,step,NA
p33,rpe,75,step,NA
p33,rpe,75,step,NA
p33,rpe,75,step,NA
p33,rpe,75,step,NA
p33,rpe,100,crow,NA
p33,rpe,100,crow,NA
p33,rpe,100,crow,NA
p33,rpe,100,crow,NA
p33,rpe,100,crow,NA
p33,rpe,100,step,NA
p33,rpe,100,step,NA
p33,rpe,100,step,NA
p33,rpe,100,step,NA
p33,rpe,100,step,NA
p33,velo,50,crow,NA
p33,velo,50,crow,NA
p33,velo,50,crow,NA
p33,velo,50,crow,NA
p33,velo,50,crow,NA
p33,velo,50,step,NA
p33,velo,50,step,NA
p33,velo,50,step,NA
p33,velo,50,step,NA
p33,velo,50,step,NA
p33,velo,75,crow,NA
p33,velo,75,crow,NA
p33,velo,75,crow,NA
p33,velo,75,crow,NA
p33,velo,75,crow,NA
p33,velo,75,step,NA
p33,velo,75,step,NA
p33,velo,75,step,NA
p33,velo,75,step,NA
p33,velo,75,step,NA
